target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
membership,2,0,0.49725442342892007,0.4967671739227639,0.4913889633401828,0.49131843715162804
membership,2,1,0.9908480780964003,0.9908472058568947,0.9920768932964057,0.9957544848625304
membership,2,2,0.99633923123856,0.996339164462869,0.9988102683224634,0.9993959371248748
membership,2,3,0.9993898718730934,0.9993898709645958,1.0,1.0
membership,2,4,1.0,1.0,1.0,1.0
membership,2,8,1.0,1.0,1.0,1.0
membership,2,16,1.0,1.0,1.0,1.0
membership,2,32,1.0,1.0,1.0,1.0
membership,2,64,1.0,1.0,1.0,1.0
membership,2,128,1.0,1.0,1.0,1.0
membership,2,256,1.0,1.0,1.0,1.0
membership,2,512,1.0,1.0,1.0,1.0
membership,2,768,1.0,1.0,1.0,1.0
species,65,0,0.017317668599328654,0.014296099343283757,0.5014548927139366,0.015981264120571853
species,65,1,0.04470552334452243,0.03184726459709413,0.6937939499928215,0.03377754109098424
species,65,2,0.030973451327433628,0.026145083687660664,0.5881445199491936,0.027592710671693117
species,65,3,0.045926151968263655,0.04367985618863461,0.7026549197553746,0.03975062358099994
species,65,4,0.05111382361916387,0.04883434774322159,0.6990754948073916,0.040042960904678
species,65,8,0.10741531888922795,0.10363433508552733,0.8151530999112148,0.0850042172304722
species,65,16,0.18614586512053707,0.18231343421217536,0.8776721431159444,0.15534631353297995
species,65,32,0.22993591699725358,0.22780165704739108,0.8960130060471235,0.1975918006039175
species,65,64,0.2457277998169057,0.24272872387979136,0.9028021479326228,0.21089041809010622
species,65,128,0.25213610009154713,0.2501357109018181,0.9019513334109678,0.21262136119340186
species,65,256,0.23962465669819957,0.23589626035881453,0.8993762940422292,0.20348851811873808
species,65,512,0.23069880988709185,0.22647502781749507,0.8925873526683133,0.1896973599121087
species,65,768,0.22039975587427524,0.21597951877471103,0.8898461391027997,0.1839981269894266
gc_content,5,0,0.19575831553249923,0.19501766806875404,0.4972362172249015,0.19886926774275615
gc_content,5,1,0.8964754348489472,0.8963600116839237,0.9885780019596864,0.9538849054708332
gc_content,5,2,0.9327891364052487,0.9327352732845602,0.9940000159583654,0.9760017352972021
gc_content,5,3,0.9388922795239548,0.9388743840938034,0.9962942667355413,0.9852562284841998
gc_content,5,4,0.9453005797985963,0.9452827865745332,0.9969579072262252,0.9877997330563139
gc_content,5,8,0.9579646017699115,0.9579631593396956,0.998157448489445,0.992787829547656
gc_content,5,16,0.960405859017394,0.9603805282763,0.9984366825052711,0.993945437249957
gc_content,5,32,0.9633811412877632,0.9633743800766714,0.998579556473327,0.9945176153502231
gc_content,5,64,0.9603295697284101,0.9603013409800877,0.9985082952818075,0.9941881554567722
gc_content,5,128,0.9617790662191028,0.9617799455159467,0.9984336106149438,0.9939115362290843
gc_content,5,256,0.9601007018614587,0.960100645259471,0.9983453747736302,0.993601194693437
gc_content,5,512,0.959490387549588,0.959477640329409,0.9982455420451734,0.9931478851640485
gc_content,5,768,0.9593378089716204,0.9593322932615328,0.9982306832898779,0.9931148770865164
repeat_fraction,4,0,0.39784864205065607,0.14230748239917043,0.4935952394221692,0.24714400605785403
repeat_fraction,4,1,0.41524259993896856,0.23266761617530043,0.5847585795408473,0.3067492775567988
repeat_fraction,4,2,0.4241684467500763,0.26869251352224155,0.6132081951680148,0.33352118785076756
repeat_fraction,4,3,0.4382056759231004,0.297555564870681,0.6426321472262385,0.3618992956445478
repeat_fraction,4,4,0.4472841013121758,0.31896367304952056,0.6591879387712691,0.376338141981054
repeat_fraction,4,8,0.49336283185840707,0.39478612142973685,0.7205930823249712,0.45080046343606484
repeat_fraction,4,16,0.5231919438510834,0.43966386562636767,0.7525352638140822,0.49581804377576133
repeat_fraction,4,32,0.5391364052487031,0.4602773093325303,0.7654547130118807,0.5187788737952276
repeat_fraction,4,64,0.5485962770826975,0.47044977157527257,0.76992014602861,0.525505869795007
repeat_fraction,4,128,0.5462313091241989,0.46365736923351974,0.7697665164270842,0.5249140642210204
repeat_fraction,4,256,0.5446292340555386,0.4624915006352657,0.7680608413211115,0.521156794581414
repeat_fraction,4,512,0.542722001830943,0.45951794673199264,0.7664330119503212,0.5186013753477157
repeat_fraction,4,768,0.5430271589868783,0.4584457661892909,0.7665740817994906,0.5198688399942613
kmer_entropy_1,5,0,0.19911504424778761,0.19839696759518105,0.5023313086031646,0.20086515086752726
kmer_entropy_1,5,1,0.8178211779066219,0.8182261738479987,0.9674104370529966,0.8652072734456014
kmer_entropy_1,5,2,0.9114281354897772,0.9114002567037016,0.9887049323609916,0.9560484727174947
kmer_entropy_1,5,3,0.9243973146170278,0.9243602683170147,0.9934969985956927,0.9752117303696528
kmer_entropy_1,5,4,0.9386634116570034,0.9386585226275056,0.9962913742962082,0.9856178446262106
kmer_entropy_1,5,8,0.9492676228257553,0.9492725627191945,0.9972752810190691,0.9896304579291278
kmer_entropy_1,5,16,0.9509459871833994,0.950962193297265,0.9975030166771,0.9904927553127921
kmer_entropy_1,5,32,0.9509459871833994,0.9509525495400906,0.9974543585076725,0.9903659248133249
kmer_entropy_1,5,64,0.9505645407384803,0.9505571880543732,0.9972950249064784,0.9897946045511432
kmer_entropy_1,5,128,0.9473603906011596,0.9473586044507281,0.997091801121815,0.9889572375177883
kmer_entropy_1,5,256,0.9468263655782728,0.9468487812601365,0.997054248626878,0.9888496912215292
kmer_entropy_1,5,512,0.9474366798901435,0.9474411989499455,0.9968889844430372,0.9881979084519792
kmer_entropy_1,5,768,0.945453158376564,0.9454677536360492,0.9968359858952164,0.9880427789814638
kmer_entropy_3,5,0,0.19957277998169057,0.1985668585554477,0.4968429314039347,0.1988581994113446
kmer_entropy_3,5,1,0.7267317668599329,0.7269096805639137,0.9355463212854591,0.7530574695989566
kmer_entropy_3,5,2,0.7936374732987489,0.7939167247264498,0.9582721903463394,0.8387908428943776
kmer_entropy_3,5,3,0.8108025633201098,0.8110181381809648,0.9655477252804705,0.8631037989297019
kmer_entropy_3,5,4,0.8183552029295087,0.8183294197661845,0.9695806428906669,0.8767076102571517
kmer_entropy_3,5,8,0.8618400976502899,0.861842883992501,0.9819295354897702,0.9265163424581875
kmer_entropy_3,5,16,0.8893042416844675,0.8894453468606274,0.9875369944109176,0.949478610591059
kmer_entropy_3,5,32,0.8928135489777236,0.8930221212778537,0.9882320606878594,0.9519145931653329
kmer_entropy_3,5,64,0.891287763198047,0.8914854254852305,0.9879400428080704,0.9514109543916778
kmer_entropy_3,5,128,0.8898382667073543,0.8900494680729345,0.9876599581303314,0.9502765706388665
kmer_entropy_3,5,256,0.8869392737259689,0.8870971018318302,0.9870166201586248,0.946849914152829
kmer_entropy_3,5,512,0.8848794629234056,0.8850880079382533,0.9865908582422035,0.9456962756777856
kmer_entropy_3,5,768,0.8851846200793408,0.8853396461200844,0.9863407521876614,0.9448073112362344
kmer_entropy_9,5,0,0.20163259078425388,0.20132387015680994,0.49916158444431635,0.19869913576850015
kmer_entropy_9,5,1,0.374122673176686,0.3597559372525224,0.691947744000634,0.36268976420418514
kmer_entropy_9,5,2,0.3747329874885566,0.36088760750233684,0.6971417291641555,0.3691417474994115
kmer_entropy_9,5,3,0.41745498931949954,0.40708692369009736,0.7400143853652335,0.41997477072642286
kmer_entropy_9,5,4,0.4341623436069576,0.4259340938325421,0.7513442936717153,0.43850853230383163
kmer_entropy_9,5,8,0.4826060421116875,0.47769818414664106,0.7953953235915807,0.4971938760400755
kmer_entropy_9,5,16,0.4996948428440647,0.4943787614042002,0.8095891514249448,0.5221356848333893
kmer_entropy_9,5,32,0.5203692401586817,0.5147243843137895,0.8234585674617033,0.5446266050762264
kmer_entropy_9,5,64,0.5283033262129997,0.5231779919224127,0.8302315888215958,0.5542337104976183
kmer_entropy_9,5,128,0.5315074763503204,0.5261334567590403,0.8321348112126955,0.5567815857468628
kmer_entropy_9,5,256,0.5293713762587733,0.5236780842820487,0.8312091505115669,0.5561109436567937
kmer_entropy_9,5,512,0.5267012511443393,0.5210764319088828,0.8297899341715391,0.5549279754819819
kmer_entropy_9,5,768,0.5253280439426304,0.5190107054110985,0.8287348093610676,0.553144421968311
dinuc_CG,5,0,0.19743667989014344,0.19395333650127458,0.4958080759889696,0.19875762140265094
dinuc_CG,5,1,0.4214983216356424,0.41671633352707066,0.751356463919777,0.44344180762457236
dinuc_CG,5,2,0.4582697589258468,0.45628897644207067,0.7794465846761397,0.4728028993444541
dinuc_CG,5,3,0.4794781812633506,0.47499905026481654,0.7992622662537447,0.4981138349243258
dinuc_CG,5,4,0.4860390601159597,0.48118379665298977,0.8059957543626426,0.5065725021888687
dinuc_CG,5,8,0.5702624351541044,0.5688751620878876,0.8613011773845489,0.5963390249963951
dinuc_CG,5,16,0.7523649679584986,0.7533921054801846,0.9460361374631192,0.7950333402810401
