species,correct,total,accuracy
_OVERALL_,2889,13108,0.22039975587427524
Acoerulea,47,201,0.23383084577114427
Acomosus,86,216,0.39814814814814814
Ahypochondriacus,57,230,0.24782608695652175
Ahypogaea,29,217,0.1336405529953917
Aofficinalis,56,253,0.22134387351778656
Athaliana,33,178,0.1853932584269663
Bdistachyon,28,208,0.1346153846153846
Bplatyphylla,33,223,0.14798206278026907
Bstricta,10,145,0.06896551724137931
Bvulgaris,53,235,0.225531914893617
Carabica,43,204,0.2107843137254902
Carietinum,45,193,0.23316062176165803
Cavellana,39,219,0.1780821917808219
Ccitriodora,35,192,0.18229166666666666
Cclementina,21,188,0.11170212765957446
Cillinoinensis,32,218,0.14678899082568808
Ckanehirae,165,288,0.5729166666666666
Cquinoa,43,234,0.18376068376068377
Crubella,30,178,0.16853932584269662
Csativus,45,186,0.24193548387096775
Dalata,43,210,0.20476190476190476
Dcarota,62,200,0.31
Ecoracana,30,203,0.1477832512315271
Egrandis,45,192,0.234375
Esalsugineum,59,183,0.3224043715846995
Fvesca,29,182,0.15934065934065933
Gmax,20,210,0.09523809523809523
Hannuus,98,203,0.4827586206896552
Hvulgare,34,209,0.16267942583732056
Lalbus,46,192,0.23958333333333334
Lervoides,38,210,0.18095238095238095
Ljaponicus,37,222,0.16666666666666666
Lsativa,43,174,0.2471264367816092
Lusitatissimum,69,173,0.3988439306358382
Macuminata,48,201,0.23880597014925373
Mdomestica,17,183,0.09289617486338798
Mesculenta,71,213,0.3333333333333333
Msinensis,13,168,0.07738095238095238
Mtruncatula,30,180,0.16666666666666666
Ncolorata,84,242,0.34710743801652894
Oeuropaea,40,170,0.23529411764705882
Osativa,38,197,0.19289340101522842
Othomaeum,42,198,0.21212121212121213
Pamilis,54,190,0.28421052631578947
Ppersica,23,179,0.12849162011173185
Ptrichocarpa,53,205,0.25853658536585367
Ptrifoliata,25,198,0.12626262626262627
Pvaginatum,24,195,0.12307692307692308
Pvirgatum,30,193,0.15544041450777202
Qrubra,70,236,0.2966101694915254
Rcommunis,20,149,0.1342281879194631
Sbicolor,26,203,0.12807881773399016
Soleracea,43,219,0.1963470319634703
Sparvula,34,185,0.1837837837837838
Spolyrhiza,64,150,0.4266666666666667
Spurpurea,44,200,0.22
Sviridis,23,187,0.12299465240641712
Taestivum,34,208,0.16346153846153846
Tintermedium,26,199,0.1306532663316583
Vdarrowii,103,242,0.4256198347107438
Vfaba,21,201,0.1044776119402985
Vunguiculata,18,195,0.09230769230769231
Vvinifera,47,223,0.21076233183856502
Zmarina,96,215,0.44651162790697674
Zmays,45,215,0.20930232558139536
