true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,182,4,10,9,17,16,3,10,8,15,13,11,6,3,6,10,16,27,7,17,10,25,2,0,2,27,6,7,1,25,13,21,14,7,14,9,1,5,15,6,2,3,5,13,9,10,8,2,3,15,2,3,10,4,2,10,1,1,2,17,13,8,5,13,7
Acomosus,4,370,8,13,30,4,3,19,1,12,24,7,9,10,13,10,6,11,2,6,4,21,5,15,6,5,3,3,6,8,2,4,2,5,9,11,11,3,2,13,6,23,7,2,4,3,6,8,8,9,12,5,14,6,4,1,2,5,10,16,2,6,4,5,12
Ahypochondriacus,18,11,279,16,16,5,1,2,5,28,12,12,3,5,15,3,10,41,4,23,6,17,1,4,3,8,22,17,3,23,25,5,14,9,3,9,6,0,19,5,21,1,0,4,4,2,14,0,3,20,7,2,32,3,2,2,0,1,3,8,21,14,6,17,2
Ahypogaea,5,13,18,115,13,2,0,7,7,8,12,36,7,7,22,14,6,11,4,15,27,23,2,4,4,6,51,7,4,38,15,19,4,10,11,11,26,1,15,3,5,3,1,1,9,14,29,2,8,15,23,4,6,6,3,17,1,2,2,11,11,28,23,8,2
Aofficinalis,13,39,20,2,271,12,3,6,3,49,17,8,6,9,11,12,16,13,8,13,8,34,7,10,10,18,10,9,3,33,14,23,9,15,26,16,6,7,12,23,14,6,2,10,6,6,9,0,10,9,12,10,16,10,12,3,2,4,4,20,11,2,7,15,10
Athaliana,9,7,9,3,10,184,0,1,57,2,1,4,1,1,2,0,0,2,113,10,0,4,3,3,67,14,2,20,0,1,8,4,13,15,5,2,0,1,10,5,1,0,0,1,4,3,3,0,6,3,0,0,1,99,2,1,1,0,1,6,3,1,0,7,0
Bdistachyon,2,5,0,1,1,2,173,0,0,3,0,0,0,3,0,3,0,2,0,0,1,2,63,9,1,3,1,2,39,0,0,2,1,10,14,4,3,25,1,12,1,35,46,0,2,2,2,52,40,0,0,27,5,4,3,0,54,46,56,13,0,1,0,2,27
Bplatyphylla,9,12,16,5,18,7,1,137,4,25,26,5,104,7,9,26,44,25,3,6,13,3,1,4,6,10,11,9,4,4,3,14,4,2,4,12,10,2,11,13,8,1,1,7,23,15,13,1,7,65,11,1,9,2,2,7,0,0,3,27,5,10,35,3,4
Bstricta,5,1,4,0,11,103,1,4,70,3,4,5,0,0,1,4,1,1,59,6,1,8,2,2,87,12,1,11,0,3,6,2,8,10,8,6,0,0,7,5,6,0,1,0,3,4,4,0,3,0,2,2,2,59,3,3,0,1,1,3,3,2,0,8,1
Bvulgaris,20,12,54,15,34,7,0,11,3,207,21,2,9,8,5,8,8,52,7,16,4,24,1,9,2,12,18,10,4,27,18,25,7,7,10,9,6,1,16,6,8,2,0,18,4,7,8,1,2,25,12,3,50,3,3,5,2,1,0,26,12,6,10,13,2
Carabica,6,8,20,4,12,1,2,15,0,34,204,5,21,19,21,13,18,19,3,20,12,23,3,8,1,3,11,1,1,8,9,15,2,11,2,7,12,2,6,25,21,2,3,4,12,9,18,1,5,34,14,4,17,1,8,15,3,2,0,19,6,5,13,7,1
Carietinum,7,4,27,19,4,5,1,5,1,10,7,166,5,2,17,2,0,10,1,29,15,23,0,2,4,3,42,10,1,38,35,13,13,5,3,3,9,0,35,2,17,1,0,13,6,9,15,0,13,8,16,0,5,2,4,4,0,2,0,2,22,26,12,9,1
Cavellana,5,13,11,4,15,2,0,116,2,12,20,8,148,3,11,17,51,30,2,10,16,3,4,10,2,9,9,5,3,11,3,10,4,0,3,13,14,1,6,11,8,1,0,7,28,15,9,0,10,70,7,2,6,1,3,9,1,0,2,28,8,7,28,4,1
Ccitriodora,1,8,6,3,9,3,10,8,1,5,14,4,5,223,4,6,18,1,2,1,6,3,5,184,5,7,0,0,5,4,1,6,1,15,18,12,4,3,2,31,25,4,4,7,4,5,6,2,8,4,2,2,4,1,8,1,5,2,0,9,3,0,8,4,6
Cclementina,10,9,16,18,10,3,0,18,3,5,23,11,16,6,93,17,6,17,1,11,18,17,3,11,2,9,32,1,0,13,13,9,4,5,7,7,35,2,13,10,11,2,4,9,10,22,118,1,12,14,22,1,4,3,2,21,1,2,1,1,5,8,8,3,1
Cillinoinensis,9,13,6,6,25,2,2,33,1,8,19,8,29,9,12,144,52,12,2,8,22,26,3,8,2,11,20,2,2,14,14,10,3,7,13,14,25,1,6,23,13,3,1,9,30,18,18,2,2,36,12,3,3,3,2,13,1,2,3,18,12,8,39,14,3
Ckanehirae,15,5,5,2,10,2,2,24,1,4,6,4,29,9,2,21,647,5,2,3,25,2,2,12,3,11,1,3,3,9,4,6,8,1,14,4,7,5,3,33,7,2,2,15,18,8,6,2,6,21,3,3,3,3,8,7,1,1,4,30,0,2,46,8,1
Cquinoa,27,11,68,10,11,4,5,16,1,71,23,12,23,1,14,5,16,181,1,13,6,29,4,1,4,15,16,20,2,21,12,24,8,1,1,11,12,3,14,4,11,2,1,26,3,3,14,1,6,23,9,2,38,3,2,5,0,4,3,6,2,10,9,6,3
Crubella,7,3,4,2,8,150,1,3,56,5,1,8,3,1,3,5,1,3,158,10,3,10,1,4,70,11,2,11,0,4,7,3,17,8,5,3,1,0,2,5,1,1,0,1,2,1,1,0,3,1,0,0,0,74,3,4,2,1,0,4,1,6,0,8,1
Csativus,13,6,22,9,9,8,0,6,4,16,14,25,2,5,11,9,10,6,1,273,3,2,2,3,1,6,18,3,0,14,17,11,12,4,4,10,7,1,20,9,23,0,0,2,12,4,6,0,2,10,11,1,4,1,4,4,0,0,0,9,11,20,17,16,1
Dalata,6,7,10,8,11,1,3,10,1,4,5,13,12,4,17,10,29,11,4,4,261,9,3,6,2,4,27,6,2,15,4,15,1,6,21,5,21,1,6,7,5,3,2,4,8,42,13,0,6,27,5,2,3,2,5,38,1,1,2,3,7,4,32,6,1
Dcarota,19,13,15,8,21,8,4,1,11,23,10,21,3,0,11,10,5,4,3,2,12,327,2,4,1,5,5,8,2,24,12,8,4,3,8,4,8,3,7,7,10,1,2,2,4,5,17,0,4,3,15,7,15,8,3,12,4,3,2,4,18,16,4,16,5
Ecoracana,7,6,0,3,17,2,62,1,2,2,3,4,1,2,3,3,4,1,1,0,4,3,122,4,1,8,2,2,26,3,2,3,0,3,15,2,1,26,0,14,1,40,122,3,4,4,3,46,33,0,1,41,3,4,3,1,44,26,25,1,0,0,1,1,33
Egrandis,0,10,6,0,9,1,9,3,2,4,15,3,11,202,9,6,25,3,2,1,4,0,8,186,7,8,4,1,4,8,1,5,0,11,19,5,6,3,2,37,15,6,2,9,6,1,10,5,4,5,2,3,2,2,14,1,2,2,3,16,1,0,5,4,4
Esalsugineum,10,7,9,3,8,104,0,5,54,0,4,7,1,2,0,3,0,1,85,8,3,6,1,7,163,9,0,11,1,1,5,2,9,6,5,2,0,0,1,5,2,1,1,0,1,1,1,1,2,1,3,1,3,119,1,3,2,2,1,6,3,1,0,16,2
Fvesca,37,6,4,0,25,14,9,13,6,17,9,2,3,14,7,11,18,13,6,3,5,19,4,6,4,159,1,15,5,7,5,23,6,38,11,30,4,3,6,25,6,7,4,10,24,5,4,5,9,3,0,3,9,4,3,8,5,5,5,28,6,2,4,7,11
Gmax,11,6,12,21,6,1,0,18,1,13,17,40,8,2,18,8,11,15,2,18,17,22,1,0,3,7,146,4,0,27,18,36,5,3,3,4,27,2,15,4,8,1,1,5,11,25,28,0,8,44,13,3,8,0,2,11,1,0,0,5,9,67,32,5,2
Hannuus,6,6,14,3,9,9,0,6,10,6,2,6,1,0,1,0,5,8,11,6,1,12,1,0,6,12,1,460,4,8,15,5,42,5,3,11,2,2,10,7,1,2,1,8,3,4,0,3,8,0,0,0,15,6,1,6,0,3,7,19,6,5,0,9,1
Hvulgare,5,4,3,1,11,0,51,1,2,3,3,6,0,3,0,2,3,1,3,0,3,1,48,6,4,9,3,10,211,0,0,0,2,3,12,3,0,21,3,8,6,24,35,2,3,0,0,30,26,2,2,18,4,3,3,0,42,74,67,5,0,0,0,3,36
Lalbus,20,4,22,18,17,4,1,0,1,22,3,34,0,1,8,7,12,11,2,15,10,21,1,0,2,4,28,6,0,302,22,30,4,2,7,7,6,2,21,3,8,0,0,4,6,5,8,0,2,13,4,1,7,4,4,5,2,1,2,1,9,32,7,4,2
Lervoides,17,9,30,11,21,10,2,4,8,12,3,49,0,4,8,4,9,16,10,16,11,15,0,5,11,11,19,16,2,38,156,16,17,1,8,9,5,1,33,2,10,0,0,2,4,5,10,2,4,7,5,3,27,10,5,10,0,1,0,15,47,30,12,12,5
