species,correct,total,accuracy
_OVERALL_,13665,52429,0.26063819641801295
Acoerulea,182,768,0.23697916666666666
Acomosus,370,880,0.42045454545454547
Ahypochondriacus,279,897,0.3110367892976589
Ahypogaea,115,837,0.13739545997610514
Aofficinalis,271,1034,0.2620889748549323
Athaliana,184,736,0.25
Bdistachyon,173,806,0.21464019851116625
Bplatyphylla,137,889,0.15410573678290213
Bstricta,70,573,0.12216404886561955
Bvulgaris,207,938,0.22068230277185502
Carabica,204,831,0.24548736462093862
Carietinum,166,765,0.2169934640522876
Cavellana,148,872,0.16972477064220184
Ccitriodora,223,768,0.2903645833333333
Cclementina,93,790,0.11772151898734177
Cillinoinensis,144,894,0.1610738255033557
Ckanehirae,647,1161,0.5572782084409992
Cquinoa,181,913,0.1982475355969332
Crubella,158,714,0.22128851540616246
Csativus,273,754,0.3620689655172414
Dalata,261,814,0.32063882063882065
Dcarota,327,826,0.39588377723970947
Ecoracana,122,805,0.1515527950310559
Egrandis,186,764,0.24345549738219896
Esalsugineum,163,722,0.2257617728531856
Fvesca,159,770,0.2064935064935065
Gmax,146,861,0.16957026713124274
Hannuus,460,824,0.558252427184466
Hvulgare,211,834,0.2529976019184652
Lalbus,302,811,0.3723797780517879
Lervoides,156,845,0.18461538461538463
Ljaponicus,139,865,0.1606936416184971
Lsativa,218,702,0.31054131054131057
Lusitatissimum,362,687,0.5269286754002911
Macuminata,272,782,0.34782608695652173
Mdomestica,108,772,0.13989637305699482
Mesculenta,291,848,0.3431603773584906
Msinensis,75,634,0.11829652996845426
Mtruncatula,129,738,0.17479674796747968
Ncolorata,372,963,0.3862928348909657
Oeuropaea,154,651,0.23655913978494625
Osativa,159,765,0.20784313725490197
Othomaeum,208,783,0.2656449553001277
Pamilis,229,769,0.2977893368010403
Ppersica,96,752,0.1276595744680851
Ptrichocarpa,233,809,0.2880098887515451
Ptrifoliata,94,783,0.12005108556832694
Pvaginatum,146,800,0.1825
Pvirgatum,138,785,0.17579617834394903
Qrubra,301,911,0.33040614709110866
Rcommunis,129,593,0.2175379426644182
Sbicolor,157,788,0.19923857868020303
Soleracea,251,905,0.2773480662983425
Sparvula,163,723,0.22544951590594745
Spolyrhiza,391,638,0.6128526645768025
Spurpurea,222,805,0.27577639751552796
Sviridis,102,751,0.13581890812250333
Taestivum,113,802,0.14089775561097256
Tintermedium,117,805,0.1453416149068323
Vdarrowii,401,940,0.42659574468085104
Vfaba,101,780,0.1294871794871795
Vunguiculata,134,788,0.1700507614213198
Vvinifera,257,918,0.27995642701525053
Zmarina,458,828,0.5531400966183575
Zmays,227,870,0.26091954022988506
