true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Ppersica,1,2,2,2,2,1,3,1,0,4,3,0,5,3,6,6,8,3,2,0,2,1,2,5,0,5,2,0,0,3,1,6,2,1,3,7,8,0,2,8,2,1,0,2,23,1,5,0,1,9,1,3,3,0,0,0,1,2,2,6,1,0,3,0,1
Ptrichocarpa,3,3,1,6,0,0,0,2,0,2,4,1,3,1,4,6,2,3,1,3,8,1,2,2,0,5,3,0,0,5,0,4,1,0,3,2,5,0,1,4,1,0,0,2,3,53,6,0,0,4,1,0,0,0,0,27,0,0,0,5,2,0,9,1,0
Ptrifoliata,4,0,4,7,1,1,0,1,0,3,6,4,3,2,20,4,5,3,0,1,6,4,1,1,1,3,10,0,0,5,2,6,1,2,1,1,10,0,2,5,4,0,0,3,2,4,25,0,0,4,4,0,1,3,0,6,1,0,0,1,2,5,2,1,0
Pvaginatum,0,0,0,0,3,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,1,0,1,0,0,6,1,0,0,0,0,2,1,0,5,0,2,0,10,8,0,0,0,0,24,22,0,0,13,1,0,2,0,12,13,14,2,1,0,0,1,18
Pvirgatum,0,1,0,0,2,0,16,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,9,1,0,0,0,0,6,0,0,0,0,1,0,0,0,9,0,5,0,12,11,0,0,0,0,19,30,0,0,10,1,0,0,0,23,11,6,1,1,0,0,1,12
Qrubra,5,0,1,1,3,0,0,15,0,2,2,1,14,1,2,6,18,11,1,0,1,3,2,0,0,1,6,1,0,6,1,3,0,0,0,0,6,0,4,6,1,0,0,6,5,2,5,0,0,70,1,0,0,0,1,1,0,0,0,4,1,1,14,1,0
Rcommunis,1,1,4,4,1,1,0,3,0,3,2,3,1,0,11,2,0,1,0,6,7,8,0,0,0,0,6,1,0,5,0,5,0,0,1,0,18,0,1,7,1,1,1,0,3,3,6,0,0,2,20,0,1,0,0,2,0,0,0,2,2,1,1,0,0
Sbicolor,2,5,1,0,4,3,8,3,0,0,1,0,0,0,0,2,1,2,0,0,0,2,15,1,0,2,0,0,8,0,0,1,1,1,1,2,0,6,0,4,1,11,10,0,1,1,0,12,13,1,0,26,0,1,0,0,16,5,9,4,0,0,2,0,14
Soleracea,2,6,11,0,4,3,1,1,0,20,4,1,2,1,2,3,1,14,0,2,1,6,0,2,0,2,3,4,2,2,3,11,1,1,0,3,2,1,2,2,1,0,1,4,5,0,2,1,0,4,2,1,43,1,0,1,1,1,3,11,4,1,2,1,3
Sparvula,4,2,4,3,3,24,1,1,14,1,0,1,0,2,0,0,0,0,22,1,0,4,2,0,34,3,0,1,0,1,3,0,0,0,4,2,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,0,0,0,0,0,0,0,4,0
Spolyrhiza,0,2,2,0,2,0,1,0,2,1,0,0,1,5,1,1,1,0,0,0,1,0,3,8,0,0,1,0,2,3,0,0,0,4,6,0,0,1,0,11,1,0,4,1,2,0,0,2,1,0,0,0,0,0,64,0,1,2,2,0,1,0,3,3,4
Spurpurea,2,0,0,1,0,0,2,0,3,1,7,3,1,3,4,11,2,2,0,2,5,2,0,3,2,0,5,1,0,1,3,6,1,0,3,0,7,1,5,6,1,1,0,0,0,32,7,0,0,1,2,0,0,0,0,44,0,1,0,0,5,1,9,0,1
Sviridis,0,2,0,0,1,0,11,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,8,2,0,2,0,0,13,0,0,1,0,2,4,1,0,7,0,3,0,8,7,0,0,0,0,12,21,0,0,14,0,0,1,1,23,11,13,0,0,1,1,0,12
Taestivum,0,1,0,0,1,0,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,2,0,1,0,1,28,0,1,0,0,0,1,1,0,9,0,4,0,6,7,2,1,0,0,8,8,0,0,10,0,0,0,0,12,34,24,2,1,0,0,0,9
Tintermedium,1,3,0,0,2,0,16,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,11,1,0,0,0,0,23,0,0,0,1,1,1,0,0,7,0,3,0,3,10,0,1,0,0,8,8,0,0,10,0,0,0,0,13,34,26,1,0,0,0,0,10
Vdarrowii,3,4,6,0,4,2,2,7,1,7,4,0,8,3,1,4,10,4,3,1,0,1,2,2,0,2,0,2,0,0,0,1,0,2,4,11,0,0,2,5,1,0,0,6,5,0,1,1,0,2,0,1,5,1,0,0,0,2,0,103,1,1,4,0,0
Vfaba,6,1,10,6,12,1,1,0,1,2,0,10,0,2,5,3,5,2,0,6,4,8,0,1,1,5,4,0,0,4,22,7,5,1,2,2,1,1,7,2,3,0,0,1,3,0,4,0,0,3,0,0,3,1,0,1,0,0,1,1,21,3,1,5,0
Vunguiculata,2,4,1,12,2,0,0,1,0,5,3,14,0,2,5,5,2,5,1,3,4,3,0,0,2,2,15,2,0,8,8,5,1,0,0,1,4,1,8,2,1,2,0,2,3,6,5,0,0,5,0,0,1,3,0,2,1,0,1,2,3,18,5,2,0
Vvinifera,2,0,1,1,2,0,1,6,0,2,5,3,7,3,3,12,25,2,0,2,4,0,1,2,0,1,8,0,0,1,3,5,1,0,1,0,11,0,1,4,1,0,0,6,1,6,3,2,0,17,2,0,0,1,3,3,0,0,0,5,1,3,47,2,0
Zmarina,4,2,4,2,5,1,0,2,1,2,0,2,0,0,1,6,10,2,3,2,3,9,0,0,2,0,1,5,1,2,6,1,2,4,3,1,3,1,2,1,1,1,0,1,1,2,2,0,0,1,0,0,0,2,1,3,0,1,0,1,2,0,2,96,2
Zmays,0,2,0,0,5,0,12,3,0,1,0,0,0,0,0,0,5,2,1,0,0,1,18,2,0,1,2,2,10,0,0,1,1,0,3,1,2,13,0,4,0,3,12,1,0,0,0,8,11,0,0,9,1,1,0,1,7,12,8,2,2,0,0,0,45
