target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
species,65,0,0.017738274619008565,0.009809191529289397,0.4965536531427389,0.01528876339593126
species,65,1,0.03089892998149879,0.014210926337867198,0.5587840010851839,0.020002892787074344
species,65,2,0.05405405405405406,0.03943289774420464,0.697608040389274,0.03838122277146364
species,65,3,0.08775677583017033,0.07255217293752587,0.7986702243828613,0.062324757392638694
species,65,4,0.10148963359972535,0.08754560403573208,0.820439255764547,0.0742045184727439
species,65,8,0.18075874039176792,0.1703147961315035,0.8734401265586283,0.1363412480027458
species,65,16,0.47090350760075533,0.4582463481943866,0.9675770878652022,0.4640138165794068
species,65,32,0.5429247172366438,0.5318999877913183,0.8717147031635845,0.42978628377089356
species,65,64,0.5694749089244502,0.5668442152489447,0.8521912711860465,0.4608696913357084
species,65,128,0.594651814835301,0.5822220422214699,0.8582341827634878,0.43890874568876903
species,65,256,0.7110187110187111,0.7019596871351007,0.9905141107522494,0.7325352371523509
species,65,512,0.7202120963588854,0.7116638190450352,0.9905196802718527,0.7420302975971089
species,65,768,0.5478075111102634,0.5367451659166819,0.7967194595730271,0.35211297169346656
gc_content,5,0,0.20013732857769556,0.19943558690457927,0.5017401360896063,0.20099989846679275
gc_content,5,1,0.2397337351465792,0.22010256059154526,0.5460382760117412,0.22929939095189825
gc_content,5,2,0.6306433462396765,0.6338269445406199,0.8975343795122381,0.6779506699659201
gc_content,5,3,0.744416258177726,0.745667765808631,0.9443392746875936,0.7931762177825512
gc_content,5,4,0.7656068206526923,0.7669812372227816,0.9526832172854227,0.8194020858317614
gc_content,5,8,0.8160369261286693,0.8166745333875325,0.9681817186898751,0.8717145947497326
gc_content,5,16,0.8307806748173721,0.831427252978191,0.9730887124828568,0.8899058591350248
gc_content,5,32,0.8385626275534532,0.8391518193873898,0.9751430256929401,0.899012329391805
gc_content,5,64,0.838810581929848,0.8394939333859728,0.9756044916416995,0.9005972546686725
gc_content,5,128,0.8406988498731618,0.8413778421014797,0.9758544394365938,0.9013852452168385
gc_content,5,256,0.8409658776631254,0.8415609668849603,0.9757057234394036,0.9011402951748281
gc_content,5,512,0.8405844093917488,0.8412297665551316,0.9756647617317904,0.9009115440579911
gc_content,5,768,0.8412901256937955,0.8419355010623676,0.9756733537728914,0.900987685282508
repeat_fraction,5,0,0.20162505483606402,0.2009176963842016,0.5029927157437968,0.2015927242265143
