true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2741,29,1132,915,31,11,7,14,10,19
Bdistachyon,20,2652,22,41,480,318,401,287,579,564
Crubella,1316,28,2429,988,22,26,10,12,6,16
Esalsugineum,942,34,817,3046,35,17,11,18,6,28
Hvulgare,30,720,31,33,2334,248,445,316,323,1024
Osativa,38,393,87,75,254,2929,291,573,404,190
Pvaginatum,24,554,25,29,381,440,2059,733,842,352
Sbicolor,34,347,63,28,269,572,703,2608,567,252
Sviridis,17,736,25,20,343,433,819,643,1843,362
Taestivum,16,860,13,32,1156,204,466,316,402,2023
