version,rank,eigenvalue,n_samples
v13,182,3.752201e-05,65536
v13,183,3.7308684e-05,65536
v13,184,3.668329e-05,65536
v13,185,3.593203e-05,65536
v13,186,3.583961e-05,65536
v13,187,3.5402154e-05,65536
v13,188,3.437296e-05,65536
v13,189,3.3596156e-05,65536
v13,190,3.3357534e-05,65536
v13,191,3.273838e-05,65536
v13,192,3.2040498e-05,65536
v13,193,3.1379393e-05,65536
v13,194,3.1359257e-05,65536
v13,195,3.0813575e-05,65536
v13,196,3.0277462e-05,65536
v13,197,2.9935758e-05,65536
v13,198,2.9686114e-05,65536
v13,199,2.8682638e-05,65536
v13,200,2.8347531e-05,65536
v13,201,2.7918535e-05,65536
v13,202,2.7568622e-05,65536
v13,203,2.733573e-05,65536
v13,204,2.630156e-05,65536
v13,205,2.552471e-05,65536
v13,206,2.5434105e-05,65536
v13,207,2.5038496e-05,65536
v13,208,2.4811652e-05,65536
v13,209,2.4066281e-05,65536
v13,210,2.3553528e-05,65536
v13,211,2.3289893e-05,65536
v13,212,2.3153732e-05,65536
v13,213,2.2367438e-05,65536
v13,214,2.2045544e-05,65536
v13,215,2.1594828e-05,65536
v13,216,2.1383918e-05,65536
v13,217,2.075036e-05,65536
v13,218,2.0270916e-05,65536
v13,219,1.9846208e-05,65536
v13,220,1.964463e-05,65536
v13,221,1.9403897e-05,65536
v13,222,1.904078e-05,65536
v13,223,1.8963137e-05,65536
v13,224,1.8211085e-05,65536
v13,225,1.7658062e-05,65536
v13,226,1.7470784e-05,65536
v13,227,1.7314023e-05,65536
v13,228,1.6742626e-05,65536
v13,229,1.6665597e-05,65536
v13,230,1.616226e-05,65536
v13,231,1.5941143e-05,65536
v13,232,1.5568932e-05,65536
v13,233,1.5480939e-05,65536
v13,234,1.52571465e-05,65536
v13,235,1.49024845e-05,65536
v13,236,1.4850971e-05,65536
v13,237,1.4382469e-05,65536
v13,238,1.4251374e-05,65536
v13,239,1.3778284e-05,65536
v13,240,1.3683986e-05,65536
v13,241,1.3645297e-05,65536
v13,242,1.32023515e-05,65536
v13,243,1.2819255e-05,65536
v13,244,1.2323928e-05,65536
v13,245,1.2253401e-05,65536
v13,246,1.2169393e-05,65536
v13,247,1.1824849e-05,65536
v13,248,1.1519116e-05,65536
v13,249,1.1453455e-05,65536
v13,250,1.1237402e-05,65536
v13,251,1.1110278e-05,65536
v13,252,1.0697881e-05,65536
v13,253,1.0520522e-05,65536
v13,254,1.0438292e-05,65536
v13,255,1.0293483e-05,65536
v13,256,1.0101476e-05,65536
v13,257,9.972286e-06,65536
v13,258,9.868597e-06,65536
v13,259,9.562005e-06,65536
v13,260,9.334816e-06,65536
v13,261,9.233557e-06,65536
v13,262,8.897427e-06,65536
v13,263,8.767616e-06,65536
v13,264,8.516242e-06,65536
v13,265,8.296955e-06,65536
v13,266,8.153426e-06,65536
v13,267,8.007026e-06,65536
v13,268,7.83405e-06,65536
v13,269,7.531736e-06,65536
v13,270,7.4639074e-06,65536
v13,271,7.4270656e-06,65536
v13,272,7.307869e-06,65536
v13,273,7.11212e-06,65536
v13,274,6.809959e-06,65536
v13,275,6.6727853e-06,65536
v13,276,6.6501034e-06,65536
v13,277,6.4842775e-06,65536
v13,278,6.4569017e-06,65536
v13,279,6.2815893e-06,65536
v13,280,6.2339236e-06,65536
v13,281,6.074799e-06,65536
v13,282,5.957233e-06,65536
v13,283,5.910499e-06,65536
v13,284,5.7430475e-06,65536
v13,285,5.5831965e-06,65536
v13,286,5.4959364e-06,65536
v13,287,5.3816643e-06,65536
v13,288,5.290365e-06,65536
v13,289,5.235972e-06,65536
v13,290,5.182079e-06,65536
v13,291,5.114719e-06,65536
v13,292,4.9746113e-06,65536
v13,293,4.8844795e-06,65536
v13,294,4.7986473e-06,65536
v13,295,4.647474e-06,65536
v13,296,4.5606866e-06,65536
v13,297,4.440913e-06,65536
v13,298,4.346352e-06,65536
v13,299,4.2673923e-06,65536
v13,300,4.2503666e-06,65536
v13,301,4.2155702e-06,65536
v13,302,4.1378753e-06,65536
v13,303,4.0452455e-06,65536
v13,304,4.00925e-06,65536
v13,305,3.9463757e-06,65536
v13,306,3.8799085e-06,65536
v13,307,3.7971392e-06,65536
v13,308,3.7303935e-06,65536
v13,309,3.6725742e-06,65536
v13,310,3.5369765e-06,65536
v13,311,3.5242895e-06,65536
v13,312,3.4075947e-06,65536
v13,313,3.33885e-06,65536
v13,314,3.286456e-06,65536
v13,315,3.2472367e-06,65536
v13,316,3.2334226e-06,65536
v13,317,3.135779e-06,65536
v13,318,3.071636e-06,65536
v13,319,3.0041037e-06,65536
v13,320,2.9717182e-06,65536
v13,321,2.88243e-06,65536
v13,322,2.8041413e-06,65536
v13,323,2.7759606e-06,65536
v13,324,2.7261847e-06,65536
v13,325,2.7000801e-06,65536
v13,326,2.5785448e-06,65536
v13,327,2.4800258e-06,65536
v13,328,2.4680144e-06,65536
v13,329,2.3996663e-06,65536
v13,330,2.3575567e-06,65536
v13,331,2.2857525e-06,65536
v13,332,2.2032502e-06,65536
v13,333,2.1633525e-06,65536
v13,334,2.1609744e-06,65536
v13,335,2.1090436e-06,65536
v13,336,2.0642676e-06,65536
v13,337,2.0439388e-06,65536
v13,338,2.0295254e-06,65536
v13,339,1.9243457e-06,65536
v13,340,1.9139582e-06,65536
v13,341,1.8803141e-06,65536
v13,342,1.8534259e-06,65536
v13,343,1.8046778e-06,65536
v13,344,1.7594165e-06,65536
v13,345,1.7177581e-06,65536
v13,346,1.6508575e-06,65536
v13,347,1.6242057e-06,65536
v13,348,1.6044754e-06,65536
v13,349,1.5803843e-06,65536
v13,350,1.550601e-06,65536
v13,351,1.4962046e-06,65536
v13,352,1.475545e-06,65536
v13,353,1.4667085e-06,65536
v13,354,1.4459288e-06,65536
v13,355,1.4068077e-06,65536
v13,356,1.3912714e-06,65536
v13,357,1.3625939e-06,65536
v13,358,1.3323615e-06,65536
v13,359,1.3114641e-06,65536
v13,360,1.2972455e-06,65536
v13,361,1.2637964e-06,65536
v13,362,1.2426791e-06,65536
v13,363,1.2268807e-06,65536
v13,364,1.2165547e-06,65536
v13,365,1.1724388e-06,65536
v13,366,1.1497649e-06,65536
v13,367,1.1203568e-06,65536
v13,368,1.0988233e-06,65536
v13,369,1.0783073e-06,65536
v13,370,1.0579039e-06,65536
v13,371,1.0318165e-06,65536
v13,372,1.0134572e-06,65536
v13,373,9.788171e-07,65536
v13,374,9.665741e-07,65536
v13,375,9.605023e-07,65536
v13,376,9.367774e-07,65536
v13,377,9.305003e-07,65536
v13,378,9.253751e-07,65536
v13,379,9.0043505e-07,65536
v13,380,8.8656316e-07,65536
v13,381,8.712152e-07,65536
v13,382,8.5234046e-07,65536
v13,383,8.503977e-07,65536
v13,384,8.365305e-07,65536
v13,385,8.080468e-07,65536
v13,386,8.0338924e-07,65536
v13,387,7.9541053e-07,65536
v13,388,7.5897356e-07,65536
v13,389,7.4519727e-07,65536
v13,390,7.259165e-07,65536
v13,391,7.154364e-07,65536
v13,392,7.0913694e-07,65536
v13,393,7.0028017e-07,65536
v13,394,6.807208e-07,65536
v13,395,6.7787204e-07,65536
v13,396,6.5854806e-07,65536
v13,397,6.4896153e-07,65536
v13,398,6.370593e-07,65536
v13,399,6.274494e-07,65536
v13,400,6.153287e-07,65536
v13,401,6.124944e-07,65536
v13,402,6.033067e-07,65536
v13,403,5.929482e-07,65536
v13,404,5.893873e-07,65536
v13,405,5.7391844e-07,65536
v13,406,5.662303e-07,65536
v13,407,5.5836324e-07,65536
v13,408,5.3916483e-07,65536
v13,409,5.3612706e-07,65536
v13,410,5.310422e-07,65536
v13,411,5.2251994e-07,65536
v13,412,5.178817e-07,65536
v13,413,5.0855414e-07,65536
v13,414,5.0202743e-07,65536
v13,415,4.9917753e-07,65536
v13,416,4.9366844e-07,65536
v13,417,4.863293e-07,65536
v13,418,4.8010173e-07,65536
v13,419,4.7377517e-07,65536
v13,420,4.6518082e-07,65536
v13,421,4.5918765e-07,65536
v13,422,4.5067924e-07,65536
v13,423,4.4440193e-07,65536
v13,424,4.383083e-07,65536
v13,425,4.2542428e-07,65536
v13,426,4.2072264e-07,65536
v13,427,4.1803173e-07,65536
v13,428,4.1291855e-07,65536
v13,429,4.0600239e-07,65536
v13,430,3.9856258e-07,65536
v13,431,3.9511065e-07,65536
v13,432,3.8861256e-07,65536
v13,433,3.8456366e-07,65536
v13,434,3.746737e-07,65536
v13,435,3.7181485e-07,65536
v13,436,3.672927e-07,65536
v13,437,3.6489772e-07,65536
v13,438,3.5875365e-07,65536
v13,439,3.5435755e-07,65536
v13,440,3.4907413e-07,65536
v13,441,3.4319916e-07,65536
v13,442,3.403739e-07,65536
v13,443,3.381372e-07,65536
v13,444,3.356957e-07,65536
v13,445,3.2888317e-07,65536
v13,446,3.2789623e-07,65536
v13,447,3.2193105e-07,65536
v13,448,3.167659e-07,65536
v13,449,3.141378e-07,65536
v13,450,3.047318e-07,65536
v13,451,3.0280987e-07,65536
v13,452,2.9565922e-07,65536
v13,453,2.9025327e-07,65536
v13,454,2.8833534e-07,65536
v13,455,2.876388e-07,65536
v13,456,2.7964387e-07,65536
v13,457,2.7419208e-07,65536
v13,458,2.7043396e-07,65536
v13,459,2.6796693e-07,65536
v13,460,2.6219175e-07,65536
v13,461,2.5926005e-07,65536
v13,462,2.5643976e-07,65536
v13,463,2.524591e-07,65536
v13,464,2.4972346e-07,65536
v13,465,2.461264e-07,65536
v13,466,2.4221535e-07,65536
v13,467,2.4073145e-07,65536
v13,468,2.389878e-07,65536
v13,469,2.3690723e-07,65536
v13,470,2.3231057e-07,65536
v13,471,2.290224e-07,65536
v13,472,2.2607612e-07,65536
v13,473,2.2327187e-07,65536
v13,474,2.2063053e-07,65536
v13,475,2.1846513e-07,65536
v13,476,2.154282e-07,65536
v13,477,2.1076306e-07,65536
v13,478,2.0746609e-07,65536
v13,479,2.0393082e-07,65536
v13,480,2.0190173e-07,65536
v13,481,2.0020546e-07,65536
v13,482,1.9667186e-07,65536
v13,483,1.9456459e-07,65536
v13,484,1.9084044e-07,65536
v13,485,1.8838759e-07,65536
v13,486,1.8759445e-07,65536
v13,487,1.8628931e-07,65536
v13,488,1.8354595e-07,65536
v13,489,1.8068957e-07,65536
v13,490,1.7888276e-07,65536
v13,491,1.7861967e-07,65536
v13,492,1.7681852e-07,65536
v13,493,1.7231682e-07,65536
v13,494,1.7055685e-07,65536
v13,495,1.6945543e-07,65536
v13,496,1.6694368e-07,65536
v13,497,1.6441521e-07,65536
