true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2478,65,1115,1137,32,23,2,20,13,24
Bdistachyon,35,2427,35,41,472,353,384,352,703,562
Crubella,1399,58,2166,1089,31,46,5,32,13,14
Esalsugineum,1118,57,941,2709,39,36,0,18,8,28
Hvulgare,34,879,29,46,1839,397,465,398,433,984
Osativa,74,487,135,66,294,2528,286,717,436,211
Pvaginatum,39,742,30,21,398,560,1519,882,806,442
Sbicolor,43,484,69,36,242,752,680,2267,600,270
Sviridis,24,888,32,23,384,518,772,796,1383,421
Taestivum,28,1029,17,43,996,297,536,400,504,1638
