n_samples,rank,eigenvalue,cumulative_variance
512,1,0.2081438,0.8781731
512,2,0.017341917,0.95133984
512,3,0.0068176473,0.98010397
512,4,0.003591243,0.99525565
512,5,0.00072230294,0.9983031
512,6,0.00021790194,0.99922246
512,7,0.00010344861,0.99965894
512,8,4.28816e-05,0.99983984
512,9,1.6468683e-05,0.99990934
512,10,1.338459e-05,0.9999658
512,11,3.840236e-06,0.999982
512,12,2.4170783e-06,0.9999922
512,13,9.618097e-07,0.99999624
512,14,3.3184324e-07,0.9999976
512,15,2.0069241e-07,0.99999845
512,16,1.6202645e-07,0.9999991
512,17,1.0361461e-07,0.9999995
512,18,4.6446175e-08,0.9999997
512,19,1.6086434e-08,0.99999976
512,20,7.697269e-09,0.9999998
512,21,5.2947637e-09,0.9999998
512,22,3.2436953e-09,0.9999998
512,23,1.7237081e-09,0.9999998
512,24,8.298062e-10,0.9999998
512,25,5.7554006e-10,0.9999998
512,26,4.5290985e-10,0.9999998
512,27,3.1684222e-10,0.9999998
512,28,2.0698741e-10,0.9999998
512,29,1.5376465e-10,0.9999998
512,30,8.4590314e-11,0.9999998
512,31,5.1259802e-11,0.9999998
512,32,4.8342847e-11,0.9999998
512,33,2.2133906e-11,0.9999998
512,34,1.5502228e-11,0.9999998
512,35,9.904014e-12,0.9999998
512,36,6.457512e-12,0.9999998
512,37,4.3280358e-12,0.9999998
512,38,3.525829e-12,0.9999998
512,39,2.2461629e-12,0.9999998
512,40,1.6886435e-12,0.9999998
512,41,1.1008387e-12,0.9999998
512,42,9.205895e-13,0.9999998
512,43,6.235482e-13,0.9999998
512,44,4.850333e-13,0.9999998
512,45,3.6491475e-13,0.9999998
512,46,7.793229e-14,0.9999998
512,47,3.8442272e-14,0.9999998
512,48,3.2323182e-15,0.9999998
1024,1,0.2043649,0.88294256
1024,2,0.016320994,0.95345616
1024,3,0.0068473397,0.98303956
1024,4,0.0028776925,0.99547243
1024,5,0.00063801365,0.9982289
1024,6,0.00022402436,0.99919677
1024,7,0.000107807515,0.9996625
1024,8,3.8889837e-05,0.99983054
1024,9,1.733292e-05,0.9999054
1024,10,1.3928169e-05,0.9999656
1024,11,3.6672832e-06,0.99998146
1024,12,2.4967544e-06,0.99999225
1024,13,9.2950694e-07,0.99999624
1024,14,3.2282853e-07,0.9999976
1024,15,2.1971725e-07,0.99999857
1024,16,1.4285344e-07,0.99999917
1024,17,1.09177726e-07,0.99999964
1024,18,5.1817487e-08,0.9999999
1024,19,1.666044e-08,0.99999994
1024,20,7.866139e-09,1.0
1024,21,4.9028848e-09,1.0
1024,22,3.2914007e-09,1.0
1024,23,1.6928404e-09,1.0
1024,24,8.272058e-10,1.0
1024,25,5.5654414e-10,1.0
1024,26,4.2061957e-10,1.0
1024,27,3.2205935e-10,1.0
1024,28,2.0565442e-10,1.0
1024,29,1.5498387e-10,1.0
1024,30,9.0390695e-11,1.0
1024,31,5.4373905e-11,1.0
1024,32,4.6891418e-11,1.0
1024,33,2.2459961e-11,1.0
1024,34,1.6255886e-11,1.0
1024,35,1.0062458e-11,1.0
1024,36,6.6840344e-12,1.0
1024,37,4.256986e-12,1.0
1024,38,3.6297374e-12,1.0
1024,39,2.3727186e-12,1.0
1024,40,1.6569061e-12,1.0
1024,41,1.06707e-12,1.0
1024,42,8.8756194e-13,1.0
1024,43,6.025535e-13,1.0
1024,44,5.300162e-13,1.0
1024,45,3.8252862e-13,1.0
1024,46,8.1532945e-14,1.0
1024,47,4.2385495e-14,1.0
1024,48,3.2486579e-15,1.0
4096,1,0.20369747,0.88753176
4096,2,0.015697202,0.9559262
4096,3,0.006478167,0.98415226
4096,4,0.0025550202,0.99528474
4096,5,0.0006486735,0.99811107
4096,6,0.00024166716,0.99916404
4096,7,0.000112213056,0.999653
4096,8,4.170548e-05,0.9998347
4096,9,1.6118416e-05,0.99990493
4096,10,1.4279684e-05,0.99996716
4096,11,3.2310365e-06,0.9999812
4096,12,2.5760437e-06,0.99999243
4096,13,8.536808e-07,0.9999961
4096,14,3.2979085e-07,0.99999756
4096,15,2.1231983e-07,0.9999985
4096,16,1.352018e-07,0.9999991
4096,17,1.15472076e-07,0.9999996
4096,18,4.5858773e-08,0.99999976
4096,19,1.58327e-08,0.9999998
4096,20,7.524459e-09,0.9999999
4096,21,5.002784e-09,0.9999999
4096,22,3.3480936e-09,0.9999999
4096,23,1.7588614e-09,0.9999999
4096,24,8.515235e-10,0.9999999
4096,25,6.0124794e-10,0.9999999
4096,26,4.122982e-10,0.9999999
4096,27,3.4618466e-10,0.9999999
4096,28,2.0736357e-10,0.9999999
4096,29,1.6040907e-10,0.9999999
4096,30,9.221443e-11,0.9999999
4096,31,5.5964178e-11,0.9999999
4096,32,4.4395314e-11,0.9999999
4096,33,2.2398519e-11,0.9999999
4096,34,1.5508832e-11,0.9999999
4096,35,1.0007605e-11,0.9999999
4096,36,6.6162314e-12,0.9999999
4096,37,4.25958e-12,0.9999999
4096,38,3.663752e-12,0.9999999
4096,39,2.5322505e-12,0.9999999
4096,40,1.6938127e-12,0.9999999
4096,41,1.2108509e-12,0.9999999
4096,42,9.0458045e-13,0.9999999
4096,43,6.1325353e-13,0.9999999
4096,44,5.089086e-13,0.9999999
4096,45,3.672377e-13,0.9999999
4096,46,8.15562e-14,0.9999999
4096,47,4.1925254e-14,0.9999999
4096,48,3.4409642e-15,0.9999999
16384,1,0.20893604,0.88885266
16384,2,0.015583465,0.9551476
16384,3,0.0066567687,0.98346674
16384,4,0.002774144,0.99526846
16384,5,0.0006723861,0.9981289
16384,6,0.0002448559,0.99917054
16384,7,0.00011476799,0.99965876
16384,8,4.2882744e-05,0.9998412
16384,9,1.6172478e-05,0.99991
16384,10,1.3655219e-05,0.9999681
16384,11,3.2686414e-06,0.999982
16384,12,2.513366e-06,0.99999267
16384,13,8.3519564e-07,0.99999624
16384,14,3.3346709e-07,0.9999977
16384,15,2.1292514e-07,0.99999857
16384,16,1.3319234e-07,0.99999917
16384,17,1.1700641e-07,0.99999964
16384,18,4.7361e-08,0.9999998
16384,19,1.6005838e-08,0.9999999
16384,20,7.71579e-09,0.99999994
16384,21,5.0004374e-09,0.99999994
16384,22,3.4268661e-09,0.99999994
16384,23,1.7384817e-09,0.99999994
16384,24,8.462241e-10,0.99999994
16384,25,6.2801364e-10,0.99999994
16384,26,4.0599218e-10,0.99999994
16384,27,3.5473818e-10,0.99999994
16384,28,2.1482746e-10,0.99999994
16384,29,1.6374047e-10,0.99999994
16384,30,9.42729e-11,0.99999994
16384,31,5.689864e-11,0.99999994
16384,32,4.452083e-11,0.99999994
16384,33,2.3572649e-11,0.99999994
16384,34,1.5551232e-11,0.99999994
16384,35,1.0781368e-11,0.99999994
16384,36,6.731176e-12,0.99999994
16384,37,4.3605675e-12,0.99999994
16384,38,3.668557e-12,0.99999994
16384,39,2.7278201e-12,0.99999994
16384,40,1.7493464e-12,0.99999994
16384,41,1.2550338e-12,0.99999994
16384,42,9.172535e-13,0.99999994
16384,43,6.223157e-13,0.99999994
16384,44,5.2137044e-13,0.99999994
16384,45,3.8777583e-13,0.99999994
16384,46,8.6030006e-14,0.99999994
16384,47,4.3164704e-14,0.99999994
16384,48,3.7844496e-15,0.99999994
65536,1,0.20774145,0.8879592
65536,2,0.01572347,0.95516676
65536,3,0.006644279,0.9835667
65536,4,0.0027483867,0.99531424
65536,5,0.00065754895,0.99812484
65536,6,0.00024425075,0.9991689
65536,7,0.00011397377,0.999656
65536,8,4.2968422e-05,0.99983966
65536,9,1.6311014e-05,0.9999094
65536,10,1.3726229e-05,0.99996805
65536,11,3.2227028e-06,0.9999818
65536,12,2.5056938e-06,0.99999255
65536,13,8.552071e-07,0.9999962
65536,14,3.3685058e-07,0.9999976
65536,15,2.1264897e-07,0.9999985
65536,16,1.3727902e-07,0.9999991
65536,17,1.18714915e-07,0.99999964
65536,18,4.5742794e-08,0.9999998
65536,19,1.5863339e-08,0.9999999
65536,20,7.670271e-09,0.99999994
65536,21,5.071065e-09,0.99999994
65536,22,3.4728078e-09,0.99999994
65536,23,1.788729e-09,0.99999994
65536,24,8.493356e-10,0.99999994
65536,25,6.3602973e-10,0.99999994
65536,26,4.08705e-10,0.99999994
65536,27,3.6044745e-10,0.99999994
65536,28,2.1928805e-10,0.99999994
65536,29,1.6242852e-10,0.99999994
65536,30,9.583086e-11,0.99999994
65536,31,5.7326397e-11,0.99999994
65536,32,4.6330162e-11,0.99999994
65536,33,2.4231945e-11,0.99999994
65536,34,1.6135664e-11,0.99999994
65536,35,1.0946066e-11,0.99999994
65536,36,6.792534e-12,0.99999994
65536,37,4.3883074e-12,0.99999994
65536,38,3.7647828e-12,0.99999994
65536,39,2.689689e-12,0.99999994
65536,40,1.7946548e-12,0.99999994
65536,41,1.2514548e-12,0.99999994
65536,42,9.267162e-13,0.99999994
65536,43,6.3907327e-13,0.99999994
65536,44,5.198984e-13,0.99999994
65536,45,3.9196616e-13,0.99999994
65536,46,8.7165165e-14,0.99999994
65536,47,4.4364757e-14,0.99999994
65536,48,3.8282497e-15,0.99999994
262144,1,0.20837508,0.8876879
262144,2,0.015754845,0.9548043
262144,3,0.0067119393,0.9833975
262144,4,0.0027971598,0.9953135
262144,5,0.00066262216,0.99813634
262144,6,0.00024264309,0.99917
262144,7,0.000113710055,0.9996544
262144,8,4.3407916e-05,0.9998393
262144,9,1.6292988e-05,0.9999087
262144,10,1.3920277e-05,0.999968
262144,11,3.2345934e-06,0.99998176
262144,12,2.5315428e-06,0.99999255
262144,13,8.6291163e-07,0.99999624
262144,14,3.3885308e-07,0.9999977
262144,15,2.1204805e-07,0.99999857
262144,16,1.3918404e-07,0.99999917
262144,17,1.2031828e-07,0.9999997
262144,18,4.6297796e-08,0.9999999
262144,19,1.5930809e-08,0.99999994
262144,20,8.253205e-09,1.0
262144,21,5.1475237e-09,1.0
262144,22,3.4744774e-09,1.0
262144,23,1.7920712e-09,1.0
262144,24,8.567461e-10,1.0
262144,25,6.3539374e-10,1.0
262144,26,4.1940465e-10,1.0
262144,27,3.5833397e-10,1.0
262144,28,2.2171923e-10,1.0
262144,29,1.6318212e-10,1.0
262144,30,9.536138e-11,1.0
262144,31,5.8071926e-11,1.0
262144,32,4.6989034e-11,1.0
262144,33,2.4703012e-11,1.0
262144,34,1.614983e-11,1.0
262144,35,1.0958662e-11,1.0
262144,36,6.8612694e-12,1.0
262144,37,4.4024103e-12,1.0
262144,38,3.7924815e-12,1.0
262144,39,2.6710656e-12,1.0
262144,40,1.8069795e-12,1.0
262144,41,1.2649065e-12,1.0
262144,42,9.397268e-13,1.0
262144,43,6.376837e-13,1.0
262144,44,5.1784304e-13,1.0
262144,45,3.9126623e-13,1.0
262144,46,8.6998795e-14,1.0
262144,47,4.4892184e-14,1.0
262144,48,3.8616173e-15,1.0
