true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2048,126,1284,1033,73,88,17,145,41,54
Bdistachyon,232,1081,187,290,659,365,625,508,740,677
Crubella,1765,131,1485,974,74,128,25,182,35,54
Esalsugineum,1752,185,1187,1136,134,150,46,238,35,91
Hvulgare,252,818,163,303,989,378,627,535,600,839
Osativa,547,659,375,480,441,627,535,683,510,377
Pvaginatum,235,897,172,288,605,398,905,513,808,618
Sbicolor,450,770,360,471,474,546,509,792,591,480
Sviridis,225,882,184,234,551,362,822,518,806,657
Taestivum,175,877,145,273,742,321,695,471,707,1082
