true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,238,8,17,7,25,10,5,11,5,23,10,6,9,1,9,9,23,12,6,14,2,21,2,2,4,24,6,8,2,10,14,16,11,4,5,8,3,1,17,7,8,2,3,12,16,8,6,3,0,22,5,2,16,0,2,0,3,3,2,17,11,3,3,5,1
Acomosus,5,389,11,10,31,7,7,16,5,12,15,3,10,16,14,10,8,4,5,4,5,12,10,18,6,9,3,6,9,1,1,2,1,7,5,11,12,5,2,17,7,18,10,3,3,0,8,3,4,7,3,8,10,5,4,0,6,7,5,17,5,3,2,4,14
Ahypochondriacus,20,6,311,9,13,6,2,3,6,40,6,16,4,2,12,3,3,40,7,16,6,9,1,4,5,6,11,17,2,20,34,8,12,3,4,9,5,0,15,7,14,3,3,9,4,4,17,4,0,13,7,0,35,1,1,1,1,0,0,17,29,18,6,3,4
Ahypogaea,7,8,11,150,11,6,2,8,2,8,13,45,6,4,13,17,9,13,5,18,26,9,1,1,5,11,42,5,3,30,18,40,3,3,7,9,41,2,15,6,3,2,1,6,16,6,12,2,1,21,21,0,6,2,1,11,1,2,4,4,19,28,27,6,2
Aofficinalis,31,18,12,12,324,7,4,10,6,31,16,9,9,9,14,11,10,8,6,5,6,23,4,11,10,30,2,15,10,23,22,18,9,14,17,22,3,0,14,10,21,13,2,10,6,2,10,3,4,11,9,8,9,7,8,6,4,4,3,32,12,5,9,16,5
Athaliana,9,3,6,1,10,175,3,1,57,2,2,2,1,2,7,2,0,4,95,9,4,3,1,3,78,15,1,15,0,1,8,2,11,21,3,13,0,0,10,7,2,2,3,1,5,3,2,0,0,0,2,0,5,90,2,2,0,2,1,5,6,7,1,5,3
Bdistachyon,2,3,0,0,3,1,206,0,0,2,3,0,0,5,1,1,2,0,0,0,0,2,53,9,2,7,1,3,45,0,0,0,1,7,4,7,0,22,3,8,0,29,45,0,3,1,0,30,42,0,0,40,4,0,3,2,61,49,57,6,1,0,0,1,29
Bplatyphylla,12,13,15,2,25,1,2,178,2,12,20,0,112,9,17,25,43,12,3,10,10,9,2,10,1,12,8,11,1,10,5,14,5,2,6,18,9,3,9,9,4,2,2,11,33,14,10,1,1,46,2,2,3,6,0,9,0,3,1,25,2,4,29,8,4
Bstricta,5,4,7,4,9,86,0,2,64,1,1,2,0,6,2,3,0,4,64,9,0,8,0,4,71,6,1,11,1,2,6,2,17,11,3,6,1,1,5,9,0,0,0,3,1,10,2,1,0,1,6,1,6,71,2,4,0,1,0,6,3,4,0,13,0
Bvulgaris,35,6,70,10,32,2,1,9,3,208,29,5,9,3,9,16,11,58,5,10,5,20,3,3,2,17,8,11,3,20,20,20,9,1,2,9,2,1,23,7,13,4,4,12,6,4,6,5,0,24,9,4,49,2,2,5,0,3,2,28,11,6,12,6,4
Carabica,8,12,20,9,13,2,1,33,3,26,176,3,9,19,28,20,11,19,2,12,9,8,2,15,8,6,7,5,0,2,4,8,3,7,11,13,15,1,15,34,22,2,2,14,17,20,11,0,3,18,14,1,13,1,2,14,1,4,0,40,5,2,19,6,1
