true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,222,4,5,11,25,8,3,12,5,24,11,9,13,3,3,13,23,15,4,7,4,32,1,1,6,24,5,7,4,16,9,17,13,7,11,6,3,0,16,7,13,0,2,9,9,7,4,2,4,19,6,2,20,1,2,9,4,4,4,10,6,6,6,10,0
Acomosus,11,324,7,9,47,2,9,15,5,8,14,3,14,11,14,18,3,10,3,4,5,17,10,13,5,3,7,2,5,4,4,3,4,12,9,17,12,2,7,19,20,21,4,3,8,7,11,4,9,6,5,7,9,5,6,3,2,6,3,29,3,3,2,5,8
Ahypochondriacus,15,2,315,9,12,8,1,3,1,43,15,23,3,0,8,4,5,27,1,24,11,16,2,6,1,5,14,21,3,31,28,14,19,2,2,10,4,0,21,5,19,0,1,14,2,5,9,0,3,12,5,0,25,2,1,5,1,2,5,16,13,9,6,6,2
Ahypogaea,3,9,13,140,17,8,0,4,9,11,6,34,4,2,13,17,10,12,3,13,32,12,1,3,1,12,52,5,2,27,17,36,7,4,10,12,42,1,12,3,5,2,1,7,13,11,16,1,7,17,18,1,6,9,1,11,5,1,6,2,17,29,17,12,3
Aofficinalis,33,25,22,8,307,3,5,6,4,33,9,6,6,15,8,21,15,11,4,9,12,28,2,15,5,20,10,15,6,15,14,16,8,12,14,24,7,2,8,21,14,3,1,9,9,8,6,3,10,8,5,4,17,3,2,1,4,5,10,44,17,6,8,22,11
Athaliana,8,3,5,4,7,188,4,1,54,5,1,1,0,3,3,0,0,1,126,18,5,4,2,5,77,19,2,13,1,2,7,2,1,17,1,8,0,1,4,1,0,0,0,1,0,2,1,0,0,2,0,0,5,91,0,2,6,1,0,3,4,5,3,6,0
Bdistachyon,5,7,0,0,4,1,197,0,1,1,3,1,0,10,2,0,1,1,0,1,2,5,54,5,0,3,0,1,33,2,1,0,1,1,8,2,2,17,2,16,2,40,61,1,0,1,1,47,40,0,1,28,1,2,6,0,35,51,59,5,0,1,0,2,32
Bplatyphylla,12,10,13,5,16,1,0,144,1,13,14,1,84,9,17,36,52,22,2,3,15,6,2,12,3,11,18,9,3,11,5,14,8,3,10,12,8,1,8,13,17,1,0,8,21,22,17,1,1,53,2,1,5,3,0,25,3,4,1,22,5,7,32,4,7
Bstricta,4,2,2,5,3,81,2,2,58,1,5,6,3,1,8,1,0,2,77,10,2,10,2,9,83,6,1,9,1,3,9,1,6,13,2,8,4,1,7,2,3,2,1,1,0,2,5,0,2,2,3,0,3,64,1,4,6,1,3,1,5,1,1,10,0
Bvulgaris,35,5,54,10,39,5,6,5,3,178,18,6,5,7,6,8,15,51,6,17,4,18,3,6,1,12,9,16,3,29,17,24,5,2,6,9,9,1,22,10,10,2,2,19,13,8,9,0,6,23,8,3,55,2,1,7,4,3,5,28,18,5,7,8,7
Carabica,15,9,16,7,6,1,3,17,2,16,178,0,19,35,29,16,22,11,1,10,11,8,5,10,4,11,13,6,1,2,1,12,4,4,7,14,10,1,15,38,10,2,4,12,16,28,26,1,2,21,11,4,6,1,4,27,1,4,3,32,2,4,11,7,2
Carietinum,6,1,27,26,9,4,2,2,4,2,4,193,0,1,10,11,3,9,1,24,11,20,2,4,4,0,45,11,1,29,39,13,17,1,2,1,7,0,28,0,13,1,0,13,1,5,16,1,2,15,13,0,6,2,1,5,0,3,3,2,32,37,6,13,1
Cavellana,9,11,10,8,19,1,2,98,0,10,17,5,157,7,8,37,53,24,4,8,18,1,2,6,1,9,8,12,2,11,3,14,9,4,8,15,8,2,11,10,7,1,1,13,30,11,8,2,5,54,3,3,6,2,0,10,1,2,4,26,4,7,16,8,6
Ccitriodora,1,17,5,0,9,4,15,7,1,7,25,0,5,200,5,6,9,0,1,2,3,0,7,172,6,10,0,0,4,1,3,4,1,12,15,13,3,5,3,39,10,6,8,9,5,5,2,1,6,2,0,6,5,3,12,9,8,3,4,20,4,1,8,4,7
Cclementina,10,9,14,14,9,1,3,13,3,9,39,12,16,7,106,13,6,14,3,6,20,33,2,2,3,9,16,4,1,6,7,14,5,6,6,17,19,2,13,4,10,1,2,9,23,31,91,0,4,15,12,1,3,7,0,32,1,1,2,4,8,9,12,15,1
Cillinoinensis,11,20,5,15,10,3,3,42,1,11,21,4,28,6,23,166,34,14,6,5,15,17,2,4,2,8,14,5,1,9,8,12,2,6,6,17,26,2,7,19,9,2,1,5,27,21,21,4,8,28,9,3,9,4,2,23,1,6,3,24,6,11,37,10,10
Ckanehirae,17,4,5,0,14,0,1,26,0,11,13,2,17,10,4,14,643,10,0,6,7,1,5,6,4,15,1,4,3,3,2,9,4,5,7,9,5,3,3,33,5,5,1,22,22,9,0,4,5,27,1,4,2,0,3,6,2,7,4,51,3,2,41,3,6
Cquinoa,26,5,51,13,25,2,3,9,2,66,7,9,15,4,5,8,16,195,7,14,14,25,3,2,1,11,11,23,4,27,16,21,11,0,5,10,11,0,22,2,9,1,0,15,8,14,12,2,2,48,7,1,31,2,0,6,6,1,8,12,10,2,7,4,4
Crubella,10,2,6,6,2,109,2,5,47,3,3,2,2,1,2,1,2,2,160,20,2,8,2,5,68,23,2,10,1,7,5,3,11,16,3,8,1,0,10,5,2,0,1,0,6,2,4,1,0,6,5,1,5,65,1,5,6,0,3,4,4,6,1,7,2
Csativus,16,2,25,9,6,24,1,2,10,8,13,23,5,1,10,11,8,2,15,238,8,8,2,3,10,2,15,2,0,23,14,15,22,9,3,5,10,1,14,3,13,1,1,3,5,4,16,1,1,11,7,0,10,14,2,5,1,0,2,5,14,14,17,9,0
Dalata,8,10,5,20,6,2,4,16,4,5,4,9,16,8,17,14,12,10,5,5,251,4,3,4,3,15,33,2,4,13,7,16,6,4,30,9,10,1,8,9,4,0,1,1,5,30,15,1,9,24,13,1,3,3,2,18,3,1,3,3,11,11,26,8,6
Dcarota,31,12,23,11,34,3,2,3,2,20,10,15,5,1,23,9,1,17,2,1,5,304,3,0,6,10,14,15,2,29,9,10,2,1,6,7,5,1,13,1,15,3,4,4,6,8,15,1,3,3,12,0,12,8,1,5,1,4,3,4,14,14,1,15,2
Ecoracana,5,8,0,0,6,0,73,2,1,5,2,0,0,9,4,5,1,2,2,0,4,5,149,3,1,9,0,1,26,3,0,0,1,3,11,3,0,27,1,9,0,35,123,1,2,1,0,45,28,0,1,35,3,1,5,0,45,27,23,5,0,2,2,3,37
Egrandis,0,21,2,0,9,0,14,8,4,9,20,1,7,181,3,4,7,2,2,2,3,1,7,189,7,9,2,4,4,1,2,2,2,11,15,8,5,3,1,46,5,8,2,11,6,2,2,8,11,1,2,2,4,8,13,5,5,8,3,25,3,2,5,0,5
Esalsugineum,6,0,3,5,6,100,3,3,46,0,6,2,0,3,1,1,1,1,74,9,1,8,1,11,149,14,5,9,3,2,5,3,5,18,7,7,3,0,9,7,3,1,2,2,0,4,5,0,1,0,1,1,4,118,3,1,1,1,1,4,3,6,3,19,1
Fvesca,35,16,8,5,23,4,4,9,4,9,12,1,6,8,4,11,14,16,18,3,11,6,6,10,11,222,0,14,6,4,5,21,5,36,14,19,1,2,4,16,3,1,2,7,23,4,3,1,5,4,0,6,18,7,0,2,3,6,3,21,10,7,4,5,2
Gmax,6,4,4,37,7,0,2,9,2,10,7,35,8,5,17,11,5,12,3,21,31,18,3,2,0,6,179,2,0,33,11,50,6,1,8,4,19,0,21,3,10,0,2,2,9,25,27,2,4,35,13,1,3,2,1,13,1,2,2,1,13,67,19,5,0
Hannuus,9,4,26,3,10,7,3,4,3,10,0,3,7,1,2,3,3,18,4,2,1,19,1,0,2,12,4,429,4,3,11,6,37,7,0,7,2,1,16,0,6,1,0,7,4,1,1,4,4,3,0,0,39,2,1,0,7,5,7,21,7,3,4,12,1
Hvulgare,2,5,1,1,10,0,52,3,0,2,2,2,0,10,0,2,3,1,0,0,0,5,31,11,0,4,0,3,191,2,2,1,2,4,6,3,2,18,3,11,1,21,31,1,2,1,0,40,21,0,1,19,9,1,6,1,42,95,91,6,0,1,1,3,45
Lalbus,17,2,43,10,10,1,1,2,2,17,3,28,3,0,4,2,7,13,3,18,14,23,1,2,0,7,32,8,0,318,20,32,16,0,6,2,5,3,22,4,5,0,1,1,5,1,7,0,4,9,4,0,7,2,3,3,2,4,4,4,16,19,4,5,0
Lervoides,10,3,24,26,18,11,3,2,6,19,6,40,2,4,8,7,4,18,7,20,5,19,1,7,4,3,13,10,1,31,177,19,24,2,1,7,10,0,33,3,18,0,0,2,4,3,5,1,5,7,7,0,16,9,1,3,3,5,2,5,93,23,9,13,3
Ljaponicus,18,5,10,14,31,3,2,6,1,25,18,11,10,6,12,5,26,15,4,11,14,16,3,9,2,20,48,8,1,44,12,168,6,13,9,22,9,2,18,8,5,0,1,11,18,9,16,0,0,17,9,2,9,2,2,9,3,1,5,17,12,21,22,6,3
Lsativa,13,3,21,7,14,11,3,5,10,11,2,23,11,2,6,3,7,7,18,18,3,10,3,1,8,4,5,48,1,19,12,9,199,13,2,8,3,1,17,2,16,1,1,7,3,4,6,1,5,10,4,0,9,4,2,1,8,4,4,7,17,4,2,17,2
Lusitatissimum,3,7,4,1,12,12,7,0,7,1,2,2,1,15,2,1,6,1,8,3,3,6,4,10,8,36,0,12,4,0,1,3,11,352,11,12,0,3,3,8,4,4,3,9,3,0,3,1,2,1,1,1,5,24,6,3,2,2,2,7,3,0,0,15,4
Macuminata,13,9,5,6,17,1,6,2,3,2,5,2,3,22,2,2,8,3,1,5,23,9,17,15,3,21,11,0,4,6,8,8,2,16,320,2,5,7,0,39,2,6,12,1,4,5,5,4,7,2,8,6,3,6,18,7,8,3,3,6,6,5,6,6,10
Mdomestica,10,13,9,1,30,4,6,14,6,11,13,2,15,11,17,16,18,9,7,5,5,19,4,13,7,29,4,18,5,1,11,18,8,31,2,107,0,1,6,20,15,2,2,11,24,4,16,2,5,7,3,1,28,8,2,12,1,4,8,65,7,1,6,8,4
Mesculenta,4,5,7,35,13,1,0,10,5,8,21,11,9,1,29,31,14,8,1,16,20,8,3,2,2,5,21,1,2,7,2,12,4,0,4,5,230,1,7,6,5,0,0,4,17,39,23,0,4,17,34,3,3,7,0,32,1,4,6,6,5,19,30,8,10
Msinensis,3,3,1,1,9,0,45,0,3,0,3,0,0,1,0,1,2,0,0,0,0,1,52,2,0,5,0,0,27,2,0,0,1,6,5,0,2,61,3,4,2,32,22,3,0,3,0,51,42,1,1,60,1,1,7,1,41,40,20,2,1,1,0,1,58
Mtruncatula,22,3,44,7,13,2,1,8,1,17,1,34,2,4,10,4,5,18,4,23,6,20,1,1,2,1,22,8,0,37,39,15,17,0,1,7,1,0,182,3,11,0,0,4,2,5,9,0,1,30,4,1,10,2,0,2,4,2,7,4,33,10,2,8,1
Ncolorata,6,12,5,3,7,0,16,8,2,7,43,0,2,47,8,11,61,2,7,3,10,2,12,47,3,11,2,3,3,2,1,4,2,11,32,12,7,4,4,354,7,5,8,4,11,13,7,4,6,4,1,8,5,5,21,8,5,5,5,29,3,4,5,9,5
Oeuropaea,14,9,28,5,14,1,2,9,1,7,22,4,4,5,20,7,11,16,1,17,3,16,1,8,3,5,7,12,4,7,20,6,9,6,4,16,10,0,28,6,107,4,0,13,8,4,22,2,2,10,4,0,14,3,2,8,2,7,6,17,11,11,8,14,4
Osativa,3,17,2,2,12,0,48,0,1,5,9,0,2,9,1,4,8,4,1,2,7,6,42,5,0,9,0,5,24,2,0,4,0,4,9,6,1,14,0,13,1,213,44,4,1,2,1,18,37,0,3,38,1,1,2,1,35,22,19,10,2,1,1,2,25
Othomaeum,10,7,2,0,4,1,55,3,3,1,2,2,1,5,4,5,5,0,0,2,1,5,97,3,1,7,1,0,23,2,1,5,0,4,10,3,2,15,2,14,1,32,189,2,2,0,4,39,36,0,3,37,2,0,4,2,37,24,27,2,1,0,1,1,29
Pamilis,5,8,27,1,11,0,0,7,3,20,12,5,12,8,9,10,44,21,1,7,2,13,3,7,3,23,17,9,5,8,7,17,11,8,2,7,1,4,7,8,10,1,2,228,10,4,4,5,5,9,5,4,21,1,2,7,2,7,8,39,4,3,9,2,4
Ppersica,21,7,7,2,9,5,7,15,2,8,22,1,26,11,25,18,31,4,4,8,12,9,7,9,1,41,8,9,2,2,3,23,3,8,7,30,5,2,9,22,5,1,2,10,114,14,14,1,3,20,9,4,10,4,2,24,2,4,5,31,2,3,14,8,1
Ptrichocarpa,9,7,12,10,9,3,3,14,0,8,39,5,8,11,25,21,12,14,5,11,17,9,1,0,5,8,14,2,2,3,6,10,5,1,5,4,34,0,5,13,7,2,0,3,16,164,20,1,3,25,20,0,4,5,1,104,3,1,2,12,4,11,23,7,1
Ptrifoliata,6,11,7,24,7,1,2,3,4,7,37,9,9,6,100,13,2,8,4,9,15,23,2,2,1,9,29,5,0,10,10,12,5,5,3,14,30,0,10,7,18,0,1,3,23,25,126,0,1,9,16,0,7,3,1,36,1,3,5,8,10,11,6,7,2
