target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
species,10,0,0.1022525701424784,0.09271916662551409,0.5008096480187996,0.10043120170392703
species,10,1,0.18468786358694617,0.1707837689847162,0.6961069481647698,0.1835937050490551
species,10,2,0.19096301665109006,0.17858724463684078,0.7034690258853782,0.19029259213441435
species,10,3,0.20545881096339813,0.1983353274493998,0.7202950262619248,0.20602904712171383
species,10,4,0.24108794750996587,0.23007823134235714,0.7512151607929936,0.23893135991681308
species,10,8,0.3112971828568159,0.3095073354023703,0.8098574190866314,0.31707569457943896
species,10,16,0.358751835816056,0.359099756661951,0.8384426702519303,0.3726206456032189
species,10,32,0.3953537164546339,0.39557765934224737,0.8557411301555249,0.4150393334685504
species,10,64,0.4249365808998837,0.4255658088802424,0.868409439384255,0.45011829792350133
species,10,112,0.4417211848404509,0.44231396177671173,0.8758641068600838,0.47128843957830735
gc_content,5,0,0.1999465944420073,0.19954114524884672,0.5003393607089723,0.20015784974214848
gc_content,5,1,0.8558812870739476,0.8563560147110527,0.9815504689784555,0.9203458124420048
gc_content,5,2,0.8712544584104217,0.8713075214766434,0.9849626948720968,0.9375508260201958
gc_content,5,3,0.8735432680386809,0.8736089181726777,0.9855579640353505,0.9400811928806181
gc_content,5,4,0.8747067462663793,0.8747631714284015,0.9860656958995024,0.9425330741130816
gc_content,5,8,0.889584008850064,0.8896710073226576,0.9887849817928988,0.9540502307168175
gc_content,5,16,0.9176219267962388,0.9176560621183565,0.993650699637034,0.9742396626293622
gc_content,5,32,0.9274447347841843,0.9274699096945452,0.9948990917693253,0.9793785225404246
gc_content,5,64,0.9338915485704476,0.933919677842834,0.9956578871625894,0.9822525786636314
gc_content,5,112,0.9338343283297412,0.9338503003422616,0.9957208924254368,0.9823312615913539
repeat_fraction,4,0,0.3934654485113201,0.14118234827123655,0.5003599533079596,0.25046109995880655
repeat_fraction,4,1,0.39703217684869063,0.18913444670120436,0.5882318156144815,0.3089129616451174
repeat_fraction,4,2,0.4139693680978085,0.2434951214150606,0.6172114415523254,0.3374584688469055
repeat_fraction,4,3,0.41890938221213453,0.268628656589352,0.6296586873193524,0.35279003559470434
repeat_fraction,4,4,0.4797535714966908,0.3491046478505136,0.7010115499770804,0.42803954871834937
repeat_fraction,4,8,0.5060367353945335,0.40011089230714963,0.7316864302644439,0.47136113948458236
repeat_fraction,4,16,0.5312708615460909,0.437112605832164,0.7553445942777078,0.5045065781558067
repeat_fraction,4,32,0.5399301913063381,0.4514984195064039,0.7650283549590458,0.518889062551052
repeat_fraction,4,64,0.5444505903221499,0.4582679981904793,0.7704507402536814,0.5279718171542445
repeat_fraction,4,112,0.5459001697533807,0.459969139529522,0.7739584147376074,0.533886280237216
kmer_entropy_1,5,0,0.19737168361021573,0.1970801396728078,0.49979223427602804,0.1993799813313008
kmer_entropy_1,5,1,0.7878464208739439,0.7866043813604285,0.9575911052743489,0.8309723447355625
kmer_entropy_1,5,2,0.823532777661218,0.8234395103289242,0.9710651933312813,0.8839044500874207
kmer_entropy_1,5,3,0.8385435541398845,0.8387545083277443,0.9773601991950478,0.9072394928143334
kmer_entropy_1,5,4,0.8417288142058784,0.8419243275030878,0.9783222005351944,0.9123224179462135
kmer_entropy_1,5,8,0.857388086745885,0.8575028741794485,0.9818530482022542,0.926574370797946
kmer_entropy_1,5,16,0.8855976654141792,0.88569111635684,0.9881565323662279,0.9530565900924419
kmer_entropy_1,5,32,0.8931888840145721,0.8933094153515615,0.989470857839812,0.9582252671079893
kmer_entropy_1,5,64,0.8975185488946957,0.8976137688929755,0.9900785978749254,0.9604195022573467
kmer_entropy_1,5,112,0.8982051917831735,0.8983044460769056,0.9901310448465918,0.960653242564575
kmer_entropy_3,5,0,0.1970665089931145,0.19655545379771672,0.4987156326754226,0.19936803260481087
kmer_entropy_3,5,1,0.713441034541952,0.7132082014768575,0.9304166561904592,0.7383929021040313
kmer_entropy_3,5,2,0.7361193232752866,0.7358926858531321,0.9420659306173456,0.7788629699318499
kmer_entropy_3,5,3,0.7550973697762688,0.7549376297471537,0.9502356432020918,0.8053544121793058
kmer_entropy_3,5,4,0.7718438268896984,0.7716630485941052,0.9566799250642006,0.8291391670602722
kmer_entropy_3,5,8,0.7908027999771119,0.7907785323589865,0.9630184085985661,0.8535964473288079
kmer_entropy_3,5,16,0.8119933624520781,0.8121925187021617,0.9690766280812315,0.8757727317567465
kmer_entropy_3,5,32,0.8277289286463598,0.828002683707935,0.9738874733557108,0.8954572299631843
kmer_entropy_3,5,64,0.8335844666119896,0.8338952527819281,0.9755020929545013,0.9013673057072145
kmer_entropy_3,5,112,0.8341757424326232,0.8343959416357457,0.9757968367379014,0.9024081490221325
kmer_entropy_9,5,0,0.19653245341318737,0.19560062048127225,0.4985080147940872,0.19882278636274528
kmer_entropy_9,5,1,0.30195121020809096,0.2829610791452821,0.615786411282893,0.2982175658304896
kmer_entropy_9,5,2,0.30929447443208913,0.29206625373983264,0.6374802580585135,0.3166937838133399
kmer_entropy_9,5,3,0.31854508001296994,0.30224568068765045,0.6511214773946181,0.3286325731110328
kmer_entropy_9,5,4,0.3713212153579126,0.3587934160480744,0.7084312733064466,0.38588081646912314
kmer_entropy_9,5,8,0.4211981918403937,0.41297508204636263,0.7516150179174721,0.4418165809949226
kmer_entropy_9,5,16,0.44803448473173246,0.4416306024881447,0.7742620545617752,0.46980926262774564
kmer_entropy_9,5,32,0.4679280550840184,0.46248271993786627,0.7876814437051446,0.4897975311070975
