n_samples,rank,eigenvalue,cumulative_variance
16384,1,586.47107,0.41180754
16384,2,256.4366,0.59187186
16384,3,65.73523,0.63802975
16384,4,45.620895,0.6700638
16384,5,38.112217,0.6968254
16384,6,32.126297,0.7193838
16384,7,24.12238,0.736322
16384,8,22.939941,0.7524299
16384,9,19.952414,0.76644003
16384,10,18.83128,0.77966297
16384,11,17.070461,0.79164946
16384,12,14.385299,0.80175054
16384,13,12.693679,0.81066376
16384,14,10.527255,0.81805575
16384,15,9.894723,0.8250036
16384,16,8.4870615,0.8309631
16384,17,7.68365,0.83635837
16384,18,7.08976,0.84133667
16384,19,6.614412,0.8459812
16384,20,6.237585,0.8503611
16384,21,5.9912567,0.85456806
16384,22,5.3292413,0.85831016
16384,23,4.975847,0.86180407
16384,24,4.871799,0.86522496
16384,25,4.5923305,0.86844957
16384,26,4.222057,0.8714142
16384,27,4.135769,0.87431824
16384,28,3.7195969,0.87693006
16384,29,3.5758274,0.8794409
16384,30,3.3651729,0.8818039
16384,31,3.3081741,0.8841268
16384,32,3.2038574,0.88637644
16384,33,3.1304169,0.88857454
16384,34,2.9481761,0.89064467
16384,35,2.892906,0.892676
16384,36,2.7376108,0.8945983
16384,37,2.5800965,0.89641
16384,38,2.5134041,0.8981748
16384,39,2.4076238,0.8998654
16384,40,2.298084,0.90147907
16384,41,2.2538433,0.9030617
16384,42,2.0563147,0.9045056
16384,43,1.9726174,0.90589076
16384,44,1.9241784,0.9072419
16384,45,1.8281304,0.9085255
16384,46,1.7633847,0.90976375
16384,47,1.7374525,0.91098374
16384,48,1.6628392,0.91215134
16384,49,1.6190801,0.91328824
16384,50,1.5863776,0.9144021
16384,51,1.5381662,0.9154822
16384,52,1.4875998,0.9165268
16384,53,1.4428931,0.91753995
16384,54,1.4248629,0.9185405
16384,55,1.3931013,0.9195187
16384,56,1.368533,0.92047966
16384,57,1.357143,0.9214326
16384,58,1.3148639,0.9223559
16384,59,1.2845244,0.9232578
16384,60,1.2417613,0.9241298
16384,61,1.2042838,0.9249754
16384,62,1.1828793,0.925806
16384,63,1.1343614,0.9266025
16384,64,1.1172038,0.92738694
16384,65,1.0724024,0.92814
16384,66,1.0710769,0.9288921
16384,67,1.0592512,0.9296359
16384,68,1.0143888,0.93034816
16384,69,0.97975504,0.9310361
16384,70,0.9733504,0.9317196
16384,71,0.9617149,0.9323949
16384,72,0.93091816,0.9330486
16384,73,0.9077924,0.933686
16384,74,0.89888126,0.9343172
16384,75,0.88902384,0.9349414
16384,76,0.8520058,0.93553966
16384,77,0.8508528,0.93613714
16384,78,0.8399284,0.9367269
16384,79,0.82929945,0.93730927
16384,80,0.8204123,0.93788534
16384,81,0.7785446,0.93843204
16384,82,0.770655,0.9389732
16384,83,0.7435167,0.93949527
16384,84,0.7367648,0.94001263
16384,85,0.72831696,0.94052404
16384,86,0.71879107,0.9410288
16384,87,0.7110098,0.941528
16384,88,0.6924467,0.9420142
16384,89,0.69144535,0.94249976
16384,90,0.6672448,0.9429683
16384,91,0.6533602,0.9434271
16384,92,0.6388753,0.9438757
16384,93,0.63234025,0.94431967
16384,94,0.6123405,0.94474965
16384,95,0.60611403,0.94517523
16384,96,0.6019545,0.9455979
16384,97,0.59710383,0.94601715
16384,98,0.5874102,0.9464296
16384,99,0.58239084,0.94683856
16384,100,0.56508774,0.94723535
16384,101,0.56003994,0.9476286
16384,102,0.5432128,0.94801
16384,103,0.536761,0.9483869
16384,104,0.5356392,0.948763
16384,105,0.5278684,0.9491337
16384,106,0.5186263,0.9494979
16384,107,0.5057363,0.949853
16384,108,0.4988026,0.95020324
16384,109,0.49094912,0.950548
16384,110,0.48851973,0.950891
16384,111,0.4822416,0.95122963
16384,112,0.47784382,0.95156515
16384,113,0.46963143,0.95189494
16384,114,0.46282312,0.9522199
16384,115,0.45917627,0.9525423
16384,116,0.45645902,0.9528628
16384,117,0.4462462,0.95317614
16384,118,0.44370577,0.9534877
16384,119,0.43480295,0.953793
16384,120,0.43152475,0.954096
16384,121,0.42483923,0.95439434
16384,122,0.42301968,0.95469135
16384,123,0.4160334,0.9549835
16384,124,0.41389313,0.9552741
16384,125,0.4068889,0.9555598
16384,126,0.40333045,0.955843
16384,127,0.39647213,0.9561214
16384,128,0.38937166,0.9563948
16384,129,0.38433197,0.9566647
16384,130,0.37932086,0.95693105
16384,131,0.37661442,0.9571955
16384,132,0.3734079,0.9574577
16384,133,0.36908096,0.9577169
16384,134,0.36336178,0.95797205
16384,135,0.359779,0.95822465
16384,136,0.35529277,0.95847416
16384,137,0.35410103,0.95872283
16384,138,0.3503761,0.9589689
16384,139,0.34621254,0.959212
16384,140,0.34247395,0.9594525
16384,141,0.3385313,0.9596902
16384,142,0.33428133,0.95992494
16384,143,0.3324975,0.9601584
16384,144,0.32941517,0.96038973
16384,145,0.32543483,0.96061826
16384,146,0.32296407,0.96084505
16384,147,0.3180976,0.9610684
16384,148,0.31458217,0.9612893
16384,149,0.31289586,0.961509
16384,150,0.31060335,0.9617271
16384,151,0.30830136,0.96194357
16384,152,0.30320972,0.9621565
16384,153,0.30169052,0.9623683
16384,154,0.29886556,0.9625782
16384,155,0.2966615,0.9627865
16384,156,0.29494688,0.9629936
16384,157,0.29075283,0.96319777
16384,158,0.28810397,0.96340007
16384,159,0.2845309,0.96359986
16384,160,0.28318304,0.9637987
16384,161,0.2802362,0.96399546
16384,162,0.2774631,0.9641903
16384,163,0.27416274,0.9643828
16384,164,0.27233616,0.96457404
16384,165,0.26977575,0.96476346
16384,166,0.26931286,0.9649526
16384,167,0.26500148,0.9651387
16384,168,0.26347223,0.9653237
16384,169,0.25819886,0.965505
16384,170,0.25585306,0.96568465
16384,171,0.25414538,0.9658631
16384,172,0.25186563,0.96603996
16384,173,0.24937211,0.9662151
16384,174,0.24767211,0.966389
16384,175,0.2452639,0.9665612
16384,176,0.242273,0.9667313
16384,177,0.23957996,0.9668995
16384,178,0.23850773,0.967067
16384,179,0.23455471,0.9672317
16384,180,0.23174688,0.9673944
16384,181,0.2311229,0.9675567
16384,182,0.22855961,0.96771723
16384,183,0.22817297,0.96787745
16384,184,0.22662508,0.9680366
16384,185,0.2252698,0.9681948
16384,186,0.22380945,0.96835196
16384,187,0.22031026,0.96850663
16384,188,0.21925722,0.9686606
16384,189,0.21461657,0.9688113
16384,190,0.21443789,0.96896183
16384,191,0.21310505,0.9691115
16384,192,0.21194297,0.96926033
16384,193,0.21069385,0.9694083
16384,194,0.20791347,0.96955425
16384,195,0.20752607,0.9697
16384,196,0.20559247,0.96984434
16384,197,0.20446211,0.9699879
16384,198,0.20186256,0.97012967
16384,199,0.20104645,0.9702708
16384,200,0.19758412,0.9704096
16384,201,0.19734931,0.97054815
16384,202,0.19557369,0.9706855
16384,203,0.19454642,0.9708221
16384,204,0.19355753,0.970958
16384,205,0.19210136,0.9710929
16384,206,0.19096328,0.971227
16384,207,0.18915746,0.9713598
16384,208,0.18866783,0.9714923
16384,209,0.18686877,0.9716235
16384,210,0.18520293,0.97175354
16384,211,0.18501607,0.9718835
16384,212,0.18280332,0.97201186
16384,213,0.18141547,0.97213924
16384,214,0.1798641,0.97226554
16384,215,0.17847428,0.9723909
16384,216,0.17743891,0.97251546
16384,217,0.1772412,0.9726399
16384,218,0.1759088,0.9727634
16384,219,0.17525254,0.9728865
16384,220,0.17429382,0.9730089
16384,221,0.17299205,0.97313035
16384,222,0.17078362,0.97325027
16384,223,0.17032741,0.9733699
16384,224,0.16855691,0.9734883
16384,225,0.16706625,0.9736056
16384,226,0.16561666,0.97372186
16384,227,0.16450635,0.9738374
16384,228,0.16345176,0.9739522
16384,229,0.16315132,0.97406673
16384,230,0.16204341,0.9741805
16384,231,0.16052169,0.97429323
16384,232,0.159888,0.9744055
16384,233,0.15821938,0.97451663
16384,234,0.15779269,0.97462744
16384,235,0.15690154,0.9747376
16384,236,0.15402894,0.97484577
16384,237,0.15359487,0.9749536
16384,238,0.1528187,0.9750609
16384,239,0.15229318,0.9751678
16384,240,0.15070842,0.9752736
16384,241,0.14974077,0.97537875
16384,242,0.14946055,0.9754837
16384,243,0.14832774,0.97558784
16384,244,0.14741915,0.9756914
16384,245,0.14719382,0.97579473
16384,246,0.1460078,0.97589725
16384,247,0.14394255,0.97599834
16384,248,0.14370526,0.97609925
16384,249,0.1428349,0.97619957
16384,250,0.14225508,0.97629946
16384,251,0.14205286,0.9763992
16384,252,0.14001043,0.9764975
16384,253,0.1393676,0.97659534
16384,254,0.13869458,0.97669274
16384,255,0.13609028,0.9767883
16384,256,0.13581483,0.97688365
16384,257,0.1356988,0.97697896
16384,258,0.13488078,0.97707367
16384,259,0.13424279,0.9771679
16384,260,0.13272516,0.9772611
16384,261,0.13189565,0.97735375
16384,262,0.13064803,0.9774455
16384,263,0.1302312,0.9775369
16384,264,0.12959063,0.97762793
16384,265,0.1289199,0.9777185
16384,266,0.12873457,0.9778089
16384,267,0.12807177,0.97789884
