true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Gmax,1,0,0,40,0,0,2,1,0,1,2,25,4,2,2,6,0,3,0,3,2,2,0,0,0,2,495,0,0,18,18,65,0,0,2,3,10,0,12,0,1,0,1,1,5,4,8,1,1,6,1,0,2,2,0,2,1,0,0,1,20,75,5,0,3
Hannuus,0,0,1,3,1,1,0,0,1,6,0,1,1,0,1,0,0,3,2,0,1,5,0,2,1,1,3,693,1,1,8,1,46,0,1,2,1,0,2,5,0,0,0,0,0,1,1,1,1,3,1,0,5,6,0,0,1,0,1,2,5,0,0,0,1
Hvulgare,1,1,0,0,2,0,67,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,11,0,0,1,0,0,333,0,0,0,2,0,0,1,1,5,0,1,0,7,9,0,0,0,0,11,23,0,0,8,1,1,0,0,12,170,150,0,0,2,0,0,7
Lalbus,0,0,1,6,1,1,1,1,2,3,0,17,2,0,3,1,1,0,0,3,1,3,0,1,0,0,32,2,2,591,20,38,0,2,0,3,1,0,15,2,0,0,0,0,3,2,3,0,0,3,1,1,1,0,0,3,1,0,0,0,25,10,2,0,0
Lervoides,3,1,0,8,2,1,0,1,0,5,2,78,1,0,2,1,3,3,2,3,2,3,1,0,2,0,28,1,2,11,385,16,1,2,0,2,1,1,55,1,3,0,0,0,1,1,2,0,0,1,1,0,3,2,0,2,1,0,0,0,178,19,1,0,0
Ljaponicus,1,0,0,23,1,2,2,4,0,3,2,8,1,0,4,8,0,6,0,1,1,7,0,1,3,12,54,1,2,24,12,583,1,0,0,1,1,2,22,2,0,0,1,2,4,7,4,1,2,3,2,0,2,3,0,3,1,0,2,3,14,12,1,1,2
Lsativa,1,0,1,2,1,3,0,1,5,2,0,4,1,1,1,0,0,7,1,2,3,2,0,2,2,3,2,42,0,4,3,2,557,3,0,3,0,0,2,2,1,0,0,0,4,0,1,2,0,1,3,1,4,2,0,1,0,0,1,2,9,3,0,1,1
Lusitatissimum,1,1,1,1,1,2,4,0,1,3,2,1,2,6,0,0,0,1,3,2,0,2,5,5,3,5,0,2,2,0,0,4,1,566,0,10,3,0,1,0,1,0,4,0,8,0,1,2,1,0,0,1,2,13,1,2,1,4,0,1,2,0,0,0,2
Macuminata,2,6,0,1,7,0,3,2,0,3,6,0,2,1,2,1,0,1,1,0,14,0,5,5,0,1,1,0,2,1,1,1,0,2,667,0,3,0,0,7,0,0,6,1,0,1,1,1,0,1,1,1,0,0,2,2,4,2,2,0,0,0,6,0,3
Mdomestica,3,1,0,1,3,1,1,0,1,1,4,0,8,9,6,3,2,4,0,4,3,0,0,1,0,41,3,0,3,2,1,7,0,10,1,481,1,0,2,2,2,0,1,1,119,2,4,2,2,3,2,0,2,2,0,5,2,2,2,5,1,2,1,0,0
