species,correct,total,accuracy
_OVERALL_,30889,52429,0.589158671727479
Acoerulea,611,768,0.7955729166666666
Acomosus,750,880,0.8522727272727273
Ahypochondriacus,700,897,0.7803790412486065
Ahypogaea,567,837,0.6774193548387096
Aofficinalis,902,1034,0.8723404255319149
Athaliana,225,736,0.30570652173913043
Bdistachyon,348,806,0.4317617866004963
Bplatyphylla,422,889,0.4746906636670416
Bstricta,117,573,0.20418848167539266
Bvulgaris,566,938,0.603411513859275
Carabica,629,831,0.7569193742478941
Carietinum,380,765,0.49673202614379086
Cavellana,424,872,0.48623853211009177
Ccitriodora,375,768,0.48828125
Cclementina,298,790,0.37721518987341773
Cillinoinensis,655,894,0.732662192393736
Ckanehirae,1032,1161,0.8888888888888888
Cquinoa,509,913,0.5575027382256298
Crubella,235,714,0.3291316526610644
Csativus,595,754,0.7891246684350133
Dalata,640,814,0.7862407862407862
Dcarota,703,826,0.851089588377724
Ecoracana,255,805,0.3167701863354037
Egrandis,365,764,0.47774869109947643
Esalsugineum,216,722,0.29916897506925205
Fvesca,521,770,0.6766233766233766
Gmax,495,861,0.5749128919860628
Hannuus,693,824,0.8410194174757282
Hvulgare,333,834,0.39928057553956836
Lalbus,591,811,0.7287299630086314
Lervoides,385,845,0.4556213017751479
Ljaponicus,583,865,0.6739884393063584
Lsativa,557,702,0.7934472934472935
Lusitatissimum,566,687,0.8238719068413392
Macuminata,667,782,0.8529411764705882
Mdomestica,481,772,0.6230569948186528
Mesculenta,553,848,0.652122641509434
Msinensis,157,634,0.2476340694006309
Mtruncatula,425,738,0.575880758807588
Ncolorata,827,963,0.8587746625129803
Oeuropaea,501,651,0.7695852534562212
Osativa,405,765,0.5294117647058824
Othomaeum,309,783,0.3946360153256705
Pamilis,632,769,0.8218465539661899
Ppersica,378,752,0.5026595744680851
Ptrichocarpa,392,809,0.484548825710754
Ptrifoliata,281,783,0.35887611749680715
Pvaginatum,260,800,0.325
Pvirgatum,231,785,0.29426751592356687
Qrubra,677,911,0.743139407244786
Rcommunis,283,593,0.4772344013490725
Sbicolor,286,788,0.3629441624365482
Soleracea,491,905,0.5425414364640884
Sparvula,214,723,0.2959889349930844
Spolyrhiza,569,638,0.8918495297805643
Spurpurea,432,805,0.5366459627329192
Sviridis,187,751,0.24900133155792276
Taestivum,252,802,0.314214463840399
Tintermedium,231,805,0.28695652173913044
Vdarrowii,785,940,0.8351063829787234
Vfaba,328,780,0.4205128205128205
Vunguiculata,473,788,0.600253807106599
Vvinifera,736,918,0.8017429193899782
Zmarina,753,828,0.9094202898550725
Zmays,450,870,0.5172413793103449
