true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,162,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0,3,1,0,0,1,1,2,0,0,0,1,2,1,0,0,0,0,0,1,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,0,1,0,0
Acomosus,0,174,1,0,3,0,0,1,0,0,4,0,1,0,0,0,0,1,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,2,2,0,2,1,1,0,0,1
Ahypochondriacus,1,0,179,1,0,1,0,0,0,19,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
Ahypogaea,0,0,0,133,0,1,0,1,0,0,1,4,2,0,2,0,1,3,0,0,0,1,0,0,0,2,14,0,1,5,8,8,0,0,0,0,1,1,1,1,0,0,0,2,4,1,2,0,0,1,1,1,1,0,1,0,2,0,1,0,5,4,0,0,0
Aofficinalis,1,1,0,1,211,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,2,1,0,1,0,0,0,0,3,3,0,0,0,1,2,2,0,3,0,0,0,1,0,2,0,0,0,2,1,0,0,1,0,1,1,1,1,2,1,0,0,0,1
Athaliana,0,0,0,0,0,40,0,0,17,2,0,1,0,0,0,0,0,1,38,0,0,0,0,1,28,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,2,0,0,1,0,0,0,1,37,0,0,0,0,0,0,0,2,0,0,0
Bdistachyon,0,0,0,0,0,0,75,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,11,0,0,0,0,0,17,0,0,1,0,0,0,1,0,2,0,0,0,5,7,0,0,1,0,5,7,0,1,5,0,0,0,0,9,27,27,0,0,0,0,0,3
Bplatyphylla,0,1,1,1,0,0,0,104,0,0,1,0,67,0,1,10,1,2,0,0,1,0,1,1,0,2,1,0,0,1,1,0,0,1,0,0,2,0,0,0,1,1,0,0,4,2,3,2,0,6,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
Bstricta,0,0,0,0,0,38,0,0,16,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,1,0,0,0,1,28,0,0,0,0,0,0,2,0,0,0,0
Bvulgaris,2,1,3,0,1,0,1,0,0,121,1,0,1,0,2,1,0,50,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,35,1,0,0,0,0,0,1,1,1,0,0,1
