target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
membership,2,0,0.49725442342892007,0.4967671739227639,0.4913889633401828,0.49131843715162804
membership,2,1,0.5064063453325198,0.49894551719160296,0.5095118973167754,0.5007879196690239
membership,2,2,0.5161683953630263,0.513560842554851,0.5163301468179516,0.5058847729918265
membership,2,3,0.5033557046979866,0.5015370705244122,0.4978989844843503,0.4886570713350433
membership,2,4,0.5039658328248933,0.5012925157592608,0.5076491259418089,0.5004333413517699
membership,2,8,0.5186089078706528,0.5152714289730398,0.519323088835284,0.512230678820843
membership,2,16,0.5064063453325198,0.505106437773046,0.5128815628815628,0.5190149509729607
membership,2,32,0.5027455765710799,0.5024188348394167,0.4959647398671789,0.5031654117845824
membership,2,64,0.4996949359365467,0.49763315909716155,0.496804550463087,0.5019012361203783
membership,2,128,0.49481391092129345,0.49375386093760726,0.4864587986539206,0.49336031611548564
membership,2,256,0.49542403904820015,0.4945540081523006,0.4915408439798684,0.49750206538966685
membership,2,512,0.4960341671751068,0.4952884632591099,0.4918937431132553,0.49784671973695505
membership,2,768,0.4960341671751068,0.4952884632591099,0.4918848089579797,0.49783521176315243
species,65,0,0.017317668599328654,0.014296099343283757,0.5014548927139366,0.015981264120571853
species,65,1,0.021666158071406774,0.015559588275297615,0.5337881665725005,0.018667535615961045
species,65,2,0.0397467195605737,0.03637830263015372,0.709494142166324,0.03561764819695419
species,65,3,0.0580561489166921,0.05514801189312091,0.7611861302422093,0.04965809526194695
species,65,4,0.06782117790662191,0.06384451997099512,0.771207998336742,0.05387907991905167
species,65,8,0.12404638388770217,0.11888459917640673,0.8314872385197277,0.09506431567586
species,65,16,0.27815074763503206,0.2689507229509989,0.9183135153292112,0.2569473507078073
species,65,32,0.44316447970704914,0.4345284416343478,0.9567601521283909,0.4518897476763614
species,65,64,0.5064083002746415,0.5004118388804685,0.963970858786418,0.517969665928482
species,65,128,0.532575526396094,0.5282127981111485,0.9644404520723605,0.5447133707061927
species,65,256,0.543561184009765,0.5404131261161046,0.9646073093247592,0.5561711651064962
species,65,512,0.5476045163259079,0.5455699807182082,0.9619495402474026,0.557186758364559
species,65,768,0.547528227036924,0.5442016153886516,0.9614555302577367,0.5578544126028753
gc_content,5,0,0.19575831553249923,0.19501766806875404,0.4972362172249015,0.19886926774275615
gc_content,5,1,0.2585444003661886,0.24311054907067212,0.5734362250956969,0.2461079397872167
gc_content,5,2,0.5859017393957888,0.5878863520225008,0.869662715548133,0.6307726082277176
gc_content,5,3,0.7194079951174855,0.7198220080280746,0.9351681002039595,0.770722218132665
gc_content,5,4,0.7265791882819652,0.7268262335849995,0.9380141484077342,0.7795612010235619
gc_content,5,8,0.7878394873359781,0.788137415483788,0.9611260662730716,0.8492516784699747
gc_content,5,16,0.8017241379310345,0.8022097973124929,0.9650416291437935,0.8621118361025057
gc_content,5,32,0.8080561489166921,0.8086074969555849,0.966671164464125,0.8662262154198126
gc_content,5,64,0.8053097345132744,0.8056742042595767,0.9665805099771013,0.866309108369756
gc_content,5,128,0.8067592310039671,0.8071560187241321,0.9667335211791341,0.8678315182464378
gc_content,5,256,0.8079798596277082,0.8083038497117414,0.9662554939636685,0.8664050228165532
gc_content,5,512,0.8041653951785169,0.8043820437567193,0.9658198775841275,0.8662867522628334
gc_content,5,768,0.8043942630454685,0.8046663621046974,0.9656891687620425,0.8645604382760788
repeat_fraction,4,0,0.39784864205065607,0.14230748239917043,0.4935952394221692,0.24714400605785403
repeat_fraction,4,1,0.40578272810497407,0.17780628066512555,0.5661435554988358,0.3075488167701744
repeat_fraction,4,2,0.5006103143118706,0.3812534771792464,0.6961643267250471,0.4304685054725154
repeat_fraction,4,3,0.5439426304546842,0.4320937519504278,0.7558112992703305,0.4993670308147575
repeat_fraction,4,4,0.549282880683552,0.4448079947753668,0.7652391966629267,0.5133178458877012
repeat_fraction,4,8,0.5958956362526702,0.5134244002766836,0.8094974052696295,0.5794715286908344
repeat_fraction,4,16,0.6261824839792494,0.5620278911678452,0.8383400135757397,0.6279687257818357
repeat_fraction,4,32,0.6351846200793408,0.5731381606986484,0.8465911532999414,0.6418607719523789
repeat_fraction,4,64,0.6426609703997559,0.5802730878812867,0.8508487874223727,0.6473891986914289
repeat_fraction,4,128,0.6469331705828502,0.5863205576691398,0.852423805793531,0.6533486247757803
repeat_fraction,4,256,0.6467805920048825,0.5846581971132627,0.8532878508912533,0.6543303330528377
repeat_fraction,4,512,0.6422032346658529,0.578284120223967,0.854135249853632,0.6510461577438863
repeat_fraction,4,768,0.644797070491303,0.5821487108661536,0.8519841470887561,0.6500656999145711
kmer_entropy_1,5,0,0.19911504424778761,0.19839696759518105,0.5023313086031646,0.20086515086752726
kmer_entropy_1,5,1,0.25061031431187064,0.23675219718065219,0.5672172978552703,0.24104155927068618
kmer_entropy_1,5,2,0.5601922490082393,0.5619724722540577,0.851012565689682,0.6003687867386335
kmer_entropy_1,5,3,0.6937747940189197,0.694214927927715,0.9234392076280663,0.7338733988952996
kmer_entropy_1,5,4,0.706438815990235,0.706331866637419,0.9298013830039018,0.7544799622654044
kmer_entropy_1,5,8,0.761443393347574,0.7617443806477071,0.9518744173392036,0.8131962931523443
kmer_entropy_1,5,16,0.7754043332316143,0.7757976630203249,0.9571499617435688,0.8332897986576675
kmer_entropy_1,5,32,0.7788373512358865,0.7790381446931687,0.9576821010488544,0.8361654688302245
kmer_entropy_1,5,64,0.7811260299054013,0.7814263239425391,0.9578305711685932,0.8361605803906855
kmer_entropy_1,5,128,0.7815074763503204,0.7815277620171999,0.9577555586870895,0.8374579719569762
kmer_entropy_1,5,256,0.7771589868782423,0.7771284129383544,0.956818515812269,0.8351667765766745
kmer_entropy_1,5,512,0.7754043332316143,0.7754195799704882,0.956309064589896,0.8324124174954362
kmer_entropy_1,5,768,0.7749465974977113,0.7746813963246282,0.9558934193181413,0.8317710263698961
kmer_entropy_3,5,0,0.19957277998169057,0.1985668585554477,0.4968429314039347,0.1988581994113446
kmer_entropy_3,5,1,0.24702471772963075,0.23401919518126676,0.5611229849070594,0.2349691723112875
kmer_entropy_3,5,2,0.5311260299054013,0.5322886424359149,0.8339585875495732,0.5762052466238063
kmer_entropy_3,5,3,0.6649374427830332,0.6648268803885613,0.9095575917229904,0.7000239684665943
kmer_entropy_3,5,4,0.6767622825755264,0.6764105769342416,0.9161007560496358,0.7183464258539336
kmer_entropy_3,5,8,0.7197131522734208,0.7195047438402443,0.9360995712589286,0.7662856538486947
kmer_entropy_3,5,16,0.7358101922490082,0.735709340028639,0.9423678817251975,0.7835782491323819
kmer_entropy_3,5,32,0.7450411962160512,0.7444220827835413,0.9446280482246054,0.7921299209271011
kmer_entropy_3,5,64,0.7424473603906011,0.7419619681545019,0.9440260760260738,0.789589404977121
kmer_entropy_3,5,128,0.7432865425694233,0.7426802759063079,0.9443229169195877,0.7903061428941147
kmer_entropy_3,5,256,0.7372596887397009,0.7365486838005084,0.9434072662738957,0.787584818256781
kmer_entropy_3,5,512,0.740311260299054,0.7394370023312585,0.9423483960120361,0.7851319947434501
kmer_entropy_3,5,768,0.7351998779371376,0.733945095271624,0.9418136268846584,0.7830668423919753
kmer_entropy_9,5,0,0.20163259078425388,0.20132387015680994,0.49916158444431635,0.19869913576850015
kmer_entropy_9,5,1,0.24610924626182484,0.23114557175871503,0.5554102615327963,0.23330678173359246
kmer_entropy_9,5,2,0.39060115959719255,0.38104294719671483,0.7211811206946123,0.3948357724927007
kmer_entropy_9,5,3,0.4008239243210253,0.3884795409602395,0.7355199004879632,0.4114251472575464
kmer_entropy_9,5,4,0.4030363137015563,0.39175231956829837,0.738812508063751,0.41736157202938556
kmer_entropy_9,5,8,0.4690265486725664,0.46295671768468144,0.7963843644849063,0.4936762598871476
kmer_entropy_9,5,16,0.5106042111687519,0.5065813543113309,0.8242330912355079,0.5394833121971393
kmer_entropy_9,5,32,0.5275404333231615,0.5238601234547192,0.8323985670562184,0.5534034836132766
kmer_entropy_9,5,64,0.5293713762587733,0.5255001785814333,0.8363248961352779,0.5596048950379795
kmer_entropy_9,5,128,0.5308971620384498,0.5270790615338503,0.8365632403559695,0.5608963800070702
kmer_entropy_9,5,256,0.5292950869697894,0.5244007092018916,0.8362856341484604,0.5620963941807953
kmer_entropy_9,5,512,0.5256332010985658,0.5201947802091784,0.8347237016018354,0.5568442899526919
kmer_entropy_9,5,768,0.5300579798596277,0.5246734587055419,0.8350718505949988,0.5585515659778272
dinuc_CG,5,0,0.19743667989014344,0.19395333650127458,0.4958080759889696,0.19875762140265094
dinuc_CG,5,1,0.21864510222764724,0.20915480598218822,0.5220336357757848,0.2141491873832833
dinuc_CG,5,2,0.3665700335672872,0.3649057196850373,0.7014807259840261,0.39398769841772474
dinuc_CG,5,3,0.5000762892889838,0.49961048962330834,0.8139752093924393,0.5185945993107707
dinuc_CG,5,4,0.5041959108941104,0.5028292535815018,0.8176559512050042,0.5249496015412015
dinuc_CG,5,8,0.5409673481843149,0.5398405776035474,0.8468688427031712,0.5694966110812343
dinuc_CG,5,16,0.5796460176991151,0.5791971852721052,0.8686943136081716,0.6110651379239653
dinuc_CG,5,32,0.6135184620079341,0.6129815779191473,0.8878769194722672,0.6470697798796693
dinuc_CG,5,64,0.6205370765944461,0.6204474533578167,0.8918328269472822,0.6563670189163735
dinuc_CG,5,128,0.6171803478791578,0.6167973016019196,0.8924007997399863,0.6574963001392617
dinuc_CG,5,256,0.6135947512969179,0.6129812994001795,0.8907581149350028,0.6536980636729457
dinuc_CG,5,512,0.6164174549893195,0.6154909962845421,0.891577183154714,0.656900695430344
dinuc_CG,5,768,0.6151205370765944,0.6135229092211858,0.890296053388244,0.6552552024148475
dinuc_GC,5,0,0.2008696978944156,0.2002912473349753,0.5007739058489025,0.19995224789797658
dinuc_GC,5,1,0.24687213915166312,0.23086215189544507,0.55972581280318,0.23513814197916635
dinuc_GC,5,2,0.5393652731156545,0.5424215564910467,0.8390048209211655,0.5705084727016703
dinuc_GC,5,3,0.5836130607262741,0.5842441007702058,0.8668545978066179,0.6157118766304637
dinuc_GC,5,4,0.5861306072627404,0.5861607236236361,0.869288708776636,0.6213385594461274
dinuc_GC,5,8,0.606957583155325,0.6057522875646822,0.8810508906946174,0.6424459551626526
dinuc_GC,5,16,0.6352609093683247,0.6355218353047924,0.8937624386584183,0.6662943125778413
