species,correct,total,accuracy
_OVERALL_,7177,13108,0.547528227036924
Acoerulea,162,201,0.8059701492537313
Acomosus,174,216,0.8055555555555556
Ahypochondriacus,179,230,0.7782608695652173
Ahypogaea,133,217,0.6129032258064516
Aofficinalis,211,253,0.83399209486166
Athaliana,40,178,0.2247191011235955
Bdistachyon,75,208,0.3605769230769231
Bplatyphylla,104,223,0.4663677130044843
Bstricta,16,145,0.1103448275862069
Bvulgaris,121,235,0.5148936170212766
Carabica,144,204,0.7058823529411765
Carietinum,81,193,0.41968911917098445
Cavellana,101,219,0.4611872146118721
Ccitriodora,83,192,0.4322916666666667
Cclementina,72,188,0.3829787234042553
Cillinoinensis,154,218,0.7064220183486238
Ckanehirae,260,288,0.9027777777777778
Cquinoa,119,234,0.5085470085470085
Crubella,46,178,0.25842696629213485
Csativus,143,186,0.7688172043010753
Dalata,165,210,0.7857142857142857
Dcarota,160,200,0.8
Ecoracana,62,203,0.3054187192118227
Egrandis,84,192,0.4375
Esalsugineum,41,183,0.22404371584699453
Fvesca,115,182,0.6318681318681318
Gmax,114,210,0.5428571428571428
Hannuus,170,203,0.8374384236453202
Hvulgare,75,209,0.3588516746411483
Lalbus,127,192,0.6614583333333334
Lervoides,81,210,0.38571428571428573
Ljaponicus,135,222,0.6081081081081081
Lsativa,129,174,0.7413793103448276
Lusitatissimum,132,173,0.7630057803468208
Macuminata,170,201,0.845771144278607
Mdomestica,87,183,0.47540983606557374
Mesculenta,135,213,0.6338028169014085
Msinensis,37,168,0.22023809523809523
Mtruncatula,89,180,0.49444444444444446
Ncolorata,196,242,0.8099173553719008
Oeuropaea,123,170,0.7235294117647059
Osativa,96,197,0.4873096446700508
Othomaeum,63,198,0.3181818181818182
Pamilis,147,190,0.7736842105263158
Ppersica,84,179,0.4692737430167598
Ptrichocarpa,98,205,0.47804878048780486
Ptrifoliata,68,198,0.3434343434343434
Pvaginatum,42,195,0.2153846153846154
Pvirgatum,38,193,0.19689119170984457
Qrubra,179,236,0.7584745762711864
Rcommunis,52,149,0.348993288590604
Sbicolor,80,203,0.39408866995073893
Soleracea,127,219,0.5799086757990868
Sparvula,61,185,0.32972972972972975
Spolyrhiza,123,150,0.82
Spurpurea,100,200,0.5
Sviridis,31,187,0.1657754010695187
Taestivum,57,208,0.27403846153846156
Tintermedium,51,199,0.2562814070351759
Vdarrowii,204,242,0.8429752066115702
Vfaba,73,201,0.36318407960199006
Vunguiculata,103,195,0.5282051282051282
Vvinifera,161,223,0.7219730941704036
Zmarina,197,215,0.9162790697674419
Zmays,97,215,0.4511627906976744
