species,correct,total,accuracy
_OVERALL_,9199,52429,0.17545633141963418
Acipenser ruthenus,412,1181,0.3488569009314141
Acropora millepora,290,839,0.3456495828367104
Anguilla rostrata,73,813,0.0897908979089791
Astatotilapia calliptera,47,793,0.05926860025220681
Astyanax mexicanus,224,808,0.27722772277227725
Biomphalaria glabrata,342,783,0.4367816091954023
Brienomyrus brachyistius,125,817,0.15299877600979192
Bubalus bubalis,44,766,0.057441253263707574
Callithrix jacchus,62,851,0.07285546415981199
Carassius gibelio,256,1290,0.19844961240310077
Cavia porcellus,60,747,0.08032128514056225
Cervus canadensis,44,724,0.06077348066298342
Choloepus didactylus,46,767,0.05997392438070404
Clarias gariepinus,60,718,0.08356545961002786
Clupea harengus,53,739,0.07171853856562922
Conger conger,78,790,0.09873417721518987
Crassostrea virginica,160,841,0.1902497027348395
Ctenopharyngodon idella,49,788,0.06218274111675127
Dasypus novemcinctus,58,714,0.08123249299719888
Dreissena polymorpha,382,1126,0.3392539964476021
Elephas maximus indicus,54,725,0.07448275862068965
Engraulis encrasicolus,169,788,0.21446700507614214
Esox lucius,68,776,0.08762886597938144
Fundulus heteroclitus,137,780,0.17564102564102563
Gambusia affinis,78,732,0.10655737704918032
Girardinichthys multiradiatus,58,702,0.08262108262108261
Gopherus evgoodei,139,691,0.2011577424023155
Haliotis rufescens,497,955,0.5204188481675392
Hemicordylus capensis,295,882,0.3344671201814059
Hippopotamus amphibius kiboko,70,732,0.09562841530054644
Homo sapiens,62,861,0.07200929152148665
Hoplias malabaricus,96,788,0.1218274111675127
Ictalurus furcatus,68,721,0.09431345353675451
Larimichthys crocea,94,693,0.13564213564213565
Lates calcarifer,52,720,0.07222222222222222
Lingula anatina,77,694,0.11095100864553314
Lutra lutra,34,729,0.04663923182441701
Macaca fascicularis,37,761,0.04862023653088042
Manis pentadactyla,44,693,0.06349206349206349
Mauremys reevesii,286,912,0.31359649122807015
Melanotaenia boesemani,40,723,0.05532503457814661
Mercenaria mercenaria,350,1155,0.30303030303030304
Micropterus dolomieu,55,722,0.07617728531855955
Monodelphis domestica,243,768,0.31640625
Mus musculus,152,843,0.18030842230130487
Mya arenaria,233,1093,0.2131747483989021
Mytilus trossulus,467,1004,0.4651394422310757
Necator americanus,619,788,0.7855329949238579
Neoarius graeffei,56,779,0.07188703465982028
Nycticebus coucang,29,753,0.03851261620185923
Pangasianodon hypophthalmus,53,685,0.07737226277372262
Panthera leo,45,700,0.06428571428571428
Pimephales promelas,36,774,0.046511627906976744
Pocillopora verrucosa,229,702,0.3262108262108262
Pygocentrus nattereri,110,794,0.1385390428211587
Rhineura floridana,189,759,0.2490118577075099
Salvelinus sp. IW2-2015,88,727,0.12104539202200826
Scleropages formosus,191,750,0.25466666666666665
Sebastes umbrosus,140,748,0.18716577540106952
Siniperca chuatsi,53,736,0.07201086956521739
Strongylocentrotus purpuratus,213,756,0.28174603174603174
Symphalangus syndactylus,75,851,0.0881316098707403
Triplophysa dalaica,58,703,0.08250355618776671
Xyrauchen texanus,140,1133,0.1235657546337158
Zalophus californianus,55,753,0.07304116865869854
