true_label,Acipenser ruthenus,Acropora millepora,Anguilla rostrata,Astatotilapia calliptera,Astyanax mexicanus,Biomphalaria glabrata,Brienomyrus brachyistius,Bubalus bubalis,Callithrix jacchus,Carassius gibelio,Cavia porcellus,Cervus canadensis,Choloepus didactylus,Clarias gariepinus,Clupea harengus,Conger conger,Crassostrea virginica,Ctenopharyngodon idella,Dasypus novemcinctus,Dreissena polymorpha,Elephas maximus indicus,Engraulis encrasicolus,Esox lucius,Fundulus heteroclitus,Gambusia affinis,Girardinichthys multiradiatus,Gopherus evgoodei,Haliotis rufescens,Hemicordylus capensis,Hippopotamus amphibius kiboko,Homo sapiens,Hoplias malabaricus,Ictalurus furcatus,Larimichthys crocea,Lates calcarifer,Lingula anatina,Lutra lutra,Macaca fascicularis,Manis pentadactyla,Mauremys reevesii,Melanotaenia boesemani,Mercenaria mercenaria,Micropterus dolomieu,Monodelphis domestica,Mus musculus,Mya arenaria,Mytilus trossulus,Necator americanus,Neoarius graeffei,Nycticebus coucang,Pangasianodon hypophthalmus,Panthera leo,Pimephales promelas,Pocillopora verrucosa,Pygocentrus nattereri,Rhineura floridana,Salvelinus sp. IW2-2015,Scleropages formosus,Sebastes umbrosus,Siniperca chuatsi,Strongylocentrotus purpuratus,Symphalangus syndactylus,Triplophysa dalaica,Xyrauchen texanus,Zalophus californianus
Esox lucius,43,14,53,11,9,9,21,2,6,20,0,2,3,3,38,42,9,8,1,11,1,36,68,3,4,7,3,24,8,0,2,9,12,7,9,11,0,1,0,15,7,17,9,5,4,11,10,1,7,1,2,1,6,6,6,7,56,2,6,9,11,3,10,51,3
Fundulus heteroclitus,29,6,14,26,9,0,17,1,3,37,1,1,3,9,8,7,2,12,1,2,2,13,11,137,54,33,0,4,7,1,1,12,7,31,26,6,0,0,2,6,23,3,14,0,2,2,2,2,24,1,10,1,7,1,32,9,6,27,23,17,6,3,4,19,1
Gambusia affinis,42,5,14,26,16,8,15,0,4,50,2,0,5,8,5,7,5,19,0,2,1,10,19,70,78,34,0,1,8,1,2,16,4,22,20,3,0,1,1,6,27,4,30,0,1,4,1,1,7,0,11,0,7,0,14,4,7,8,15,21,4,0,6,26,4
Girardinichthys multiradiatus,24,2,15,24,11,5,15,2,1,46,0,2,3,7,11,6,3,15,0,0,3,6,16,55,49,58,2,5,5,0,2,11,9,22,28,5,3,0,1,9,22,5,26,1,0,4,4,0,14,0,9,1,9,1,21,3,8,13,12,25,3,1,11,27,1
Gopherus evgoodei,19,2,0,4,0,2,1,10,7,1,8,2,12,3,1,3,2,3,14,0,3,6,4,2,1,2,139,4,51,6,11,0,5,1,2,3,4,14,10,207,4,0,4,19,13,0,2,2,5,4,0,8,0,0,2,28,3,3,1,2,1,8,1,5,7
Haliotis rufescens,10,40,6,2,1,12,7,0,0,6,1,0,0,1,14,9,30,3,0,43,0,15,12,0,2,1,3,497,3,0,0,1,4,0,2,46,1,2,1,4,1,29,1,1,0,29,14,12,4,0,2,1,2,15,0,0,18,1,1,2,28,0,7,8,0
Hemicordylus capensis,17,2,6,4,1,2,6,3,11,6,9,2,9,2,3,3,2,1,10,0,7,6,2,3,3,2,30,2,295,5,9,2,5,2,2,1,6,5,13,77,5,4,3,44,21,0,3,3,2,7,3,6,1,1,3,165,2,11,2,4,0,10,0,4,2
Hippopotamus amphibius kiboko,4,1,2,1,0,2,3,30,45,0,27,35,26,0,0,1,1,1,35,3,37,3,0,2,2,1,13,2,14,70,25,2,2,0,0,1,37,31,22,24,3,1,2,33,29,0,1,3,2,29,0,33,1,4,0,9,1,4,0,1,0,31,1,0,39
Homo sapiens,5,0,5,0,1,1,4,36,76,2,33,40,32,1,1,0,0,2,20,1,29,1,1,0,3,0,13,0,24,31,62,0,5,2,0,1,37,50,29,30,1,3,1,38,44,1,6,0,2,31,2,27,1,0,1,14,3,4,0,1,0,68,0,5,30
Hoplias malabaricus,44,2,5,16,61,1,12,2,2,54,1,1,1,25,10,13,5,15,2,3,1,7,16,18,11,16,3,2,7,0,0,96,34,7,12,8,0,1,0,7,17,5,16,1,3,3,4,0,23,2,14,2,14,4,41,13,9,20,12,10,1,1,16,35,1
