true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2038,100,1292,1297,39,54,4,60,13,12
Bdistachyon,102,1666,109,93,615,370,520,551,744,594
Crubella,1523,90,1784,1157,43,117,16,84,19,20
Esalsugineum,1399,115,1015,2133,73,71,10,71,21,46
Hvulgare,89,808,105,123,1509,516,557,448,513,836
Osativa,190,542,273,177,412,1791,410,713,460,266
Pvaginatum,83,808,97,70,480,693,1074,715,850,569
Sbicolor,154,699,266,116,354,865,632,1378,615,364
Sviridis,74,1011,102,66,537,492,785,635,984,555
Taestivum,67,931,72,114,970,357,615,490,583,1289
