true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Hvulgare,2,6,1,1,5,0,80,1,2,3,1,0,3,11,2,0,4,1,0,0,0,4,33,4,0,3,0,3,198,1,0,1,2,4,9,6,1,12,3,12,2,27,37,3,0,0,0,43,37,0,0,21,5,1,6,0,41,71,60,8,2,0,0,4,47
Lalbus,10,5,38,10,14,1,2,1,0,22,4,33,1,0,8,2,4,22,0,9,10,16,1,0,0,9,33,7,0,305,20,31,14,2,9,3,3,3,18,2,5,0,0,6,6,4,7,1,1,11,9,0,7,2,3,4,1,4,2,3,21,20,15,4,3
Lervoides,21,10,24,13,20,15,4,2,9,16,4,39,1,1,11,8,6,8,10,20,6,15,1,2,8,5,20,10,2,25,188,17,16,3,0,9,5,5,39,3,16,0,0,4,6,2,4,3,0,8,3,2,17,8,1,6,2,2,1,6,73,32,16,10,2
Ljaponicus,10,4,10,20,29,4,1,5,2,29,21,12,8,4,10,5,14,24,1,15,9,19,3,5,3,26,34,3,3,54,24,126,7,7,10,24,15,0,20,11,8,3,4,8,22,17,15,1,3,20,5,3,19,3,3,9,2,2,2,21,11,15,25,9,4
Lsativa,17,5,27,7,23,7,2,7,9,9,1,22,7,0,3,5,14,8,10,29,8,10,1,3,4,7,7,37,4,13,13,8,158,7,4,7,3,1,32,1,6,2,0,25,5,5,4,4,0,13,3,1,10,7,3,4,0,1,6,13,19,13,3,12,3
Lusitatissimum,4,2,4,2,18,12,9,1,10,2,4,2,1,20,1,1,2,1,10,3,0,6,6,12,14,19,2,11,6,1,0,4,10,320,12,20,0,1,2,15,4,2,3,18,3,0,2,3,1,1,0,2,5,20,6,1,1,5,5,13,2,1,0,16,3
Macuminata,15,11,6,9,15,2,14,2,5,4,9,4,1,15,3,4,12,9,3,2,24,5,14,10,7,20,8,2,6,14,1,9,2,12,277,1,8,2,0,45,2,4,18,2,4,8,4,3,2,3,8,12,0,11,18,8,10,5,5,1,5,7,11,10,9
Mdomestica,10,6,17,5,21,6,9,5,7,17,15,1,7,20,12,8,15,13,5,9,6,14,5,18,12,27,1,16,5,5,5,13,14,25,6,128,2,2,16,26,18,3,3,14,31,5,13,4,2,10,1,1,8,9,5,4,0,4,4,61,3,2,0,4,9
Mesculenta,2,4,9,40,10,1,2,10,2,5,18,15,7,2,27,25,10,3,2,8,27,4,1,2,1,6,47,0,1,13,6,7,5,5,4,2,253,1,2,7,2,1,1,2,7,36,21,2,2,16,48,1,2,1,3,23,2,9,3,2,10,9,35,9,5
Msinensis,3,3,1,1,5,0,45,1,2,2,1,0,0,3,0,4,6,1,0,0,2,0,33,1,0,3,0,2,27,1,0,0,2,3,4,3,1,59,1,8,1,23,33,5,0,0,2,60,37,1,1,55,0,0,5,0,33,45,31,2,2,0,1,0,69
Mtruncatula,23,4,49,10,15,5,4,5,3,22,8,29,1,0,10,3,5,18,1,28,4,19,1,4,1,6,21,4,2,31,45,17,22,0,2,5,3,1,153,3,11,1,0,7,6,5,12,0,0,22,3,0,8,2,2,9,0,3,3,7,24,18,5,2,1
Ncolorata,12,2,2,2,11,2,12,10,4,5,26,2,7,43,5,7,51,5,2,2,11,1,11,38,6,16,6,4,8,2,1,3,3,12,19,14,5,9,5,384,3,3,6,7,14,15,1,7,3,6,6,9,1,7,15,8,3,8,5,25,5,0,13,12,11
Oeuropaea,17,8,30,6,15,1,7,11,2,15,31,20,7,7,14,3,15,6,1,22,3,13,2,4,3,4,3,3,6,6,20,4,8,11,3,10,4,2,27,7,118,1,1,16,6,9,16,2,4,14,6,1,10,1,4,5,2,4,7,9,12,2,5,14,1
Osativa,2,17,1,0,13,0,28,2,0,2,7,1,1,4,1,1,3,1,0,1,3,9,40,9,1,9,1,4,24,5,0,6,2,2,8,4,1,20,1,17,0,204,39,2,5,2,2,33,30,1,2,49,5,1,3,3,38,23,26,12,0,0,0,3,31
Othomaeum,7,3,1,1,7,0,50,1,0,1,2,1,2,2,3,1,6,3,1,0,2,3,92,3,0,2,2,2,19,0,0,3,0,3,20,4,0,19,0,20,1,31,193,0,4,3,1,41,38,0,2,36,2,1,7,3,29,30,22,0,0,3,0,4,46
Pamilis,10,5,25,0,18,0,6,10,0,27,16,3,14,14,2,13,37,18,1,5,3,4,2,13,2,17,11,7,4,8,6,10,9,10,6,11,2,0,10,7,7,0,2,259,7,3,4,3,2,22,2,4,24,0,0,2,0,1,2,38,3,2,14,2,0
