n_samples,rank,eigenvalue,cumulative_variance
512,1,0.4750116,0.814335
512,2,0.052890513,0.9050077
512,3,0.02661246,0.9506307
512,4,0.014214243,0.9749989
512,5,0.0072036223,0.9873484
512,6,0.0027348178,0.9920368
512,7,0.0012787182,0.99422896
512,8,0.0009525679,0.995862
512,9,0.00062546256,0.9969343
512,10,0.00030945765,0.99746484
512,11,0.00027083725,0.99792916
512,12,0.00020724347,0.99828446
512,13,0.00016928957,0.9985747
512,14,0.0001224628,0.9987846
512,15,0.00010383561,0.99896264
512,16,9.7125085e-05,0.9991292
512,17,7.7379445e-05,0.99926186
512,18,4.9605576e-05,0.9993469
512,19,4.4415876e-05,0.999423
512,20,3.8446564e-05,0.99948895
512,21,3.4580797e-05,0.99954826
512,22,2.8147295e-05,0.99959654
512,23,2.56929e-05,0.9996406
512,24,2.2010341e-05,0.9996783
512,25,1.9795305e-05,0.9997122
512,26,1.7760223e-05,0.9997427
512,27,1.55964e-05,0.99976945
512,28,1.30509015e-05,0.9997918
512,29,1.1674298e-05,0.9998118
512,30,1.0960248e-05,0.9998306
512,31,9.785526e-06,0.99984735
512,32,8.219385e-06,0.9998614
512,33,7.653154e-06,0.99987453
512,34,7.0321903e-06,0.9998866
512,35,6.6907387e-06,0.999898
512,36,5.906978e-06,0.99990815
512,37,5.4781663e-06,0.99991757
512,38,4.7847593e-06,0.9999258
512,39,4.107024e-06,0.9999328
512,40,3.7163818e-06,0.9999392
512,41,3.336146e-06,0.9999449
512,42,3.25941e-06,0.9999505
512,43,2.6935095e-06,0.9999551
512,44,2.5616935e-06,0.9999595
512,45,2.2934178e-06,0.99996346
512,46,2.0420505e-06,0.999967
512,47,1.9575389e-06,0.9999703
512,48,1.7190773e-06,0.99997324
512,49,1.4352546e-06,0.9999757
512,50,1.3182337e-06,0.99997795
512,51,1.1939617e-06,0.99998
512,52,1.0594705e-06,0.99998176
512,53,9.956772e-07,0.9999835
512,54,8.9854063e-07,0.99998504
512,55,8.638193e-07,0.9999865
512,56,7.7145324e-07,0.99998784
512,57,6.533014e-07,0.999989
512,58,6.156957e-07,0.99999005
512,59,5.643537e-07,0.999991
512,60,5.129047e-07,0.9999919
512,61,4.72789e-07,0.9999927
512,62,4.291223e-07,0.99999344
512,63,3.888588e-07,0.9999941
512,64,3.5833878e-07,0.9999947
512,65,3.2635782e-07,0.99999523
512,66,3.0752355e-07,0.99999577
512,67,2.806205e-07,0.99999624
512,68,2.6259931e-07,0.9999967
512,69,2.3176716e-07,0.99999714
512,70,2.0108267e-07,0.9999975
512,71,1.7304532e-07,0.9999978
512,72,1.6493996e-07,0.9999981
512,73,1.410833e-07,0.99999833
512,74,1.3380075e-07,0.99999857
512,75,1.2299652e-07,0.9999988
512,76,1.1120027e-07,0.999999
512,77,1.0111082e-07,0.99999917
512,78,9.2167134e-08,0.99999934
512,79,8.095921e-08,0.99999946
512,80,7.1056505e-08,0.9999996
512,81,5.9499385e-08,0.9999997
512,82,5.4447717e-08,0.9999998
512,83,4.5699505e-08,0.9999999
512,84,3.490582e-08,0.99999994
512,85,3.1138836e-08,1.0
512,86,2.8953902e-08,1.0
512,87,2.499488e-08,1.0
512,88,2.0383343e-08,1.0
512,89,1.4928032e-08,1.0
512,90,1.4295203e-08,1.0
512,91,1.1421848e-08,1.0
512,92,8.121877e-09,1.0
512,93,5.0678266e-09,1.0
512,94,3.150993e-09,1.0
512,95,2.1842816e-09,1.0
512,96,1.6390074e-09,1.0
512,97,6.557936e-10,1.0
512,98,4.1317755e-10,1.0
512,99,3.5021172e-10,1.0
512,100,1.2821541e-10,1.0
512,101,1.3253436e-11,1.0
512,102,2.8729558e-12,1.0
512,103,2.4723836e-12,1.0
512,104,1.1265005e-12,1.0
512,105,5.7421754e-13,1.0
512,106,9.9982746e-14,1.0
512,107,6.673255e-14,1.0
512,108,3.2168936e-14,1.0
512,109,2.356779e-15,1.0
512,110,1.9494768e-15,1.0
512,111,1.6975763e-15,1.0
512,112,1.6039848e-15,1.0
1024,1,0.50120956,0.82557994
1024,2,0.049732372,0.9074979
1024,3,0.025262766,0.9491101
1024,4,0.015733073,0.97502524
1024,5,0.007483654,0.98735213
1024,6,0.002816239,0.991991
1024,7,0.0013328949,0.9941865
1024,8,0.0010216914,0.9958694
1024,9,0.0006297585,0.9969067
1024,10,0.00032076964,0.99743503
1024,11,0.00028435714,0.9979034
1024,12,0.00021609206,0.99825937
1024,13,0.00019270004,0.99857676
1024,14,0.00012883068,0.99878895
1024,15,0.00010139005,0.99895597
1024,16,9.2607545e-05,0.9991085
1024,17,8.2425504e-05,0.9992443
1024,18,4.985406e-05,0.9993264
1024,19,4.6216384e-05,0.9994025
1024,20,4.0918603e-05,0.99946994
1024,21,3.914473e-05,0.9995344
1024,22,2.9915593e-05,0.9995837
1024,23,2.799841e-05,0.99962986
1024,24,2.1594642e-05,0.99966544
1024,25,2.01311e-05,0.9996986
1024,26,1.8590305e-05,0.9997292
1024,27,1.6990327e-05,0.99975723
1024,28,1.4338535e-05,0.99978083
1024,29,1.2980539e-05,0.99980223
1024,30,1.1707987e-05,0.99982154
1024,31,1.0712068e-05,0.9998392
1024,32,8.832305e-06,0.99985373
1024,33,7.8456505e-06,0.99986666
1024,34,7.665894e-06,0.9998793
1024,35,7.23632e-06,0.9998912
1024,36,6.3948783e-06,0.9999018
1024,37,6.083836e-06,0.9999118
1024,38,5.3219565e-06,0.99992055
1024,39,4.3475793e-06,0.9999277
1024,40,4.133076e-06,0.9999345
1024,41,3.662842e-06,0.9999405
1024,42,3.4422624e-06,0.9999462
1024,43,3.1161371e-06,0.9999513
1024,44,2.8843297e-06,0.9999561
1024,45,2.3867467e-06,0.99996
1024,46,2.327512e-06,0.9999638
1024,47,2.1956369e-06,0.99996746
1024,48,1.8918415e-06,0.99997056
1024,49,1.7020686e-06,0.99997336
1024,50,1.5320703e-06,0.99997586
1024,51,1.3065212e-06,0.999978
1024,52,1.198985e-06,0.99998
1024,53,1.0439604e-06,0.9999817
1024,54,9.976688e-07,0.9999834
1024,55,9.644926e-07,0.999985
1024,56,8.081302e-07,0.9999863
1024,57,7.723318e-07,0.99998754
1024,58,7.161605e-07,0.99998873
1024,59,6.365884e-07,0.9999898
1024,60,5.7566507e-07,0.99999076
1024,61,5.505412e-07,0.99999166
1024,62,5.176807e-07,0.9999925
1024,63,4.496288e-07,0.9999932
1024,64,4.27556e-07,0.9999939
1024,65,3.939423e-07,0.9999946
1024,66,3.5211906e-07,0.9999952
1024,67,3.295483e-07,0.9999957
1024,68,2.9668038e-07,0.9999962
1024,69,2.7846622e-07,0.99999666
1024,70,2.2901979e-07,0.999997
1024,71,1.9687194e-07,0.9999973
1024,72,1.8731164e-07,0.9999976
1024,73,1.680662e-07,0.9999979
1024,74,1.6101211e-07,0.99999815
1024,75,1.4290146e-07,0.9999984
1024,76,1.2744327e-07,0.9999986
1024,77,1.1448201e-07,0.9999988
1024,78,9.700259e-08,0.999999
1024,79,8.927805e-08,0.9999991
1024,80,8.086554e-08,0.9999992
1024,81,6.397808e-08,0.99999934
1024,82,6.28773e-08,0.99999946
1024,83,4.7033822e-08,0.9999995
1024,84,3.9738907e-08,0.9999996
1024,85,3.626993e-08,0.99999964
1024,86,3.2790037e-08,0.9999997
1024,87,3.043564e-08,0.99999976
1024,88,2.553187e-08,0.9999998
1024,89,1.7765318e-08,0.9999998
1024,90,1.5629722e-08,0.9999998
1024,91,1.2918945e-08,0.9999998
1024,92,9.6294155e-09,0.9999998
1024,93,5.4282285e-09,0.9999998
1024,94,3.6199612e-09,0.9999998
1024,95,2.4705087e-09,0.9999998
1024,96,1.7978936e-09,0.9999998
1024,97,8.430213e-10,0.9999998
1024,98,4.873082e-10,0.9999998
1024,99,3.935713e-10,0.9999998
1024,100,1.6520482e-10,0.9999998
1024,101,1.6199255e-11,0.9999998
1024,102,3.613737e-12,0.9999998
1024,103,2.8257936e-12,0.9999998
1024,104,1.3379694e-12,0.9999998
1024,105,7.2819295e-13,0.9999998
1024,106,1.2395473e-13,0.9999998
1024,107,7.553146e-14,0.9999998
1024,108,4.1226306e-14,0.9999998
1024,109,3.4145118e-15,0.9999998
1024,110,2.3189058e-15,0.9999998
1024,111,2.15513e-15,0.9999998
1024,112,2.0889334e-15,0.9999998
4096,1,0.4865412,0.8124296
4096,2,0.051745784,0.89883506
4096,3,0.025166072,0.9408575
4096,4,0.01926239,0.973022
4096,5,0.007163708,0.984984
4096,6,0.0035747483,0.99095315
4096,7,0.0016001847,0.99362516
4096,8,0.0011447965,0.99553674
4096,9,0.0006754645,0.99666464
4096,10,0.00035447103,0.9972565
4096,11,0.00029020602,0.9977411
4096,12,0.00021763681,0.9981045
4096,13,0.00021287063,0.99846
4096,14,0.00013015447,0.9986773
4096,15,0.00012349003,0.99888355
4096,16,9.341893e-05,0.99903953
4096,17,8.9103116e-05,0.9991883
4096,18,5.3912678e-05,0.9992783
4096,19,4.6864916e-05,0.99935657
4096,20,4.0405394e-05,0.99942404
4096,21,4.0286057e-05,0.99949133
4096,22,3.255099e-05,0.9995457
4096,23,3.0878015e-05,0.99959725
4096,24,2.4394116e-05,0.99963796
4096,25,2.1607122e-05,0.999674
4096,26,1.9271498e-05,0.9997062
4096,27,1.7783945e-05,0.9997359
4096,28,1.6077283e-05,0.9997627
4096,29,1.4078689e-05,0.9997862
4096,30,1.2648314e-05,0.9998073
4096,31,1.11584795e-05,0.99982595
4096,32,9.340724e-06,0.9998416
4096,33,8.034405e-06,0.999855
4096,34,7.758651e-06,0.9998679
4096,35,7.3324436e-06,0.99988014
4096,36,6.717991e-06,0.99989134
4096,37,6.5728545e-06,0.9999023
4096,38,5.741081e-06,0.9999119
4096,39,4.722085e-06,0.9999198
4096,40,4.2553065e-06,0.99992687
4096,41,4.114397e-06,0.9999337
4096,42,3.7837863e-06,0.99994004
4096,43,3.5926232e-06,0.99994606
4096,44,3.0617427e-06,0.9999512
4096,45,2.603711e-06,0.99995553
4096,46,2.475623e-06,0.99995965
4096,47,2.2602305e-06,0.9999634
4096,48,2.0507634e-06,0.9999668
4096,49,1.9542022e-06,0.9999701
4096,50,1.6239208e-06,0.99997276
4096,51,1.4206272e-06,0.99997514
4096,52,1.333838e-06,0.99997735
