species,correct,total,accuracy
_OVERALL_,13731,52429,0.2618970417135555
Acoerulea,229,768,0.2981770833333333
Acomosus,335,880,0.3806818181818182
Ahypochondriacus,295,897,0.32887402452619846
Ahypogaea,135,837,0.16129032258064516
Aofficinalis,270,1034,0.2611218568665377
Athaliana,190,736,0.25815217391304346
Bdistachyon,175,806,0.21712158808933002
Bplatyphylla,163,889,0.18335208098987626
Bstricta,71,573,0.12390924956369982
Bvulgaris,211,938,0.22494669509594883
Carabica,187,831,0.2250300842358604
Carietinum,192,765,0.25098039215686274
Cavellana,152,872,0.1743119266055046
Ccitriodora,192,768,0.25
Cclementina,104,790,0.13164556962025317
Cillinoinensis,176,894,0.19686800894854586
Ckanehirae,628,1161,0.540913006029285
Cquinoa,196,913,0.21467688937568455
Crubella,142,714,0.19887955182072828
Csativus,277,754,0.3673740053050398
Dalata,249,814,0.3058968058968059
Dcarota,337,826,0.40799031476997577
Ecoracana,144,805,0.17888198757763976
Egrandis,190,764,0.2486910994764398
Esalsugineum,168,722,0.23268698060941828
Fvesca,182,770,0.23636363636363636
Gmax,186,861,0.21602787456445993
Hannuus,421,824,0.5109223300970874
Hvulgare,198,834,0.23741007194244604
Lalbus,305,811,0.376078914919852
Lervoides,188,845,0.22248520710059172
Ljaponicus,126,865,0.14566473988439307
Lsativa,158,702,0.22507122507122507
Lusitatissimum,320,687,0.4657933042212518
Macuminata,277,782,0.35421994884910485
Mdomestica,128,772,0.16580310880829016
Mesculenta,253,848,0.2983490566037736
Msinensis,59,634,0.09305993690851735
Mtruncatula,153,738,0.2073170731707317
Ncolorata,384,963,0.3987538940809969
Oeuropaea,118,651,0.18125960061443933
Osativa,204,765,0.26666666666666666
Othomaeum,193,783,0.24648786717752236
Pamilis,259,769,0.3368010403120936
Ppersica,89,752,0.11835106382978723
Ptrichocarpa,210,809,0.2595797280593325
Ptrifoliata,109,783,0.1392081736909323
Pvaginatum,113,800,0.14125
Pvirgatum,147,785,0.18726114649681527
Qrubra,310,911,0.3402854006586169
Rcommunis,117,593,0.1973018549747049
Sbicolor,126,788,0.1598984771573604
Soleracea,207,905,0.2287292817679558
Sparvula,156,723,0.2157676348547718
Spolyrhiza,388,638,0.6081504702194357
Spurpurea,185,805,0.22981366459627328
Sviridis,104,751,0.1384820239680426
Taestivum,129,802,0.16084788029925187
Tintermedium,110,805,0.13664596273291926
Vdarrowii,415,940,0.44148936170212766
Vfaba,118,780,0.15128205128205127
Vunguiculata,163,788,0.2068527918781726
Vvinifera,370,918,0.40305010893246185
Zmarina,415,828,0.501207729468599
Zmays,230,870,0.26436781609195403
