true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,274,2,6,3,17,6,3,4,7,25,4,10,9,0,4,9,7,12,9,23,4,14,2,4,1,47,2,13,4,16,10,20,8,7,11,7,4,2,17,3,4,4,7,9,13,3,3,3,1,15,11,1,4,2,3,4,1,1,2,9,12,6,3,5,12
Acomosus,1,506,7,8,15,2,5,9,8,15,22,2,9,10,7,10,1,10,4,9,1,5,6,11,6,5,1,5,3,0,1,3,3,6,5,2,12,6,3,9,1,8,14,0,2,3,1,4,7,7,12,5,2,6,5,2,6,4,4,7,1,2,1,6,17
Ahypochondriacus,14,9,374,8,9,4,3,5,2,40,10,17,16,1,10,4,3,32,2,28,3,10,2,2,2,7,12,9,1,19,11,12,5,1,2,5,5,3,17,2,13,4,4,7,4,3,10,2,0,8,10,5,30,7,2,3,1,2,0,5,15,9,3,4,25
Ahypogaea,10,11,14,132,5,3,3,6,5,8,9,32,9,3,17,14,1,12,4,18,20,20,5,3,2,11,61,3,5,25,15,32,4,9,10,10,47,1,12,5,4,2,3,4,8,12,22,2,1,10,20,6,7,6,5,13,1,2,0,1,14,29,25,6,18
Aofficinalis,8,21,13,10,377,6,3,8,8,55,11,5,14,13,7,11,4,16,9,13,8,34,7,13,7,14,3,10,5,18,6,17,10,7,18,11,1,2,10,7,9,5,10,9,7,6,7,1,6,7,13,6,13,12,9,5,3,7,5,24,4,3,7,22,14
Athaliana,3,2,4,1,4,228,0,0,66,3,3,6,5,2,0,1,1,2,105,6,2,2,2,2,63,8,0,2,1,3,6,1,3,7,4,1,0,1,8,2,3,2,7,1,3,0,1,2,0,4,4,1,3,100,5,1,3,2,2,4,6,6,0,12,4
Bdistachyon,2,2,1,0,4,4,268,1,5,2,0,2,3,5,0,0,3,0,0,7,1,3,40,1,1,3,0,1,44,4,0,0,0,1,9,5,1,16,1,6,0,21,34,1,1,1,1,35,34,2,4,30,2,1,2,1,62,39,58,0,1,2,0,2,26
Bplatyphylla,9,2,10,4,5,1,3,226,6,12,16,0,132,10,7,24,27,22,3,11,21,4,3,4,2,8,7,12,6,2,3,14,6,1,3,13,6,4,9,7,7,3,3,5,25,8,3,7,3,62,10,1,10,2,3,6,0,2,6,16,3,3,19,1,16
Bstricta,1,3,0,0,5,103,0,3,89,1,2,5,0,0,1,0,1,4,55,5,3,6,0,1,85,6,1,4,0,0,7,2,11,6,4,0,1,1,2,4,0,0,5,2,2,3,4,0,1,0,6,1,2,99,2,3,0,2,0,0,1,3,1,8,6
Bvulgaris,25,8,38,6,23,7,3,9,5,360,16,2,13,2,3,15,4,50,2,14,1,13,2,3,5,12,7,10,3,19,14,22,2,5,8,8,2,0,7,7,7,2,6,9,5,7,1,1,1,10,18,6,38,3,3,3,3,5,2,20,6,4,3,2,18
