species,correct,total,accuracy
_OVERALL_,4771,13108,0.36397619774183704
Acoerulea,85,201,0.4228855721393035
Acomosus,132,216,0.6111111111111112
Ahypochondriacus,91,230,0.39565217391304347
Ahypogaea,60,217,0.2764976958525346
Aofficinalis,110,253,0.43478260869565216
Athaliana,54,178,0.30337078651685395
Bdistachyon,58,208,0.27884615384615385
Bplatyphylla,61,223,0.273542600896861
Bstricta,20,145,0.13793103448275862
Bvulgaris,85,235,0.3617021276595745
Carabica,73,204,0.35784313725490197
Carietinum,78,193,0.40414507772020725
Cavellana,50,219,0.228310502283105
Ccitriodora,78,192,0.40625
Cclementina,39,188,0.2074468085106383
Cillinoinensis,71,218,0.3256880733944954
Ckanehirae,194,288,0.6736111111111112
Cquinoa,74,234,0.3162393162393162
Crubella,53,178,0.29775280898876405
Csativus,88,186,0.4731182795698925
Dalata,86,210,0.4095238095238095
Dcarota,104,200,0.52
Ecoracana,44,203,0.21674876847290642
Egrandis,71,192,0.3697916666666667
Esalsugineum,51,183,0.2786885245901639
Fvesca,65,182,0.35714285714285715
Gmax,54,210,0.2571428571428571
Hannuus,130,203,0.6403940886699507
Hvulgare,58,209,0.27751196172248804
Lalbus,87,192,0.453125
Lervoides,69,210,0.32857142857142857
Ljaponicus,57,222,0.25675675675675674
Lsativa,59,174,0.3390804597701149
Lusitatissimum,109,173,0.630057803468208
Macuminata,101,201,0.5024875621890548
Mdomestica,30,183,0.16393442622950818
Mesculenta,96,213,0.4507042253521127
Msinensis,35,168,0.20833333333333334
Mtruncatula,42,180,0.23333333333333334
Ncolorata,140,242,0.5785123966942148
Oeuropaea,62,170,0.36470588235294116
Osativa,61,197,0.3096446700507614
Othomaeum,68,198,0.3434343434343434
Pamilis,84,190,0.4421052631578947
Ppersica,43,179,0.24022346368715083
Ptrichocarpa,72,205,0.35121951219512193
Ptrifoliata,52,198,0.26262626262626265
Pvaginatum,52,195,0.26666666666666666
Pvirgatum,55,193,0.2849740932642487
Qrubra,91,236,0.3855932203389831
Rcommunis,54,149,0.3624161073825503
Sbicolor,58,203,0.2857142857142857
Soleracea,83,219,0.3789954337899543
Sparvula,63,185,0.34054054054054056
Spolyrhiza,99,150,0.66
Spurpurea,68,200,0.34
Sviridis,36,187,0.1925133689839572
Taestivum,34,208,0.16346153846153846
Tintermedium,37,199,0.18592964824120603
Vdarrowii,154,242,0.6363636363636364
Vfaba,42,201,0.208955223880597
Vunguiculata,54,195,0.27692307692307694
Vvinifera,89,223,0.3991031390134529
Zmarina,146,215,0.6790697674418604
Zmays,72,215,0.33488372093023255
