true_label,Acipenser ruthenus,Acropora millepora,Anguilla rostrata,Astatotilapia calliptera,Astyanax mexicanus,Biomphalaria glabrata,Brienomyrus brachyistius,Bubalus bubalis,Callithrix jacchus,Carassius gibelio,Cavia porcellus,Cervus canadensis,Choloepus didactylus,Clarias gariepinus,Clupea harengus,Conger conger,Crassostrea virginica,Ctenopharyngodon idella,Dasypus novemcinctus,Dreissena polymorpha,Elephas maximus indicus,Engraulis encrasicolus,Esox lucius,Fundulus heteroclitus,Gambusia affinis,Girardinichthys multiradiatus,Gopherus evgoodei,Haliotis rufescens,Hemicordylus capensis,Hippopotamus amphibius kiboko,Homo sapiens,Hoplias malabaricus,Ictalurus furcatus,Larimichthys crocea,Lates calcarifer,Lingula anatina,Lutra lutra,Macaca fascicularis,Manis pentadactyla,Mauremys reevesii,Melanotaenia boesemani,Mercenaria mercenaria,Micropterus dolomieu,Monodelphis domestica,Mus musculus,Mya arenaria,Mytilus trossulus,Necator americanus,Neoarius graeffei,Nycticebus coucang,Pangasianodon hypophthalmus,Panthera leo,Pimephales promelas,Pocillopora verrucosa,Pygocentrus nattereri,Rhineura floridana,Salvelinus sp. IW2-2015,Scleropages formosus,Sebastes umbrosus,Siniperca chuatsi,Strongylocentrotus purpuratus,Symphalangus syndactylus,Triplophysa dalaica,Xyrauchen texanus,Zalophus californianus
Mus musculus,3,0,1,1,0,1,2,6,18,3,11,10,7,0,2,2,0,1,5,0,9,0,1,1,1,0,2,0,9,6,13,5,0,0,0,0,4,9,5,13,1,0,1,4,10,0,0,0,0,10,1,6,0,0,0,3,1,1,1,0,0,8,0,1,6
Mya arenaria,4,4,0,0,0,5,1,0,0,4,0,0,0,0,2,0,15,3,0,49,0,2,1,0,0,1,0,13,0,1,0,0,1,0,0,8,0,0,1,1,1,59,0,0,0,53,31,1,0,0,0,0,1,2,0,0,0,0,2,0,4,2,1,6,0
Mytilus trossulus,0,4,0,0,1,6,0,0,0,4,0,0,0,0,0,0,15,2,0,28,0,0,4,1,1,0,1,5,0,0,0,0,1,0,0,3,0,0,0,0,0,49,0,0,0,39,70,2,0,0,2,1,0,1,0,0,0,0,0,0,4,0,1,1,1
Necator americanus,2,16,1,0,0,1,1,0,1,3,0,0,0,0,4,5,3,0,0,5,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,3,5,103,0,0,0,0,0,14,0,0,0,1,0,1,8,0,0,3,0
Neoarius graeffei,12,1,2,2,9,1,2,4,1,23,0,0,0,9,1,2,1,2,0,3,1,3,1,4,3,3,1,1,2,0,3,10,4,8,3,0,1,1,0,3,8,1,4,0,0,1,2,0,6,2,5,0,7,0,5,2,2,4,3,2,2,0,1,12,1
Nycticebus coucang,0,3,0,0,1,0,3,10,15,3,11,4,8,0,1,0,0,0,5,0,10,1,0,0,1,0,2,0,4,4,9,2,0,0,1,0,4,11,6,5,0,1,1,4,13,1,0,0,0,14,0,4,0,0,0,6,0,0,0,1,0,10,0,2,13
Pangasianodon hypophthalmus,11,0,5,3,11,0,2,0,1,19,0,0,0,5,2,2,0,3,0,1,0,2,1,5,1,5,1,1,1,1,2,5,8,9,4,0,1,1,0,2,3,0,5,0,2,0,0,0,7,0,11,0,1,1,3,4,2,5,6,1,2,1,2,11,0
Panthera leo,0,1,1,1,0,0,0,5,10,4,10,9,5,1,0,1,0,0,5,0,10,0,2,2,0,0,4,0,9,5,7,0,1,0,0,0,8,8,7,5,1,0,0,6,10,0,0,0,1,13,0,6,0,0,0,2,0,1,0,0,0,8,0,2,9
Pimephales promelas,9,0,6,2,2,0,2,0,0,40,0,1,0,2,3,0,4,3,0,7,0,6,2,3,2,4,0,2,2,0,0,5,3,2,2,3,0,0,1,3,1,7,0,1,0,3,3,1,4,0,1,0,7,1,2,1,1,3,1,4,3,0,2,21,1
Pocillopora verrucosa,1,35,2,0,0,0,1,0,2,8,0,1,0,1,2,0,6,2,1,3,1,3,2,0,1,0,0,8,0,0,0,1,1,0,1,4,0,0,0,0,0,14,0,0,0,6,1,14,1,0,0,0,1,41,0,0,0,0,0,0,8,0,2,5,0
Pygocentrus nattereri,7,0,4,4,5,0,4,2,0,19,2,2,0,0,3,2,0,3,0,1,1,6,2,8,2,0,1,3,4,2,0,7,2,3,6,1,1,0,2,0,3,1,4,0,2,0,0,4,7,3,3,0,2,0,29,2,3,5,5,4,1,1,2,9,0
Rhineura floridana,3,2,6,3,0,0,4,2,8,3,3,3,6,0,0,0,0,1,3,1,4,2,1,1,2,0,6,2,25,3,9,1,0,0,0,0,5,3,0,10,3,1,0,10,6,0,0,0,1,0,1,3,2,0,1,21,1,2,0,0,0,7,0,3,2
Salvelinus sp. IW2-2015,9,5,11,2,2,0,2,1,1,12,0,0,0,3,7,7,1,3,1,2,0,11,8,0,0,0,0,8,1,1,1,2,1,3,3,4,1,1,1,3,0,6,1,1,1,0,2,2,3,0,1,0,0,0,5,4,12,1,4,3,5,0,3,7,0
Scleropages formosus,8,2,2,1,3,0,16,2,2,21,1,0,2,0,1,4,2,2,1,0,2,2,0,8,5,1,3,1,5,1,3,3,2,1,1,3,0,2,3,1,4,1,2,0,2,2,1,1,4,0,2,1,1,0,9,1,2,17,2,1,0,3,0,3,2
Sebastes umbrosus,7,0,5,6,11,1,1,0,0,22,0,0,0,3,2,1,0,5,0,2,1,4,1,2,3,3,1,0,2,1,0,3,6,9,2,0,0,0,1,1,9,2,6,1,0,0,1,0,8,0,3,0,2,0,1,1,2,3,22,5,1,0,0,12,0
Siniperca chuatsi,8,2,3,6,5,0,3,1,3,10,0,0,0,0,3,3,1,5,0,0,1,9,3,5,7,8,0,1,2,1,0,4,3,3,4,1,0,0,0,1,5,6,4,0,1,2,2,1,5,0,3,1,2,0,7,0,2,0,10,4,1,0,3,15,1
Strongylocentrotus purpuratus,7,6,4,1,0,2,3,0,2,5,0,0,1,1,6,2,7,1,0,13,0,5,2,1,0,2,0,17,0,0,0,2,0,1,0,4,1,0,0,2,0,11,0,0,1,7,8,13,1,0,0,0,1,3,0,1,3,1,1,1,27,0,3,7,0
Symphalangus syndactylus,4,2,1,1,0,1,2,10,12,3,7,7,5,0,0,0,0,0,6,0,4,0,0,3,1,0,4,0,13,7,18,2,0,0,0,0,7,7,6,13,3,1,1,3,9,0,0,0,0,9,0,12,0,0,0,7,0,0,0,0,1,14,0,2,3
Triplophysa dalaica,12,3,8,4,2,1,1,0,1,24,0,0,0,4,1,2,0,5,0,7,1,0,0,1,3,2,0,5,0,0,1,2,1,1,1,2,0,1,0,1,0,7,4,0,0,4,0,1,2,0,0,0,8,3,5,0,3,1,2,1,1,0,10,31,1
Xyrauchen texanus,19,4,6,6,0,2,1,1,0,47,1,0,0,4,3,6,3,11,0,7,0,5,5,1,2,2,0,5,4,0,2,2,4,0,10,7,1,0,0,0,3,3,6,1,0,7,5,3,8,1,6,0,6,4,4,3,1,3,4,2,2,1,7,39,1
Zalophus californianus,2,0,0,1,0,3,2,9,7,4,6,2,7,2,0,0,0,0,9,0,8,2,0,0,0,0,0,0,7,5,16,0,0,0,0,0,13,9,7,4,0,1,0,11,11,1,1,0,0,7,0,7,0,0,0,2,1,2,1,3,1,11,0,3,6
