species,correct,total,accuracy
_OVERALL_,1638,13108,0.12496185535550809
Acipenser ruthenus,81,299,0.2709030100334448
Acropora millepora,62,204,0.30392156862745096
Anguilla rostrata,21,210,0.1
Astatotilapia calliptera,12,192,0.0625
Astyanax mexicanus,28,193,0.14507772020725387
Biomphalaria glabrata,59,201,0.2935323383084577
Brienomyrus brachyistius,21,210,0.1
Bubalus bubalis,8,191,0.041884816753926704
Callithrix jacchus,17,216,0.0787037037037037
Carassius gibelio,69,327,0.21100917431192662
Cavia porcellus,9,189,0.047619047619047616
Cervus canadensis,6,168,0.03571428571428571
Choloepus didactylus,12,186,0.06451612903225806
Clarias gariepinus,14,178,0.07865168539325842
Clupea harengus,5,176,0.028409090909090908
Conger conger,16,198,0.08080808080808081
Crassostrea virginica,14,196,0.07142857142857142
Ctenopharyngodon idella,23,200,0.115
Dasypus novemcinctus,11,176,0.0625
Dreissena polymorpha,69,282,0.24468085106382978
Elephas maximus indicus,11,176,0.0625
Engraulis encrasicolus,25,195,0.1282051282051282
Esox lucius,4,183,0.02185792349726776
Fundulus heteroclitus,26,192,0.13541666666666666
Gambusia affinis,19,188,0.10106382978723404
Girardinichthys multiradiatus,6,171,0.03508771929824561
Gopherus evgoodei,18,174,0.10344827586206896
Haliotis rufescens,95,239,0.39748953974895396
Hemicordylus capensis,54,226,0.23893805309734514
Hippopotamus amphibius kiboko,6,178,0.033707865168539325
Homo sapiens,20,218,0.09174311926605505
Hoplias malabaricus,18,202,0.0891089108910891
Ictalurus furcatus,4,176,0.022727272727272728
Larimichthys crocea,17,173,0.09826589595375723
Lates calcarifer,16,191,0.08376963350785341
Lingula anatina,8,173,0.046242774566473986
Lutra lutra,8,182,0.04395604395604396
Macaca fascicularis,9,185,0.04864864864864865
Manis pentadactyla,11,182,0.06043956043956044
Mauremys reevesii,45,232,0.1939655172413793
Melanotaenia boesemani,9,190,0.04736842105263158
Mercenaria mercenaria,90,300,0.3
Micropterus dolomieu,13,182,0.07142857142857142
Monodelphis domestica,27,187,0.1443850267379679
Mus musculus,10,205,0.04878048780487805
Mya arenaria,53,279,0.18996415770609318
Mytilus trossulus,70,247,0.2834008097165992
Necator americanus,103,196,0.5255102040816326
Neoarius graeffei,6,197,0.030456852791878174
Nycticebus coucang,14,194,0.07216494845360824
Pangasianodon hypophthalmus,11,182,0.06043956043956044
Panthera leo,6,180,0.03333333333333333
Pimephales promelas,7,189,0.037037037037037035
Pocillopora verrucosa,41,180,0.22777777777777777
Pygocentrus nattereri,29,199,0.1457286432160804
Rhineura floridana,21,186,0.11290322580645161
Salvelinus sp. IW2-2015,12,179,0.0670391061452514
Scleropages formosus,17,178,0.09550561797752809
Sebastes umbrosus,22,185,0.11891891891891893
Siniperca chuatsi,4,181,0.022099447513812154
Strongylocentrotus purpuratus,27,187,0.1443850267379679
Symphalangus syndactylus,14,211,0.06635071090047394
Triplophysa dalaica,10,181,0.055248618784530384
Xyrauchen texanus,39,291,0.13402061855670103
Zalophus californianus,6,194,0.030927835051546393
