true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2535,37,1134,1077,31,29,16,24,14,12
Bdistachyon,47,2405,45,41,452,399,456,323,666,530
Crubella,1428,38,2163,1073,27,47,8,31,16,22
Esalsugineum,1220,64,1020,2472,37,38,20,33,16,34
Hvulgare,56,774,60,62,1938,354,463,409,404,984
Osativa,109,435,109,141,234,2686,295,502,511,212
Pvaginatum,66,700,58,54,417,522,1675,717,730,500
Sbicolor,87,565,109,119,321,587,682,2060,509,404
Sviridis,49,874,47,36,435,579,736,500,1577,408
Taestivum,50,912,63,67,999,277,459,364,494,1803
