true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2004,82,1380,1119,78,89,29,46,40,42
Bdistachyon,105,1746,96,166,406,482,608,307,774,674
Crubella,1605,68,1809,1062,55,68,23,41,57,65
Esalsugineum,1317,80,1166,1962,109,96,38,36,63,87
Hvulgare,92,695,70,137,1877,409,467,225,409,1123
Osativa,134,729,124,229,395,1741,503,429,571,379
Pvaginatum,84,911,102,153,403,548,1381,466,798,593
Sbicolor,110,705,114,155,390,637,691,1503,637,501
Sviridis,115,1030,94,115,382,505,741,471,1190,598
Taestivum,72,853,77,117,1004,299,507,284,499,1776
