target,n_classes,n_components,accuracy,f1_macro
species,1,0,1.0,1.0
species,1,1,1.0,1.0
species,1,2,1.0,1.0
species,1,3,1.0,1.0
species,1,4,1.0,1.0
species,1,8,1.0,1.0
species,1,16,1.0,1.0
species,1,32,1.0,1.0
species,1,64,1.0,1.0
species,1,128,1.0,1.0
gc_content,5,0,0.20109856576136712,0.20081720028417985
gc_content,5,1,0.8188892279523955,0.8197367627022789
gc_content,5,2,0.8504729935916997,0.8512344219241357
gc_content,5,3,0.8556606652426,0.8563542647581507
gc_content,5,4,0.8567287152883735,0.857189749716708
gc_content,5,8,0.9253890753738175,0.9254343007283815
gc_content,5,16,0.9386634116570034,0.938731272929466
gc_content,5,32,0.9394263045468416,0.9394981809840044
gc_content,5,64,0.9391211473909064,0.9392132713034286
gc_content,5,128,0.9365273115654562,0.9366195571073854
repeat_fraction,5,0,0.20201403722917302,0.2013971227397834
repeat_fraction,5,1,0.24473603906011596,0.2348391478583009
repeat_fraction,5,2,0.28303326212999697,0.27572795751186685
repeat_fraction,5,3,0.3005797985962771,0.2949910172813632
repeat_fraction,5,4,0.34848947207812025,0.3397546636253609
repeat_fraction,5,8,0.4231003967043027,0.4138557914913979
repeat_fraction,5,16,0.4603295697284101,0.45283977354596283
repeat_fraction,5,32,0.47833384192859324,0.4724127856034504
repeat_fraction,5,64,0.48474214220323464,0.4801429494419381
repeat_fraction,5,128,0.49374427830332623,0.4898166178382691
kmer_entropy_1,5,0,0.19911504424778761,0.19892833492503076
kmer_entropy_1,5,1,0.6962160512664022,0.6923181226812811
kmer_entropy_1,5,2,0.7531278608483369,0.7527558990396762
kmer_entropy_1,5,3,0.7952395483674092,0.7956654342722379
kmer_entropy_1,5,4,0.8066829417149832,0.8067757206002962
kmer_entropy_1,5,8,0.8645102227647238,0.8645334898521041
kmer_entropy_1,5,16,0.8809887091852304,0.8812254173617916
kmer_entropy_1,5,32,0.8774794018919744,0.8777146116516104
kmer_entropy_1,5,64,0.8721391516631065,0.8725915472506938
kmer_entropy_1,5,128,0.8663411657003357,0.8668218018597458
kmer_entropy_3,5,0,0.19804699420201405,0.19766599863446738
kmer_entropy_3,5,1,0.6078730546231309,0.6018944222139376
kmer_entropy_3,5,2,0.6371681415929203,0.6356947316748833
kmer_entropy_3,5,3,0.675160207506866,0.6742299379399666
kmer_entropy_3,5,4,0.68660360085444,0.6866674207320793
kmer_entropy_3,5,8,0.7548062252059811,0.7556867912935253
kmer_entropy_3,5,16,0.7813548977723528,0.7818599997721595
kmer_entropy_3,5,32,0.778150747635032,0.7789396077055194
kmer_entropy_3,5,64,0.7830332621299969,0.7837917036814135
kmer_entropy_3,5,128,0.7769301190112908,0.7777646764419381
kmer_entropy_9,5,0,0.2033872444308819,0.2026672857108381
kmer_entropy_9,5,1,0.2508391821788221,0.23949669978949836
kmer_entropy_9,5,2,0.2660970399755874,0.2599369720583934
kmer_entropy_9,5,3,0.2772352761672261,0.272279032784
kmer_entropy_9,5,4,0.332316142813549,0.32078078089292333
kmer_entropy_9,5,8,0.39548367409215746,0.3886714666798988
kmer_entropy_9,5,16,0.4096734818431492,0.40580466340739185
kmer_entropy_9,5,32,0.42035398230088494,0.4184823490261869
kmer_entropy_9,5,64,0.43103448275862066,0.4297787829949044
kmer_entropy_9,5,128,0.435306682941715,0.4334785462438834
dinuc_CG,5,0,0.19774183704607873,0.1965395408265998
dinuc_CG,5,1,0.6466280134269149,0.6500253861144116
dinuc_CG,5,2,0.6467805920048825,0.6497490007440827
dinuc_CG,5,3,0.6554775709490388,0.657965662227839
dinuc_CG,5,4,0.714372902044553,0.7165146010073193
dinuc_CG,5,8,0.8312480927677754,0.832004942871554
dinuc_CG,5,16,0.8696978944156241,0.8706375921841996
dinuc_CG,5,32,0.870155630149527,0.8708595040818012
dinuc_CG,5,64,0.8703082087274947,0.8710933207505048
dinuc_CG,5,128,0.8637473298748856,0.8644522979078737
dinuc_GC,5,0,0.18782422947818125,0.18528054029856142
dinuc_GC,5,1,0.6103143118706134,0.6087921411950299
dinuc_GC,5,2,0.6345743057674702,0.6355964052213107
dinuc_GC,5,3,0.6388465059505646,0.6396773932249611
dinuc_GC,5,4,0.6490692706743973,0.6497767859255765
dinuc_GC,5,8,0.6635642355813244,0.6647338172821782
dinuc_GC,5,16,0.6972841013121758,0.6977041075631062
dinuc_GC,5,32,0.7088800732377174,0.7088887857159178
dinuc_GC,5,64,0.7302410741531888,0.7305767193529566
dinuc_GC,5,128,0.747329874885566,0.747330083669128
dinuc_AT,5,0,0.19285932255111382,0.1926235516886146
dinuc_AT,5,1,0.5851388465059506,0.5917283813536744
dinuc_AT,5,2,0.5889533109551419,0.5947107676913272
dinuc_AT,5,3,0.5874275251754654,0.5929729070370783
dinuc_AT,5,4,0.6097039975587427,0.6131238622711062
dinuc_AT,5,8,0.6687519072322246,0.6704311981597786
dinuc_AT,5,16,0.6801953005797986,0.6821460583062853
dinuc_AT,5,32,0.7012511443393348,0.7030354659052529
dinuc_AT,5,64,0.7137625877326823,0.7152348612170257
dinuc_AT,5,128,0.7184925236496796,0.7204230500799121
dinuc_TA,5,0,0.1994202014037229,0.19716856803515778
dinuc_TA,5,1,0.4980164784864205,0.5002997538697558
dinuc_TA,5,2,0.51235886481538,0.5157940866775581
dinuc_TA,5,3,0.5276167226121452,0.5297191964891167
dinuc_TA,5,4,0.5822398535245652,0.5818271487078339
dinuc_TA,5,8,0.7187976808056149,0.7192187177932521
dinuc_TA,5,16,0.7500762892889838,0.7505646022034078
dinuc_TA,5,32,0.7595361611229783,0.7603923774835972
dinuc_TA,5,64,0.7638083613060727,0.7644891605694506
dinuc_TA,5,128,0.7633506255721697,0.7634753767076292
dinuc_AA,5,0,0.20125114433933475,0.20046754785864893
dinuc_AA,5,1,0.38770216661580714,0.3671593318830474
dinuc_AA,5,2,0.5862068965517241,0.5872138538987016
dinuc_AA,5,3,0.6081782117790662,0.6098733320925811
dinuc_AA,5,4,0.6101617332926457,0.6120418135504848
dinuc_AA,5,8,0.6400671345743058,0.6412126760232513
dinuc_AA,5,16,0.6997253585596582,0.7015757352626911
dinuc_AA,5,32,0.7035398230088495,0.7046968007879806
dinuc_AA,5,64,0.7186451022276472,0.7193885208200309
dinuc_AA,5,128,0.7140677448886177,0.7148919575611172
dinuc_TT,5,0,0.19438510833079037,0.1938814961912334
dinuc_TT,5,1,0.5468416234360696,0.5485130627789392
dinuc_TT,5,2,0.6432712847116265,0.6463088660743092
dinuc_TT,5,3,0.6634116570033567,0.665169564650274
dinuc_TT,5,4,0.6797375648458956,0.6811719141573541
dinuc_TT,5,8,0.7133048519987794,0.7139098605934178
dinuc_TT,5,16,0.7664021971315227,0.7676022151195208
dinuc_TT,5,32,0.7726579188281966,0.7737756438913739
dinuc_TT,5,64,0.7738785474519377,0.7749205723137388
dinuc_TT,5,128,0.7764723832773879,0.7774881052597049
