species,correct,total,accuracy
_OVERALL_,9980,26215,0.38069807362197217
Caenorhabditis elegans,1889,2697,0.7004078605858362
Callithrix jacchus,1114,5644,0.19737774627923457
Drosophila melanogaster,122,1575,0.07746031746031747
Fundulus heteroclitus,3306,5165,0.6400774443368829
Homo sapiens,1647,5547,0.2969172525689562
Mus musculus,1902,5587,0.34043314838016825
