true_label,Caenorhabditis elegans,Callithrix jacchus,Drosophila melanogaster,Fundulus heteroclitus,Homo sapiens,Mus musculus
Caenorhabditis elegans,1878,45,69,607,16,82
Callithrix jacchus,447,1183,32,1184,1416,1382
Drosophila melanogaster,343,87,147,785,24,189
Fundulus heteroclitus,498,345,84,3315,132,791
Homo sapiens,435,1127,24,1157,1654,1150
Mus musculus,228,960,27,1194,1137,2041
