n_samples,rank,eigenvalue,cumulative_variance
4096,1,1.1424141,0.26875672
4096,2,0.5618461,0.40093288
4096,3,0.3915398,0.49304393
4096,4,0.2512671,0.5521554
4096,5,0.1690766,0.5919312
4096,6,0.14680006,0.62646645
4096,7,0.12540857,0.65596926
4096,8,0.11323483,0.6826081
4096,9,0.096640825,0.7053432
4096,10,0.07182726,0.7222408
4096,11,0.064688966,0.7374591
4096,12,0.06245297,0.75215137
4096,13,0.050215658,0.7639648
4096,14,0.047464635,0.775131
4096,15,0.03888564,0.784279
4096,16,0.037242122,0.79304034
4096,17,0.0315139,0.8004541
4096,18,0.027766142,0.80698615
4096,19,0.026200354,0.81314987
4096,20,0.023448495,0.8186662
4096,21,0.02265059,0.8239949
4096,22,0.021131728,0.8289662
4096,23,0.020678094,0.8338308
4096,24,0.018294297,0.8381346
4096,25,0.017383225,0.84222406
4096,26,0.017368846,0.84631014
4096,27,0.016120456,0.85010254
4096,28,0.015288347,0.8536992
4096,29,0.013508027,0.856877
4096,30,0.012941277,0.8599215
4096,31,0.01232979,0.8628221
4096,32,0.011577012,0.86554563
4096,33,0.010992934,0.86813176
4096,34,0.010191724,0.8705294
4096,35,0.009656193,0.87280107
4096,36,0.009518527,0.87504035
4096,37,0.009066665,0.8771733
4096,38,0.0087244185,0.87922573
4096,39,0.008531495,0.8812328
4096,40,0.008093799,0.88313687
4096,41,0.007814405,0.88497525
4096,42,0.0073413905,0.88670236
4096,43,0.0069746566,0.88834316
4096,44,0.0067444835,0.88992983
4096,45,0.006591729,0.89148057
4096,46,0.006328491,0.89296937
4096,47,0.0062310966,0.8944352
4096,48,0.0059194746,0.89582783
4096,49,0.0056596557,0.8971593
4096,50,0.005551927,0.8984654
4096,51,0.005404245,0.89973676
4096,52,0.0053107874,0.90098614
4096,53,0.0052507874,0.9022214
4096,54,0.0051098294,0.9034235
4096,55,0.004843562,0.90456295
4096,56,0.0046783136,0.90566355
4096,57,0.004564541,0.9067374
4096,58,0.004431208,0.9077799
4096,59,0.0043222844,0.9087967
4096,60,0.004198635,0.9097845
4096,61,0.004154389,0.91076183
4096,62,0.0039999317,0.9117028
4096,63,0.0039435546,0.91263056
4096,64,0.0037757503,0.9135188
4096,65,0.0036943185,0.9143879
4096,66,0.0036306947,0.915242
4096,67,0.0035507744,0.9160774
4096,68,0.0034299614,0.9168843
4096,69,0.0034027202,0.9176848
4096,70,0.0033296456,0.9184681
4096,71,0.0032560234,0.9192341
4096,72,0.003206841,0.9199885
4096,73,0.003178534,0.92073625
4096,74,0.003121051,0.92147046
4096,75,0.003064575,0.92219144
4096,76,0.0029469256,0.9228847
4096,77,0.0029167617,0.9235709
4096,78,0.0028785118,0.92424804
4096,79,0.002818012,0.92491096
4096,80,0.0027297146,0.92555314
4096,81,0.0027228056,0.9261937
4096,82,0.0026760304,0.92682326
4096,83,0.0026103426,0.92743737
4096,84,0.0025627415,0.92804027
4096,85,0.0024873677,0.9286254
4096,86,0.002453599,0.9292026
4096,87,0.0023860931,0.929764
4096,88,0.0023375435,0.9303139
4096,89,0.002320142,0.9308597
4096,90,0.0022933602,0.9313992
4096,91,0.0022726608,0.9319339
4096,92,0.002212955,0.93245447
4096,93,0.0022057046,0.9329734
4096,94,0.0021550306,0.9334804
4096,95,0.0021295664,0.93398136
4096,96,0.0020561947,0.9344651
4096,97,0.002030096,0.9349427
4096,98,0.0020058423,0.9354146
4096,99,0.0019871737,0.9358821
4096,100,0.0019676653,0.936345
4096,101,0.0019438902,0.93680227
4096,102,0.0018791084,0.93724436
4096,103,0.0018711396,0.93768454
4096,104,0.0018452981,0.93811864
4096,105,0.0018398793,0.9385515
4096,106,0.0017933171,0.93897337
4096,107,0.0017614481,0.93938774
4096,108,0.0017297871,0.93979466
4096,109,0.0017260144,0.9402007
4096,110,0.0017049814,0.94060177
4096,111,0.0016929256,0.94100004
4096,112,0.0016744245,0.941394
4096,113,0.0016654374,0.94178575
4096,114,0.0016515832,0.9421743
4096,115,0.0016300463,0.9425578
4096,116,0.0015909579,0.94293207
4096,117,0.0015903576,0.9433062
4096,118,0.0015696111,0.94367546
4096,119,0.0015482786,0.9440397
4096,120,0.0015271291,0.94439894
4096,121,0.0015096391,0.94475406
4096,122,0.0014941149,0.94510555
4096,123,0.0014659658,0.9454504
4096,124,0.0014513105,0.94579184
4096,125,0.0014309343,0.9461285
4096,126,0.0014151954,0.94646144
4096,127,0.0013961883,0.9467899
4096,128,0.0013889429,0.9471167
4096,129,0.0013763644,0.94744045
4096,130,0.0013574695,0.9477598
4096,131,0.0013372225,0.9480744
4096,132,0.001317275,0.9483843
4096,133,0.001311606,0.94869286
4096,134,0.0012793572,0.9489938
4096,135,0.0012751711,0.9492938
4096,136,0.0012667896,0.9495918
4096,137,0.0012498588,0.94988585
4096,138,0.0012370967,0.9501769
4096,139,0.0012266994,0.9504655
4096,140,0.0012171062,0.95075184
4096,141,0.0012082093,0.9510361
4096,142,0.0011922008,0.95131654
4096,143,0.0011665383,0.95159096
4096,144,0.0011583248,0.95186347
4096,145,0.0011473374,0.95213336
4096,146,0.0011425234,0.9524021
4096,147,0.0011340737,0.9526689
4096,148,0.0011123425,0.95293057
4096,149,0.0011009022,0.95318955
4096,150,0.0010854267,0.9534449
4096,151,0.0010657851,0.95369565
4096,152,0.0010634464,0.9539458
4096,153,0.0010514352,0.9541932
4096,154,0.001049785,0.9544401
4096,155,0.0010410438,0.95468503
4096,156,0.0010365774,0.9549289
4096,157,0.0010288028,0.9551709
4096,158,0.0010247014,0.955412
4096,159,0.001008026,0.95564914
4096,160,0.0009969823,0.9558837
4096,161,0.0009928752,0.9561173
4096,162,0.0009754806,0.95634675
4096,163,0.00097135076,0.9565753
4096,164,0.0009625043,0.9568017
4096,165,0.0009441281,0.9570238
4096,166,0.00093872997,0.95724463
4096,167,0.00092918385,0.9574632
4096,168,0.00092113327,0.9576799
4096,169,0.00091849465,0.957896
4096,170,0.0009142028,0.95811105
4096,171,0.00090823363,0.95832473
4096,172,0.00090192765,0.9585369
4096,173,0.0008950188,0.9587475
4096,174,0.0008724826,0.9589528
4096,175,0.00086611096,0.9591565
4096,176,0.0008657622,0.9593602
4096,177,0.00086308765,0.95956326
4096,178,0.0008526784,0.9597638
4096,179,0.0008477306,0.95996326
4096,180,0.0008406553,0.96016103
4096,181,0.0008260212,0.96035534
4096,182,0.0008235607,0.9605491
4096,183,0.00081735896,0.9607414
4096,184,0.0008069894,0.96093124
4096,185,0.0008001704,0.9611195
