species,correct,total,accuracy
_OVERALL_,6065,13108,0.46269453768690877
Acoerulea,104,201,0.5174129353233831
Acomosus,127,216,0.5879629629629629
Ahypochondriacus,153,230,0.6652173913043479
Ahypogaea,88,217,0.4055299539170507
Aofficinalis,179,253,0.7075098814229249
Athaliana,44,178,0.24719101123595505
Bdistachyon,95,208,0.4567307692307692
Bplatyphylla,75,223,0.336322869955157
Bstricta,35,145,0.2413793103448276
Bvulgaris,141,235,0.6
Carabica,151,204,0.7401960784313726
Carietinum,86,193,0.44559585492227977
Cavellana,76,219,0.3470319634703196
Ccitriodora,60,192,0.3125
Cclementina,40,188,0.2127659574468085
Cillinoinensis,81,218,0.37155963302752293
Ckanehirae,191,288,0.6631944444444444
Cquinoa,120,234,0.5128205128205128
Crubella,39,178,0.21910112359550563
Csativus,113,186,0.6075268817204301
Dalata,135,210,0.6428571428571429
Dcarota,136,200,0.68
Ecoracana,72,203,0.35467980295566504
Egrandis,62,192,0.3229166666666667
Esalsugineum,56,183,0.30601092896174864
Fvesca,84,182,0.46153846153846156
Gmax,105,210,0.5
Hannuus,188,203,0.9261083743842364
Hvulgare,87,209,0.41626794258373206
Lalbus,94,192,0.4895833333333333
Lervoides,84,210,0.4
Ljaponicus,83,222,0.3738738738738739
Lsativa,133,174,0.764367816091954
Lusitatissimum,106,173,0.6127167630057804
Macuminata,163,201,0.8109452736318408
Mdomestica,42,183,0.22950819672131148
Mesculenta,123,213,0.5774647887323944
Msinensis,47,168,0.27976190476190477
Mtruncatula,96,180,0.5333333333333333
Ncolorata,139,242,0.5743801652892562
Oeuropaea,48,170,0.2823529411764706
Osativa,108,197,0.5482233502538071
Othomaeum,68,198,0.3434343434343434
Pamilis,111,190,0.5842105263157895
Ppersica,47,179,0.26256983240223464
Ptrichocarpa,58,205,0.28292682926829266
Ptrifoliata,55,198,0.2777777777777778
Pvaginatum,58,195,0.29743589743589743
Pvirgatum,71,193,0.36787564766839376
Qrubra,130,236,0.5508474576271186
Rcommunis,32,149,0.21476510067114093
Sbicolor,94,203,0.4630541871921182
Soleracea,113,219,0.5159817351598174
Sparvula,52,185,0.2810810810810811
Spolyrhiza,85,150,0.5666666666666667
Spurpurea,56,200,0.28
Sviridis,49,187,0.2620320855614973
Taestivum,76,208,0.36538461538461536
Tintermedium,52,199,0.2613065326633166
Vdarrowii,145,242,0.5991735537190083
Vfaba,59,201,0.2935323383084577
Vunguiculata,102,195,0.5230769230769231
Vvinifera,101,223,0.452914798206278
Zmarina,141,215,0.6558139534883721
Zmays,121,215,0.5627906976744186
