species,correct,total,accuracy
_OVERALL_,1309,3277,0.39945071711931646
Acoerulea,23,51,0.45098039215686275
Acomosus,23,53,0.4339622641509434
Ahypochondriacus,23,50,0.46
Ahypogaea,13,56,0.23214285714285715
Aofficinalis,41,68,0.6029411764705882
Athaliana,3,39,0.07692307692307693
Bdistachyon,11,48,0.22916666666666666
Bplatyphylla,12,57,0.21052631578947367
Bstricta,7,40,0.175
Bvulgaris,26,56,0.4642857142857143
Carabica,40,54,0.7407407407407407
Carietinum,9,47,0.19148936170212766
Cavellana,13,55,0.23636363636363636
Ccitriodora,16,49,0.32653061224489793
Cclementina,10,48,0.20833333333333334
Cillinoinensis,14,57,0.24561403508771928
Ckanehirae,55,71,0.7746478873239436
Cquinoa,38,64,0.59375
Crubella,11,44,0.25
Csativus,30,47,0.6382978723404256
Dalata,23,47,0.48936170212765956
Dcarota,34,46,0.7391304347826086
Ecoracana,11,48,0.22916666666666666
Egrandis,9,51,0.17647058823529413
Esalsugineum,8,43,0.18604651162790697
Fvesca,21,49,0.42857142857142855
Gmax,31,51,0.6078431372549019
Hannuus,43,52,0.8269230769230769
Hvulgare,15,49,0.30612244897959184
Lalbus,34,50,0.68
Lervoides,17,56,0.30357142857142855
Ljaponicus,15,53,0.2830188679245283
Lsativa,36,47,0.7659574468085106
Lusitatissimum,23,43,0.5348837209302325
Macuminata,41,51,0.803921568627451
Mdomestica,7,49,0.14285714285714285
Mesculenta,36,54,0.6666666666666666
Msinensis,6,40,0.15
Mtruncatula,26,44,0.5909090909090909
Ncolorata,31,63,0.49206349206349204
Oeuropaea,9,43,0.20930232558139536
Osativa,21,51,0.4117647058823529
Othomaeum,11,48,0.22916666666666666
Pamilis,17,39,0.4358974358974359
Ppersica,5,49,0.10204081632653061
Ptrichocarpa,13,52,0.25
Ptrifoliata,7,47,0.14893617021276595
Pvaginatum,12,56,0.21428571428571427
Pvirgatum,19,49,0.3877551020408163
Qrubra,26,56,0.4642857142857143
Rcommunis,1,35,0.02857142857142857
Sbicolor,22,47,0.46808510638297873
Soleracea,22,53,0.41509433962264153
Sparvula,17,47,0.3617021276595745
Spolyrhiza,25,42,0.5952380952380952
Spurpurea,8,51,0.1568627450980392
Sviridis,6,44,0.13636363636363635
Taestivum,19,55,0.34545454545454546
Tintermedium,7,45,0.15555555555555556
Vdarrowii,40,63,0.6349206349206349
Vfaba,11,51,0.21568627450980393
Vunguiculata,36,49,0.7346938775510204
Vvinifera,22,62,0.3548387096774194
Zmarina,24,53,0.4528301886792453
Zmays,24,50,0.48
