true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,1929,144,1370,1172,70,63,12,91,18,40
Bdistachyon,230,1352,135,223,625,395,551,502,616,735
Crubella,1659,135,1538,1156,68,101,19,112,15,50
Esalsugineum,1602,179,1208,1398,123,129,28,180,24,83
Hvulgare,225,947,160,280,1018,426,545,496,550,857
Osativa,469,586,330,462,404,988,502,718,394,381
Pvaginatum,221,968,155,221,575,545,859,556,637,702
Sbicolor,438,831,242,440,460,751,493,903,433,452
Sviridis,183,1018,146,219,578,490,690,467,738,712
Taestivum,169,996,154,221,813,337,571,462,540,1225
