species,correct,total,accuracy
_OVERALL_,37758,52429,0.7201739495317477
Acoerulea,720,768,0.9375
Acomosus,847,880,0.9625
Ahypochondriacus,819,897,0.9130434782608695
Ahypogaea,732,837,0.8745519713261649
Aofficinalis,1000,1034,0.9671179883945842
Athaliana,282,736,0.38315217391304346
Bdistachyon,478,806,0.5930521091811415
Bplatyphylla,555,889,0.6242969628796401
Bstricta,156,573,0.27225130890052357
Bvulgaris,704,938,0.7505330490405118
Carabica,767,831,0.9229843561973526
Carietinum,525,765,0.6862745098039216
Cavellana,501,872,0.5745412844036697
Ccitriodora,417,768,0.54296875
Cclementina,390,790,0.4936708860759494
Cillinoinensis,779,894,0.8713646532438478
Ckanehirae,1125,1161,0.9689922480620154
Cquinoa,668,913,0.7316538882803943
Crubella,251,714,0.35154061624649857
Csativus,711,754,0.9429708222811671
Dalata,773,814,0.9496314496314496
Dcarota,788,826,0.9539951573849879
Ecoracana,362,805,0.4496894409937888
Egrandis,438,764,0.5732984293193717
Esalsugineum,276,722,0.38227146814404434
Fvesca,646,770,0.8389610389610389
Gmax,679,861,0.7886178861788617
Hannuus,764,824,0.9271844660194175
Hvulgare,421,834,0.5047961630695443
Lalbus,712,811,0.8779284833538841
Lervoides,506,845,0.5988165680473373
Ljaponicus,756,865,0.8739884393063584
Lsativa,639,702,0.9102564102564102
Lusitatissimum,638,687,0.9286754002911208
Macuminata,759,782,0.9705882352941176
Mdomestica,590,772,0.7642487046632125
Mesculenta,682,848,0.8042452830188679
Msinensis,214,634,0.33753943217665616
Mtruncatula,529,738,0.7168021680216802
Ncolorata,931,963,0.9667705088265836
Oeuropaea,599,651,0.9201228878648233
Osativa,539,765,0.7045751633986929
Othomaeum,421,783,0.5376756066411239
Pamilis,722,769,0.9388816644993498
Ppersica,539,752,0.7167553191489362
Ptrichocarpa,518,809,0.6402966625463535
Ptrifoliata,376,783,0.48020434227330777
Pvaginatum,364,800,0.455
Pvirgatum,338,785,0.4305732484076433
Qrubra,840,911,0.9220636663007684
Rcommunis,409,593,0.6897133220910624
Sbicolor,404,788,0.5126903553299492
Soleracea,627,905,0.6928176795580111
Sparvula,292,723,0.40387275242047027
Spolyrhiza,611,638,0.957680250783699
Spurpurea,521,805,0.6472049689440994
Sviridis,303,751,0.40346205059920104
Taestivum,254,802,0.3167082294264339
Tintermedium,292,805,0.3627329192546584
Vdarrowii,898,940,0.9553191489361702
Vfaba,474,780,0.6076923076923076
Vunguiculata,629,788,0.7982233502538071
Vvinifera,854,918,0.9302832244008714
Zmarina,814,828,0.9830917874396136
Zmays,590,870,0.6781609195402298
