species,correct,total,accuracy
_OVERALL_,14572,52429,0.2779377825249385
Acoerulea,238,768,0.3098958333333333
Acomosus,389,880,0.4420454545454545
Ahypochondriacus,311,897,0.346711259754738
Ahypogaea,150,837,0.17921146953405018
Aofficinalis,324,1034,0.31334622823984526
Athaliana,175,736,0.23777173913043478
Bdistachyon,206,806,0.2555831265508685
Bplatyphylla,178,889,0.20022497187851518
Bstricta,64,573,0.11169284467713787
Bvulgaris,208,938,0.22174840085287847
Carabica,176,831,0.21179302045728038
Carietinum,219,765,0.28627450980392155
Cavellana,153,872,0.17545871559633028
Ccitriodora,207,768,0.26953125
Cclementina,109,790,0.1379746835443038
Cillinoinensis,169,894,0.1890380313199105
Ckanehirae,686,1161,0.590869939707149
Cquinoa,216,913,0.23658269441401972
Crubella,131,714,0.18347338935574228
Csativus,256,754,0.3395225464190981
Dalata,281,814,0.3452088452088452
Dcarota,343,826,0.4152542372881356
Ecoracana,147,805,0.1826086956521739
Egrandis,231,764,0.3023560209424084
Esalsugineum,171,722,0.23684210526315788
Fvesca,196,770,0.2545454545454545
Gmax,179,861,0.20789779326364694
Hannuus,453,824,0.5497572815533981
Hvulgare,198,834,0.23741007194244604
Lalbus,322,811,0.3970406905055487
Lervoides,168,845,0.19881656804733727
Ljaponicus,171,865,0.1976878612716763
Lsativa,183,702,0.2606837606837607
Lusitatissimum,360,687,0.5240174672489083
Macuminata,278,782,0.3554987212276215
Mdomestica,138,772,0.17875647668393782
Mesculenta,311,848,0.36674528301886794
Msinensis,55,634,0.08675078864353312
Mtruncatula,178,738,0.24119241192411925
Ncolorata,373,963,0.387331256490135
Oeuropaea,141,651,0.21658986175115208
Osativa,227,765,0.29673202614379085
Othomaeum,168,783,0.21455938697318008
Pamilis,246,769,0.3198959687906372
Ppersica,115,752,0.1529255319148936
Ptrichocarpa,215,809,0.2657601977750309
Ptrifoliata,115,783,0.14687100893997446
Pvaginatum,154,800,0.1925
Pvirgatum,157,785,0.2
Qrubra,361,911,0.39626783754116357
Rcommunis,121,593,0.20404721753794267
Sbicolor,152,788,0.19289340101522842
Soleracea,253,905,0.2795580110497238
Sparvula,145,723,0.20055325034578148
Spolyrhiza,348,638,0.5454545454545454
Spurpurea,220,805,0.2732919254658385
Sviridis,113,751,0.15046604527296936
Taestivum,117,802,0.14588528678304238
Tintermedium,110,805,0.13664596273291926
Vdarrowii,419,940,0.44574468085106383
Vfaba,137,780,0.17564102564102563
Vunguiculata,167,788,0.21192893401015228
Vvinifera,425,918,0.46296296296296297
Zmarina,414,828,0.5
Zmays,231,870,0.2655172413793103
