target,n_classes,n_components,accuracy,f1_macro
species,65,0,0.01787178851399035,0.010754860992689278
species,65,1,0.04638654179938584,0.02695008108219708
species,65,2,0.0435446031776307,0.033699420535768576
species,65,3,0.04886608556333327,0.04097957336896412
species,65,4,0.06713841576226898,0.05882856960557929
species,65,8,0.12079192813137768,0.11334750503958499
species,65,16,0.16176162047721682,0.15426356466632804
species,65,32,0.2000228880962826,0.19308384643139334
species,65,64,0.23530870319861147,0.22903826649940096
species,65,128,0.26996509565316906,0.2643096782176518
species,65,384,0.2779377825249385,0.2715102404289432
gc_content,5,0,0.20055694367620974,0.19962545791088276
gc_content,5,1,0.8419767685822732,0.8425933891805993
gc_content,5,2,0.8751072879513246,0.8752813725082639
gc_content,5,3,0.8787121631158329,0.8788977465628293
gc_content,5,4,0.8819737168361022,0.8822618692814815
gc_content,5,8,0.9330713917869882,0.9331742073080178
gc_content,5,16,0.948578077018444,0.9486293775783091
gc_content,5,32,0.9529268153121364,0.9529678275921214
gc_content,5,64,0.9538423391634401,0.9538837484642027
gc_content,5,128,0.9534608708920636,0.9534996656695203
gc_content,5,384,0.9533273569970818,0.953369875430824
repeat_fraction,5,0,0.20055694367620974,0.19934657550375903
repeat_fraction,5,1,0.2637662362433005,0.24541191780027072
repeat_fraction,5,2,0.2934635411699632,0.27422019566051753
repeat_fraction,5,3,0.3028667340593946,0.2824494785604272
repeat_fraction,5,4,0.34326422399816897,0.32841928068714876
repeat_fraction,5,8,0.3788933605447367,0.36337625596626644
repeat_fraction,5,16,0.4113181636117416,0.3994289784085844
repeat_fraction,5,32,0.42550878330694847,0.41450147129363285
repeat_fraction,5,64,0.43725800606534554,0.4262930328936518
repeat_fraction,5,128,0.4391081271815217,0.42800041632917285
repeat_fraction,5,384,0.4409773217112667,0.4297039565264396
kmer_entropy_1,5,0,0.2006713841576227,0.2001945275280046
kmer_entropy_1,5,1,0.8337370539205402,0.8334021401163874
kmer_entropy_1,5,2,0.8572164260237655,0.857150650118611
kmer_entropy_1,5,3,0.8653035533769479,0.8653595317024374
kmer_entropy_1,5,4,0.8732380934215797,0.8733492705083338
kmer_entropy_1,5,8,0.9206355261401133,0.9206627983212081
kmer_entropy_1,5,16,0.9339869156382918,0.9339850173590069
kmer_entropy_1,5,32,0.9375917908028,0.9375900880022741
kmer_entropy_1,5,64,0.9379351122470388,0.9379520454937603
kmer_entropy_1,5,128,0.9367716340193405,0.9367777033183378
kmer_entropy_1,5,384,0.9366190467107899,0.9366331150925413
kmer_entropy_3,5,0,0.20118636632398101,0.2006364031236573
kmer_entropy_3,5,1,0.7766884739361803,0.776927354901722
kmer_entropy_3,5,2,0.8001106257986992,0.8003947901597124
kmer_entropy_3,5,3,0.8114211600450133,0.8116901929252297
kmer_entropy_3,5,4,0.8155028705487422,0.815844059997338
kmer_entropy_3,5,8,0.8611646226325126,0.861352946234555
kmer_entropy_3,5,16,0.894295142001564,0.8944127332329505
kmer_entropy_3,5,32,0.8962597035991532,0.89633474470361
kmer_entropy_3,5,64,0.8983005588510176,0.8984289715873711
kmer_entropy_3,5,128,0.8999217990043679,0.900058444362571
kmer_entropy_3,5,384,0.898701100535963,0.8988408879791618
kmer_entropy_9,5,0,0.20149154094108224,0.20137931247489532
kmer_entropy_9,5,1,0.369852562513113,0.3586478419627137
kmer_entropy_9,5,2,0.3828415571534838,0.37033051087875773
kmer_entropy_9,5,3,0.3875526903049839,0.37463576596234294
kmer_entropy_9,5,4,0.47263918823551854,0.4674066270817823
kmer_entropy_9,5,8,0.4943638062904118,0.48873051903819587
kmer_entropy_9,5,16,0.5212191725953194,0.515969765339268
kmer_entropy_9,5,32,0.5336359648286254,0.5295949059881149
kmer_entropy_9,5,64,0.537965629708749,0.5333286231367408
kmer_entropy_9,5,128,0.5410936695340365,0.5367455634560897
kmer_entropy_9,5,384,0.5411890366018807,0.5364218638637099
dinuc_CG,5,0,0.20214003700242233,0.16843657048534222
dinuc_CG,5,1,0.46270193976616,0.4530880123405572
dinuc_CG,5,2,0.4808598294836827,0.47946973070087057
dinuc_CG,5,3,0.493352915371264,0.4911628164664913
dinuc_CG,5,4,0.5283144824429228,0.522835285468316
dinuc_CG,5,8,0.7528085601480097,0.7535637176310355
dinuc_CG,5,16,0.7911079745942131,0.7921179459096471
dinuc_CG,5,32,0.8044593640923916,0.8054837670633097
dinuc_CG,5,64,0.8052223006351447,0.8061059402874818
dinuc_CG,5,128,0.8053176677029888,0.8061289436322788
dinuc_CG,5,384,0.8039062350988957,0.8046946977349844
dinuc_GC,5,0,0.20130080680539397,0.19541021363815383
dinuc_GC,5,1,0.5802323141772683,0.581613612971468
dinuc_GC,5,2,0.6025863548799328,0.6032715208656176
dinuc_GC,5,3,0.6075263689942589,0.6075416671546539
dinuc_GC,5,4,0.6117225199794007,0.6118368406487911
dinuc_GC,5,8,0.6353926262183143,0.6340750327443981
dinuc_GC,5,16,0.647065555322436,0.6454616512773439
dinuc_GC,5,32,0.6686948063094852,0.6673495330905744
dinuc_GC,5,64,0.6873867516069351,0.6865293650549491
dinuc_GC,5,128,0.7082530660512312,0.7076900682464771
dinuc_GC,5,384,0.7132503004062637,0.7127413364875348
dinuc_AT,5,0,0.2029792671994507,0.19863511553224425
dinuc_AT,5,1,0.6037307596940624,0.6083932489642239
dinuc_AT,5,2,0.614774266150413,0.6180815595108385
dinuc_AT,5,3,0.616853268229415,0.619741176097311
dinuc_AT,5,4,0.6218505025844475,0.6248130440955117
dinuc_AT,5,8,0.6487440157164928,0.6509750373198915
dinuc_AT,5,16,0.6806347632035705,0.6821126297885984
dinuc_AT,5,32,0.6979343493104961,0.6993749189056518
dinuc_AT,5,64,0.7251521104732114,0.726739822086269
dinuc_AT,5,128,0.7401438135383089,0.7418310105578569
dinuc_AT,5,384,0.7399340059890519,0.7415708864882864
dinuc_TA,5,0,0.1990119971771348,0.19479370479638752
dinuc_TA,5,1,0.5871368898891834,0.5873974718288791
dinuc_TA,5,2,0.6079269106792042,0.6084565235707298
dinuc_TA,5,3,0.6095290774189857,0.6102703856496746
dinuc_TA,5,4,0.6150412939403765,0.6162636147660503
dinuc_TA,5,8,0.7306452535810334,0.7320426855532162
dinuc_TA,5,16,0.7833832420988385,0.7842259433131668
dinuc_TA,5,32,0.7992332487745332,0.7999197842533181
dinuc_TA,5,64,0.8081214594976063,0.8089502391591633
dinuc_TA,5,128,0.8095519655152683,0.8103407747156414
dinuc_TA,5,384,0.8085029277689828,0.8092110839415344
dinuc_AA,5,0,0.19906921741784128,0.19566849896808092
dinuc_AA,5,1,0.43502641667779285,0.43693937062246785
dinuc_AA,5,2,0.6110930973316294,0.6124898840270401
dinuc_AA,5,3,0.6886837437296153,0.689262805731935
dinuc_AA,5,4,0.6948444563123463,0.6951647098783708
dinuc_AA,5,8,0.7326098151786226,0.7331395355374262
dinuc_AA,5,16,0.7706422018348624,0.7711156850289014
dinuc_AA,5,32,0.7755822159491884,0.7760079247466248
dinuc_AA,5,64,0.780350569341395,0.7808277301824924
dinuc_AA,5,128,0.7825821587289478,0.7830734691774739
dinuc_AA,5,384,0.7833832420988385,0.7838196484744943
dinuc_TT,5,0,0.19912643765854776,0.1973488150601408
dinuc_TT,5,1,0.5093745827690782,0.5009239279421015
dinuc_TT,5,2,0.6270193976615995,0.6284568511303679
dinuc_TT,5,3,0.6667683915390338,0.667892099026342
dinuc_TT,5,4,0.6914112418699575,0.6921329254611505
dinuc_TT,5,8,0.7338305136470274,0.7344168756841041
dinuc_TT,5,16,0.7834404623395449,0.7841021087165806
dinuc_TT,5,32,0.7929008754696828,0.793732752061606
dinuc_TT,5,64,0.7944267485551889,0.7951658381023851
dinuc_TT,5,128,0.7948845104808407,0.7955707686156113
dinuc_TT,5,384,0.78563390489996,0.786521368005227
