true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2656,36,1147,962,18,24,9,28,18,11
Bdistachyon,26,2602,38,63,453,263,395,352,612,560
Crubella,1343,30,2371,957,25,49,7,36,11,24
Esalsugineum,1030,32,797,2986,24,21,9,21,10,24
Hvulgare,35,756,50,63,2159,271,440,378,365,987
Osativa,45,395,125,90,215,2819,300,609,471,165
Pvaginatum,33,623,40,29,327,440,2008,826,769,344
Sbicolor,38,431,88,45,254,594,657,2584,506,246
Sviridis,21,770,39,25,308,517,760,667,1790,344
Taestivum,22,912,37,50,1062,241,524,367,460,1813
