true_label,Caenorhabditis elegans,Callithrix jacchus,Drosophila melanogaster,Fundulus heteroclitus,Homo sapiens,Mus musculus
Caenorhabditis elegans,2173,55,84,725,17,81
Callithrix jacchus,545,1290,57,1242,1781,1642
Drosophila melanogaster,367,105,212,943,23,193
Fundulus heteroclitus,564,385,117,3865,154,941
Homo sapiens,513,1203,46,1228,2013,1439
Mus musculus,280,1022,61,1434,1335,2390
